 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8
RF03157#CP002209.1/3979465-3979416#subopt1,     4.437,   1.51996, -0.886234, -0.325568,   0.79749,  0.763686,-0.0413215,   1.11839
RF03157#CP002209.1/3979465-3979416#subopt2,  4.39134,  1.82047,-0.540587,-0.561572, 0.675444, 0.852832, 0.679007,  0.85411
RF01704#CP006269.1/1896519-1896580#subopt0,   4.84952,   1.22824,  -1.69347,  -0.53831,-0.0719092,  0.740619,  0.289491,  -0.43829
RF01704#CP006269.1/1896519-1896580#subopt1,  4.28568,  1.86164,-0.814745,-0.969981, 0.241133, 0.294591,  0.19707, -0.58479
RF01704#CP006269.1/1896519-1896580#subopt2,  4.94147,  1.27024,  -1.6044,-0.769883,0.0498046, 0.682029, 0.255542, -0.20904
RF01704#AE017126.1/924002-923944#subopt0,  4.39845,  1.60363,-0.639878,-0.727423, 0.176879, 0.246445,  0.48654,-0.815692
RF01704#AE017126.1/924002-923944#subopt1,  3.42272,  2.03577, 0.195872,-0.922122, 0.327159, 0.487128, 0.364589,-0.297981
RF01704#AE017126.1/924002-923944#subopt2,   5.06221,  0.898258,  -1.23775, -0.613678,  0.182875,     1.032,  0.918288,0.00614571
RF01704#AANO01000053.1/1174-1115#subopt0,  4.13973,  1.30304,-0.839511,-0.526538,  1.09191, 0.380659, 0.655622,-0.274812
RF01704#AANO01000053.1/1174-1115#subopt1,   4.07622,   1.38155, -0.624138,  -1.03989,  0.842217,  0.678878,  0.642563,0.00230335
RF01704#AANO01000053.1/1174-1115#subopt2,  3.76603,  1.83601, 0.416346, -1.87851, 0.473469, 0.522204,-0.224439, -0.23435
RF01704#DS990556.1/1717245-1717309#subopt0,  4.92216, 0.667438, -1.23035,-0.675172, 0.526478,  0.59366,-0.333846, 0.171112
RF01704#DS990556.1/1717245-1717309#subopt1,   4.93309,  0.303921,  -1.07167, -0.330941,  0.967856,  0.667915,  0.575632,-0.0251902
RF01704#DS990556.1/1717245-1717309#subopt2,  4.30417,  1.13643, -1.55145, 0.702831, 0.114904,  1.05914,   0.3165,0.0665943
RF03144#URS0001A2426A_12908/1-47#subopt0,   3.74627,   1.70739, -0.981331,  0.622691, -0.576305, -0.559228,  0.912636,-0.0257844
RF03144#URS0001A2426A_12908/1-47#subopt1,   4.4133,  1.10055,-0.302678,-0.257661,  0.32942, -1.31393,  1.89674, 0.655012
RF03144#URS0001A2426A_12908/1-47#subopt2,   4.44342,   1.28728,  -0.55427, -0.523964,  0.191249,  -1.08164,   1.60726,-0.0770272
RF03144#URS0001A24651_12908/1-47#subopt0, 4.47061,0.886178, -1.6523,0.706935,-1.12902, -1.1782,0.474237, 0.57142
RF03144#URS0001A24651_12908/1-47#subopt1,    4.5705,   0.72276,  -1.41833,  0.858999, -0.582554, -0.865613,  0.637546,-0.0275503
RF03144#URS0001A24651_12908/1-47#subopt2,   4.42377,   1.12204,  -2.04543,  0.335741,  -1.21839, -0.842371,-0.0406344, -0.267566
RF03144#HF582854.1/780497-780546#subopt0,   4.27808,   1.55379, -0.812043,-0.0994894,  0.611436,   1.30256, -0.240915, 0.0242075
RF03144#HF582854.1/780497-780546#subopt1,  4.27899, 0.740789,-0.206649,-0.307822, 0.235657,-0.528415,  1.51598, 0.810602
RF03144#HF582854.1/780497-780546#subopt2,    4.72452,   0.620953,  -0.225843,  -0.974534,-0.00703823,  -0.108417,    1.08006,    1.57174
RF03144#URS0001A23AD8_268739/1-50#subopt0,   4.27808,   1.55379, -0.812043,-0.0994893,  0.611436,   1.30256, -0.240915, 0.0242076
RF03144#URS0001A23AD8_268739/1-50#subopt1,  4.27899, 0.740789,-0.206648,-0.307822, 0.235657,-0.528415,  1.51598, 0.810602
RF03144#URS0001A23AD8_268739/1-50#subopt2,    4.72452,   0.620953,  -0.225844,  -0.974534,-0.00703807,  -0.108417,    1.08006,    1.57174
RF02929#URS0000D6D1C3_926032/1-50#subopt0,  3.33448,  2.00729, -1.38291, 0.490686,-0.464408,  1.23051, 0.216549, 0.149322
RF02929#URS0000D6D1C3_926032/1-50#subopt1,   2.50542,   2.74653, -0.430142,-0.0182663, -0.241064,  0.600308,  0.348785, -0.385507
RF02929#URS0000D6D1C3_926032/1-50#subopt2,   3.43668,   2.26938,  -1.48106,  0.390958,  -0.48371,   1.18534,  0.281947,-0.0529184
RF02929#URS0000D6D1C3_926028/1-50#subopt0,  3.33448,  2.00729, -1.38291, 0.490685,-0.464407,  1.23051, 0.216549, 0.149323
RF02929#URS0000D6D1C3_926028/1-50#subopt1,   2.50542,   2.74653, -0.430142,-0.0182664, -0.241064,  0.600308,  0.348785, -0.385507
RF02929#URS0000D6D1C3_926028/1-50#subopt2,   3.43668,   2.26938,  -1.48106,  0.390958, -0.483711,   1.18534,  0.281947,-0.0529182
RF02929#URS0000D6D1C3_926027/1-50#subopt0,  3.33448,  2.00729, -1.38291, 0.490686,-0.464408,  1.23051, 0.216549, 0.149323
RF02929#URS0000D6D1C3_926027/1-50#subopt1,   2.50542,   2.74653, -0.430142,-0.0182663, -0.241064,  0.600308,  0.348785, -0.385506
RF02929#URS0000D6D1C3_926027/1-50#subopt2,   3.43668,   2.26938,  -1.48106,  0.390958, -0.483711,   1.18534,  0.281947,-0.0529184
RF02929#URS0000D6D1C3_926026/1-50#subopt0,  3.33448,  2.00729, -1.38291, 0.490686,-0.464408,  1.23051, 0.216549, 0.149322
RF02929#URS0000D6D1C3_926026/1-50#subopt1,   2.50542,   2.74653, -0.430142,-0.0182662, -0.241064,  0.600308,  0.348785, -0.385507
RF02929#URS0000D6D1C3_926026/1-50#subopt2,   3.43668,   2.26938,  -1.48106,  0.390958,  -0.48371,   1.18534,  0.281947,-0.0529183
RF03072#MRAE01000003.1/20582-20790#subopt0, 8.91298,-2.65642,-1.13142, 1.63529,-1.00564,-1.22945,0.150297,0.691594
RF03072#MRAE01000003.1/20582-20790#subopt1,  9.25449,  -3.7546, -2.06934, 0.299831, 0.162867,-0.211408,-0.388745,    1.082
RF03072#MRAE01000003.1/20582-20790#subopt2,  8.33539, -2.71087, -2.04511,  2.92525,-0.893814,-0.934725, 0.299255, 0.233434
RF03072#HF952018.1/169277-169485#subopt0,    9.20357,   -1.36807,0.000365826,  -0.966275,  -0.758592,   0.500094,   -2.21114,   0.972992
RF03072#HF952018.1/169277-169485#subopt1,  8.88026,  -1.1737,-0.164025,-0.320137,-0.627652, 0.680782, -2.24326,   1.2568
RF03072#HF952018.1/169277-169485#subopt2,  9.12699, -1.39846,-0.594371,-0.278357,-0.521666, 0.995614, -2.37491,  1.27726
RF03072#URS0000D69D6C_12908/1-203#subopt0,  9.33718, -3.06486, -1.77165,-0.114802, 0.822497,-0.312004, -0.21487,-0.141377
RF03072#URS0000D69D6C_12908/1-203#subopt1,  9.32953, -3.03373, -1.79402,-0.109182, 0.860932,-0.412015,-0.179381,-0.147219
RF03072#URS0000D69D6C_12908/1-203#subopt2,  8.75539,  -2.6497, -1.20445,   1.9992, 0.514139, -1.35595,-0.978979, 0.474535
RF03072#URS0000D672C5_573061/1-205#subopt0,  8.79325, -1.90051, -1.52928,0.0915962,-0.265069, 0.907238, -2.65221,  0.44861
RF03072#URS0000D672C5_573061/1-205#subopt1,  9.03368, -2.11899,  -1.9439, 0.121014,-0.163397,  1.25175, -2.78294, 0.491592
RF03072#URS0000D672C5_573061/1-205#subopt2,   8.66579,  -2.10875,  -2.11802,0.00776271, 0.0647514,  0.899551,  -2.44123,  0.531216
RF02987#URS0000D6C3CB_12908/1-87#subopt0,  5.31691, 0.134952, -1.92764, -0.29415,-0.421073,  1.40215, 0.356707, 0.763713
RF02987#URS0000D6C3CB_12908/1-87#subopt1,  5.29473, 0.029294, -1.71129,-0.129127,-0.591148,  1.30731, 0.267102,  1.41011
RF02987#URS0000D6C3CB_12908/1-87#subopt2,   5.29896, 0.0866938,  -1.95757, -0.429566,   -1.3169,  0.481515,-0.0365759,   1.35725
RF02987#URS0000D6BE2C_12908/1-87#subopt0,  5.31691, 0.134952, -1.92764,-0.294151,-0.421073,  1.40215, 0.356707, 0.763713
RF02987#URS0000D6BE2C_12908/1-87#subopt1,  5.29473,0.0292942, -1.71129,-0.129127,-0.591148,  1.30731, 0.267102,  1.41011
RF02987#URS0000D6BE2C_12908/1-87#subopt2,  5.32113, 0.192351, -2.17392,-0.594588, -1.14682, 0.576352,0.0530369,  0.71085
RF02987#URS0000D68C86_12908/1-89#subopt0,  5.57823, -0.53258, -2.05575,0.0361245, -0.44248,  1.37825, 0.243187,  1.50289
