 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8,snm_9,snm_10,snm_11,snm_12,snm_13,snm_14,snm_15,snm_16,snm_17,snm_18,snm_19,snm_20
URS0000D6CFA0_12908/1-100_subopt4,   6.88357, -0.929893, -0.587073,   1.17897,  0.467523, 0.0373525,  0.382598,  0.894108,  0.408056, -0.399449,  -1.23115, 0.0672422, -0.700158, 0.0629593, -0.660774,  0.170147,-0.0228906, -0.171141, -0.584297,  0.222442
URS0000D6CFA0_12908/1-100_subopt5,  6.66185, 0.227334, -1.02959, 0.804343,  1.94773, 0.720135, 0.484482,  1.09767,  1.15675, 0.201931, -1.05499, 0.454572, -1.09494,-0.480078,-0.288611, -1.22611,-0.356316,-0.211928, -1.05156, 0.979044
URS0000D6CFA0_12908/1-100_subopt6,  6.63563, 0.286595,-0.979843,  0.83909,  1.92606, 0.743951, 0.567113, 0.808211,   1.1867, 0.211187, -1.14156, 0.505111, -1.11581,-0.299902,-0.820009,-0.530285,0.0220365,0.0867259, -1.24351, 0.830305
URS0000D6CFA0_12908/1-100_subopt7,  7.23485,  -1.1626,-0.563383,  1.38151, 0.791937,  0.11451, 0.487531,  1.21323, 0.404702,-0.434616,  -1.5679, 0.192411,-0.759958, 0.213647,-0.667398, 0.190131,  0.10594,-0.149862,-0.703051, 0.486365
URS0000D6CFA0_12908/1-100_subopt8,  5.78206,  2.04455, -1.32624, -1.30324, 0.617352, 0.663404,  0.50936,  0.63775, 0.634804,   1.0757,-0.497901,-0.437211,-0.578765, -1.03705, 0.397134, -1.39452, -1.56977, 0.213794, -0.28092,0.0578082
URS0000D6CFA0_12908/1-100_subopt9,   5.78179,   2.09816,  -1.31082,  -1.32551,  0.601072,  0.701914,  0.595832,  0.407017,   0.73912,   1.15472, -0.645878, -0.425781,  -0.61591, -0.978579,-0.0687102, -0.902035,  -1.30632,   0.49175, -0.451821, -0.107542
URS0000D6CFA0_12908/1-100_subopt10,  6.24802, 0.476252, -1.07939, 0.642733,  1.63028, 0.707106, 0.150149, 0.866636,  1.30395, 0.232564,-0.607868, 0.603804,-0.987967,-0.738679, -0.12034, -1.16561,-0.521313,-0.367189,-0.904721, 0.846111
URS0000D6CFA0_12908/1-100_subopt11,   6.22181,  0.535514,  -1.02964,  0.677483,   1.60861,  0.730925,  0.232775,  0.577172,    1.3339,  0.241819, -0.694443,  0.654343,  -1.00884, -0.558502, -0.651749, -0.469784, -0.142967,-0.0685384,  -1.09666,  0.697372
URS0000D6CFA0_12908/1-100_subopt12,    6.88914,  -0.949902,  -0.630453,      1.221,    0.50263,   0.110627,   0.211798,    1.04351,   0.535966,  -0.411009,   -1.20414,    0.33033,  -0.670385,-0.00498795,  -0.522429,   0.247242, -0.0685234,  -0.298049,  -0.542695,   0.364764
URS0000D6CFA0_12908/1-100_subopt13,  6.35463,  1.71388, -1.71012, 0.165682,  1.32804,  1.24605,-0.570281,  1.76372,  1.23837,  0.60787,-0.487994,-0.331691, 0.111537,-0.868826,-0.292769, -1.39248, -2.07167, 0.275947,-0.490033,  0.35363
URS0000D6CFA0_12908/1-100_subopt14,  6.35436,   1.7675, -1.69468, 0.143408,  1.31176,  1.28456,-0.483801,  1.53298,  1.34269, 0.686894,-0.635973,-0.320263,0.0743883,-0.810348,-0.758624,     -0.9, -1.80823, 0.553912,-0.660941,  0.18827
URS0000D6CFA0_12908/1-100_subopt15,  6.70335, 0.160299, -1.17738,  1.06383,  2.12834, 0.610391,-0.354286,  1.24344,  1.55387, 0.353553,-0.531274, 0.523554,-0.772942,-0.517395,-0.107614, -1.13858, -0.57802,-0.260592, -1.00241,  1.33049
URS0000D6CFA0_12908/1-100_subopt16,  6.67714, 0.219555, -1.12762,  1.09857,  2.10667, 0.634205,-0.271664, 0.953988,  1.58382, 0.362808,-0.617849, 0.574097,-0.793813,-0.337217, -0.63902,-0.442759,-0.199669,0.0380646, -1.19435,  1.18175
URS0000D6CFA0_12908/1-100_subopt17,  7.30089, -1.24222,-0.723532,  1.62258,  0.96994,0.0300461,-0.306555,   1.3953, 0.802306,-0.290779, -1.13261, 0.269658,-0.434424, 0.203786,-0.490878, 0.279737,-0.121535,-0.203865,-0.647199, 0.832779
URS0000D6CFA0_12908/1-100_subopt18,   6.66578,  -0.65312,  -3.25213,   1.17153,   2.32043,  0.920683,  -1.09653,  0.947668,  0.333594, -0.125414,  -0.59217,  0.916021, -0.240942,-0.0914059,  0.205488, -0.602415, -0.611473, -0.351697,-0.0575337,  0.568466
URS0000D6CFA0_12908/1-100_subopt19,   7.34134,  -1.38446,  -2.73102,   1.39357,   0.84862,  0.562385,  -1.39299,  0.988549,  0.601996, -0.296808, -0.581512,  0.806441,   0.54771, -0.212272,  0.531024, -0.461416,  -1.12795,-0.0567411,  0.353267,  -0.27678
URS0000D6CFA0_12908/1-100_subopt20,  7.03707,-0.904674, -3.13124,  1.41627,  2.70045, 0.444697, -1.31018, 0.993062, 0.423602, 0.189045,-0.537979, 0.650223,-0.375141, 0.091999,0.0135377, -0.68833,-0.536905,-0.226144,-0.118419, 0.821937
URS0000D6CFA0_12908/1-100_subopt21,   6.12927,   1.48713,  -1.21562, -0.234469,   1.35673,   1.17621, -0.276428,   2.11209,   1.41745,  0.278282, -0.730103,-0.0161952,  0.120527,  -1.00105, -0.170583,  -1.15255,  -1.94666, -0.166188, -0.313104,   0.63634
URS0000D6CFA0_12908/1-100_subopt22,   6.16146,   1.52977,  -1.27664, -0.259232,    1.3401,   1.26136, -0.196485,   1.82684,   1.52381,  0.401892, -0.919451,-0.0409208, 0.0727181, -0.952174, -0.676695, -0.563367,  -1.67037,  0.182033, -0.529648,  0.423284
URS0000D6CFA0_12908/1-100_subopt23,  6.70402,-0.026746,-0.537943,0.0868628,  0.29849, 0.455257, -0.15567,  2.55782,  1.13165,-0.212178, -1.25676,-0.394723, 0.396708,-0.712392,-0.355243,-0.002767,  -1.7206,-0.232418, 0.294308, 0.369429
URS0000D6CFA0_12908/1-100_subopt24,   6.27858,   1.31619,   -1.4174, -0.360403,   1.32846,   1.56392, -0.525174,   1.98333,  0.431393,  0.534179, -0.661655, 0.0460214,   0.34895, -0.914421, -0.448904, -0.645612,  -2.07763,-0.0203868, -0.580875,  0.301965
URS0000D65DF1_12908/1-80_subopt0,   6.19397, -0.433596,  -3.41549,   1.09644,  0.556313,   1.20808,  -1.73062,  0.251713,  0.532859, -0.447916,  0.333428,  0.964708,  0.432924,   0.61536,  0.188848,  0.491742,-0.0169751, -0.619903, -0.481376,  0.224289
URS0000D65DF1_12908/1-80_subopt1,   6.85439, -0.918367,   -2.9512,   1.46621,  0.949747,  0.931457,    -1.474, 0.0102123,  0.484561,  -0.55749,  0.558026,   1.19415,   1.22566,  0.735574,  0.287161,  0.314632, -0.472676,-0.0120555,  0.200783,-0.0679696
URS0000D65DF1_12908/1-80_subopt2,   6.86639,  -1.00875,  -3.66625,   1.26682,  0.918602,  0.795333,   -1.3925,  0.393792,  0.793275,-0.0934561,  0.807489,  0.487281,  0.752178,  0.317742,  0.248502, 0.0719794, -0.908021,  0.131775, -0.156801,-0.0365525
URS0000D65DF1_12908/1-80_subopt3,   6.50741,-0.0603943,  -1.42591,  0.365607, -0.693105,  0.620132,  -1.03939,   1.53998,  0.531843,  0.407134,  0.103273,-0.0415121,   1.91005,  0.408409,    -1.221, -0.986471, -0.703091,  0.118496, -0.567934,  0.356361
URS0000D65DF1_12908/1-80_subopt4,   6.80192, -0.896853,  -3.39782,    1.1328,  0.887161,  0.633346,  -1.14967,  0.331561,  0.771148, -0.146651,  0.806842,  0.385132,  0.758333,  0.310896, -0.154056, 0.0111343, -0.958825,  0.231279, -0.212921,-0.0265422
URS0000D65DF1_12908/1-80_subopt5,   5.72802,  0.535776,  -1.14177,  0.225717,  -1.16399,  0.956024,  -1.43697,   1.04101,  0.385481,0.00774455, 0.0687054,  0.469687,    1.3794,   0.25377,  -1.28189, -0.877613,  0.171206, -0.547483, -0.934513,  0.620242
URS0000D65DF1_12908/1-80_subopt6,   6.49401,-0.0830994, -0.713204,  0.562518, -0.697086,   0.73711,  -1.17235,  0.813575,   0.31764, -0.125877,   0.32449,  0.475721,   2.14826,  0.326764,  -1.12239, -0.977287, -0.335763,-0.0691127, -0.423391,  0.279317
URS0000D65DF1_12908/1-80_subopt7,  6.56108,-0.248747,  -1.4575, 0.472955,-0.676395, 0.343504, -1.08433, 0.956353, 0.447335,-0.227711, 0.734128, 0.218448,  1.43931, 0.582668, -1.29965,-0.702327,-0.656176, 0.100936,-0.873714, 0.230257
URS0000D65DF1_12908/1-80_subopt8,   6.54641, -0.154372,  -1.38742,   0.45214, -0.732928,  0.509104,  -1.07538,   1.15394,  0.469618,  0.256527,  0.605184,-0.0706245,   1.71584,   0.17374,  -1.32157,  -1.13981, -0.684857,  0.120007,  -0.62871,  0.408619
URS0000D65DF1_12908/1-80_subopt9,  5.86022, -1.11154, -2.12211,-0.348148, 0.226615,-0.339757,  1.06267, -1.76124,  0.27814, 0.851898, 0.439629,  -0.4124,-0.238585,-0.701757, -1.12964,  1.21419, -1.51191, -1.53769,  1.15236, 0.103478
URS0000D65DF1_12908/1-80_subopt10,   6.20899, -0.477952,  -1.89594,  -1.24504,  0.252368, -0.491433,  0.612045, -0.241718,  0.550157,  0.375969,    1.2724,  0.325805,-0.0999233,  0.736116, -0.707655, -0.307434,  -1.07434, -0.162105,  0.546825, -0.464021
URS0000D65DF1_12908/1-80_subopt11,  5.76345,-0.848697, -1.77289, -1.03067, 0.337939,-0.685476, 0.739863, -0.48758, 0.414757, 0.243006,  1.04771, 0.353421, 0.247264, 0.271888, -1.03343,-0.349625,-0.569098, 0.192128,  0.60205,-0.357733
URS0000D65DF1_12908/1-80_subopt12,   6.11094,  -0.62921,  -2.68206, -0.192391,  0.108712,  0.101267,   0.46481,  -1.81848,-0.0865521,  0.284164,  0.222194, -0.941433, -0.265834,  0.487832, -0.334472, -0.339686, -0.588309,   0.76889, -0.464615, -0.553255
URS0000D65DF1_12908/1-80_subopt13,    6.18207,  -0.796888,   -3.02284,-0.00556829,    0.18848,   0.293287,  -0.122356,   -1.44925,   -0.12094,   0.114506,   0.426576,  -0.494246,  -0.146043,   0.489212,   0.742886,  -0.326251,  -0.596006,   0.370121, -0.0647454,  -0.296389
URS0000D65DF1_12908/1-80_subopt14,   5.38146, -0.339027,  -2.64899, -0.875127,-0.0794519, 0.0997374,  -1.04614,   -2.0815, -0.256303, -0.178503,  0.873604, -0.438181, -0.657319,   0.72762,   1.21168, -0.306495,  0.919519, -0.265075,  0.236058, -0.116556
URS0000D65DF1_12908/1-80_subopt15,  6.10202,-0.857584, -2.16228, -0.48118, 0.357248,-0.176611,-0.770837, -2.31234,-0.316706,-0.296422,  1.10491,-0.223294, 0.135232, 0.855145,  1.30422,-0.494185, 0.461907, 0.344305, 0.924838,-0.414291
URS0000D65DF1_12908/1-80_subopt16,   6.14921, -0.971039,  -2.90162, -0.659417,  0.354741, -0.342117, -0.675372,  -1.88895,-0.0308153,  0.174055,   1.35995, -0.956365,   -0.3768,  0.455737,     1.235, -0.740983, 0.0209998,  0.509975,  0.575813, -0.349952
URS0000D65DF1_12908/1-80_subopt17,   5.74343,-0.0323709, -0.658206,  -1.61546,  -1.30206, -0.373546, -0.282988, -0.458645, -0.117198,   0.63423,  0.352123,  -1.18466,   1.10122,   0.51277, -0.319969,  -1.48518, 0.0243467,  0.343516,-0.0807262,  0.140533
URS0000D65DF1_12908/1-80_subopt18,   5.57365, -0.929125,  -1.66709, -0.909231,  0.437913,  -0.88289,-0.0142102,   -1.1441,  0.492583,  0.238983,   1.42231, -0.378812,  0.197668,  0.450028, -0.924734, -0.534811, -0.588855,  0.664908,  0.449491, -0.218905
URS0000D65DF1_12908/1-80_subopt19,   5.36232,  0.195251,   -1.8541,-0.0829602,  -0.40013,  0.901521,  0.219315,  -1.78284, -0.281865,  0.298519, -0.180436,  0.305947, -0.991195,  0.796093, -0.217426,  0.355972,-0.0369882, -0.300208, -0.694337, -0.237084
