 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8,snm_9,snm_10,snm_11,snm_12,snm_13,snm_14,snm_15,snm_16,snm_17,snm_18,snm_19,snm_20,snm_21,snm_22,snm_23,snm_24,snm_25,snm_26,snm_27,snm_28,snm_29,snm_30,snm_31,snm_32,snm_33,snm_34,snm_35,snm_36,snm_37,snm_38,snm_39,snm_40,snm_41,snm_42,snm_43,snm_44,snm_45,snm_46,snm_47,snm_48,snm_49,snm_50,snm_51,snm_52,snm_53,snm_54,snm_55,snm_56,snm_57,snm_58,snm_59,snm_60,snm_61,snm_62,snm_63,snm_64,snm_65,snm_66,snm_67,snm_68,snm_69,snm_70,snm_71,snm_72,snm_73,snm_74,snm_75,snm_76,snm_77,snm_78,snm_79,snm_80,snm_81,snm_82,snm_83,snm_84,snm_85,snm_86,snm_87,snm_88,snm_89,snm_90,snm_91,snm_92,snm_93,snm_94,snm_95,snm_96,snm_97,snm_98,snm_99,snm_100,snm_101,snm_102,snm_103,snm_104,snm_105,snm_106,snm_107,snm_108,snm_109,snm_110,snm_111,snm_112,snm_113,snm_114,snm_115,snm_116,snm_117,snm_118
RF02913#URS0000D6C5B0_12908/1-80#subopt16,  0.0542882, -0.0245756,  -0.062175,   0.022413,  -0.052798,   0.019031,  0.0713353, -0.0272409,  0.0624295,  0.0500358,  0.0148277,  0.0363702, -0.0574603, -0.0199194, -0.0171835, 0.00674777,-0.00529427,  0.0523713,  0.0346169, -0.0344462,  0.0285086, -0.0744384,   0.013318, -0.0108415, -0.0583443,-0.00248927, -0.0372554,   0.070878, -0.0596207,  0.0230373, -0.0348092, 0.00378764,  0.0237438, -0.0368045,  0.0275522, 0.00308628, -0.0238122, -0.0303591,  0.0106183,  0.0203152,  -0.005483,  0.0408187, -0.0261989, 0.00365176,-0.00312149,  0.0305476,  0.0761468,  0.0740771, -0.0447159,  0.0437007,-0.00448179, -0.0917479, 0.00530495,   0.044571,  0.0158541,  0.0289243, -0.0266277,  0.0139921,  0.0470324, -0.0718125, -0.0105046,  0.0890014,-0.00460479,  0.0131206,  0.0361144, -0.0177418, 0.00655238,  0.0324854,  0.0231347,  0.0407402,  0.0248849,  -0.039017,  -0.032469,   0.022578, -0.0105638,  0.0254493, -0.0181203, -0.0608645, 0.00691813,  0.0331091, -0.0070312,-0.00478176, -0.0490326, -0.0463665,-0.00824389,  0.0255564,  0.0274551, -0.0636393, -0.0295376, -0.0202066, -0.0324444, -0.0172936,  -0.038381, -0.0408847, -0.0419939, 0.00454469, 0.00609246,  0.0423056, -0.0282509, -0.0864703, -0.0259283, -0.0189962,-0.00180455, -0.0289992, -0.0277779,  -0.134976,  0.0188004, -0.0217107,-0.00360104,-0.00531628,  0.0511072, -0.0364858,  0.0725493,  0.0663246, -0.0349808,-0.00349782,  0.0206032, -0.0462888
RF02913#URS0000D6C5B0_12908/1-80#subopt17,   0.0540042,  -0.0262727,  -0.0643926,   0.0274731,   -0.049894,   0.0236087,   0.0281059,  -0.0435436,   0.0738349,   0.0779165,   0.0347898,   0.0308103,  -0.0758874,  -0.0351924,  -0.0121832,  -0.0160128,   0.0120198,   0.0470637,   0.0253709,  -0.0513429,   0.0316186,   -0.093382,  -0.0322851,  -0.0410732,  -0.0480989,  0.00332863,  -0.0293843,   0.0829821,  -0.0452342,    0.032446,  -0.0307692,-0.000593145,  0.00209693,  -0.0454771,    0.070667, -0.00238862, -0.00190667,  -0.0416378, 0.000318278, -0.00148361,  -0.0302596,   0.0537843, -0.00952547,   0.0159037,  -0.0385308,   0.0564167,   0.0581786,   0.0560869,  -0.0264226,   0.0250945,  -0.0109743,   -0.080883,   0.0112533,   0.0420256,   0.0424466,   0.0352674,-3.19723e-05, -0.00835306,   0.0208422,  -0.0225591,  -0.0339108,    0.133772,  -0.0490486,   0.0257132,  0.00108535,  -0.0704392, -0.00514891,   0.0326238,   0.0732893,  -0.0369367,   0.0840498, -0.00366282,  -0.0255473,   0.0196768,   0.0723309,  -0.0146734,   0.0104712,  -0.0042816, -0.00875914,-7.63658e-05,    0.020357,  -0.0119435,   -0.110661,  -0.0354058, 0.000220644,  -0.0110322,   0.0365095,   0.0259743,  -0.0392684,  -0.0299382,  -0.0282794,  -0.0168846,   0.0152643,  -0.0212949, 0.000556326,  -0.0226696,-0.000988628, 0.000144693,  -0.0816186,  -0.0688518, -0.00906533,  -0.0329124,  -0.0334459,  -0.0217184,  -0.0291486,  -0.0914275,   0.0207488,   0.0195468,  -0.0299844,  -0.0230585,   0.0679237, -0.00326097,   0.0601962,    0.080135,   0.0121022,   0.0276798,   0.0238852,  -0.0506651
RF02913#URS0000D6C5B0_12908/1-80#subopt18,  0.0518482, -0.0279184, -0.0289538,  0.0368272,  0.0376685, -0.0574829,  0.0126484, -0.0531794, -0.0199513,   0.050254,  0.0895824,  0.0767238,-0.00904203, -0.0146231, 0.00449462,  -0.035828, -0.0512218, -0.0304604, -0.0108133,  0.0570784, 0.00537629,  0.0274622,  0.0344032, -0.0812441, -0.0165822,  0.0328571, -0.0730177,   0.070286, 0.00974968,   0.124111, -0.0487927,   0.041589,  0.0111395,  0.0981594,    0.11779,  0.0416568, -0.0277814, -0.0124044, -0.0301729,  -0.032638, -0.0559599, -0.0105172, -0.0119842, -0.0106809, 0.00802342, -0.0193709,  0.0655542,  0.0166525,  -0.027963, -0.0239998, -0.0836067, -0.0232695, -0.0596004, -0.0948965,  -0.022073,  0.0422733,  0.0979778,  0.0234442,  0.0480148, -0.0855211,  0.0605807,  0.0992424,  0.0563159,  0.0516051,  0.0187979, 0.00523002,  0.0109472,  0.0552378,  0.0257499, -0.0655981,  0.0462679, -0.0234062,-0.00872652,   0.063401, 0.00836404, -0.0719677,  0.0931672,   0.137032,  0.0931453,  0.0210858,  0.0202587, -0.0263176,  -0.125697, -0.0486058,  0.0403287, -0.0989247,  0.0513819,  0.0039417,  0.0581888,  0.0885198,  0.0404365, 0.00356139, -0.0242969,  0.0312199,  0.0381113,  0.0359783, -0.0471678, -0.0222901, -0.0853844,  0.0328992,-0.00911889,  -0.021903,  0.0127994, -0.0804426, -0.0196239,  0.0245652,-0.00457218,  0.0352291, -0.0390214,  0.0332469,   0.056023, -0.0390999,  0.0577967,  0.0223204, -0.0143049,  0.0381734,  0.0124134, -0.0449023
RF02913#URS0000D6C5B0_12908/1-80#subopt19,   0.044987, -0.0387663, -0.0413279,  0.0132915, -0.0159936, -0.0421376,  0.0597726,  0.0222693,  0.0110908,  0.0681374,  0.0804606,-0.00151822,   0.033016, -0.0737208,  -0.013028,  0.0334204,  0.0327353, -0.0944915,  0.0132364,  0.0268488, 0.00113824,  0.0536284,  0.0314436, -0.0544346, -0.0441666,  0.0108489, -0.0133349, -0.0197794, -0.0256462, -0.0147658, -0.0462428,  0.0596652, -0.0334914,  0.0332479, -0.0359766, -0.0471175,  0.0351461,  0.0215979, -0.0411883,-0.00299917, -0.0201502, -0.0190135, -0.0196202, 0.00522485, -0.0289044, -0.0606342,   0.106691, -0.0600497, -0.0373226, -0.0355318,  0.0377314, -0.0761187, -0.0090528, -0.0293089, -0.0555707,  0.0129472, 0.00268189,  0.0919348,  0.0293805,  0.0543602,  0.0200433,  0.0403627,  0.0049287,   0.050595,  0.0363981,  0.0287436,  -0.014956,  0.0692562,  0.0559564,  0.0462009,  0.0493314,  0.0202957,  0.0494015, -0.0207336,  0.0390636,-0.00379205,   0.073143, -0.0271167,  -0.153044, -0.0201669,  -0.137828,  0.0524415,  0.0754854,  0.0338712,  -0.111173,  0.0563819, -0.0123755,   0.054139,   0.100297,  0.0994919,   0.124364,   0.050587,  0.0343323, -0.0896709,  -0.132654,  -0.128033, -0.0646545,  -0.107199,  0.0220454, -0.0369868,  0.0557988, -0.0369703, -0.0569518,  0.0681235, 0.00667152,  0.0454612,-0.00989268,   -0.01313, 0.00851972,  0.0335374,  0.0221221, -0.0345597,  0.0191206,  0.0219849,   0.275417,  0.0308271, 0.00986888,   0.013417
RF02913#URS0000D6C5B0_12908/1-80#subopt20,  0.0510373, -0.0282207, -0.0346877,  0.0361389,  0.0360352, -0.0397222,  0.0148552,   -0.05968,-0.00698222,  0.0477422,   0.111654,  0.0697001,  0.0108741, -0.0632045,  0.0365998, -0.0154092,  0.0272261, -0.0224109,-0.00433936,  0.0566998, -0.0437005,  0.0573038, -0.0224934, -0.0500723,  0.0321031,  0.0486088, -0.0495694,  0.0433508,  0.0395322,  0.0313684, -0.0265012,  0.0199699, -0.0550661,  0.0238188,   0.111123, -0.0786672, -0.0360056, 0.00343611, -0.0128111, -0.0463183,  -0.089107,  -0.068314, -0.0545115,  0.0572625, -0.0870646,  -0.010725,  0.0651085,  0.0334788,-0.00179797, -0.0212317, -0.0285714,-0.00698248, -0.0165436, -0.0101446,  0.0632876,  0.0528855,  0.0104104,-0.00650312, -0.0253121,  0.0659061,  -0.138415,  0.0601228, -0.0070309,  0.0531669, -0.0549347,  0.0141535,  0.0396996, -0.0804216,    -0.0109,  0.0137435, -0.0451395,  0.0828975, -0.0853216, -0.0299833,  0.0914031, -0.0230654, -0.0146745,  -0.039107, -0.0272718,   0.108301, -0.0180798,  0.0761262,  0.0886061,  -0.031029, -0.0215531,  0.0222311, -0.0404157,  0.0798213, -0.0434936, -0.0745541, -0.0456614,  0.0331521, -0.0073276,  0.0347533,  0.0598311,   0.076922, -0.0250325, -0.0923253,  0.0423711, -0.0910942, -0.0833583,  0.0108002, -0.0418628,  0.0522498,-0.00442591,  0.0295738,  0.0124412,   0.015777, 0.00455174,-0.00524767,  0.0192883, -0.0513491, 0.00539112, -0.0059873,  0.0521642,  0.0266831, 0.00330564, -0.0158128
RF02913#URS0000D6C5B0_12908/1-80#subopt21,   0.0446252,  -0.0383703,  -0.0405151,   0.0126685,  -0.0180203,  -0.0228674,   0.0388359,   0.0094795,   0.0178486,   0.0757358,   0.0835671,  -0.0184813,   0.0181198,  -0.0791746,-0.000114124,   0.0113082,   0.0437977,  -0.0847027, -0.00644135,   0.0200548, -0.00163072,   0.0562158,  -0.0153355,  -0.0772235,  -0.0249937,   0.0249291,   -0.028664,   -0.012168,  -0.0644096, -0.00763925,   -0.023613,   0.0488735,  -0.0527983,   0.0223131,  -0.0484158,  -0.0477152,   0.0245579,   0.0143365,  -0.0403356, -0.00697396,  -0.0102387,  0.00750433,   -0.029756,  -0.0209691,  0.00728855,  -0.0611254,   0.0536505,  -0.0380196,   0.0413342, -0.00231497,   0.0158256,   0.0621918, -0.00434201,  0.00577212,   0.0152515,   0.0209778,  -0.0174845,   0.0260896,  0.00891293,  -0.0355247,   0.0113585,  -0.0598764,  -0.0255476,  -0.0272765,   0.0314502,  -0.0333402,  -0.0564387, -0.00214296,   0.0306852,   0.0633088,  -0.0405951,  -0.0539982,   0.0126181, -0.00227716, -0.00896698,   0.0307886,  -0.0907215,   0.0296317,   0.0850901,  -0.0666999,   0.0324332,  -0.0234883,  -0.0196559,   0.0308635,   0.0320871,  0.00266919, -0.00181895,-0.000575667,   0.0719666,  0.00290074,   0.0362636,  -0.0167955,-0.000780483,   0.0234341,  -0.0433786,  0.00285916,  -0.0162314,  0.00826731,  -0.0187185,  -0.0016273,  0.00174139,   0.0197542,  -0.0281426,  -0.0101607,     0.00908,  0.00189076,  -0.0145895, -0.00896763,  0.00289767,   0.0537533,  0.00554707,  -0.0120767,   0.0103995,   0.0155261, -0.00282014,   0.0123545,  -0.0572707,   0.0126625
RF02913#URS0000D6C5B0_12908/1-80#subopt22,   0.0502192,  -0.0379665,  -0.0474741,   0.0292117,  -0.0111393, -0.00220522,   0.0207279,   -0.043507,   0.0311791,   0.0372711,   0.0982698,   0.0190123,  -0.0292736,  -0.0707966,  0.00415592,  -0.0353642,   0.0298974,   -0.050304,-0.000689011,  0.00940185,  0.00325637,  -0.0256454,  -0.0260153,  -0.0582656,   0.0349903,   0.0826904,  -0.0465717,   -0.012893,  -0.0276993,   0.0501236,   -0.049913, -0.00164581,  -0.0622035,   0.0149274,  0.00127489,  -0.0547231,  -0.0180763,   0.0230603,  -0.0331027,  0.00379785,  0.00179693,   0.0065696,  -0.0248787,  0.00534945,  -0.0348994,  -0.0542131,    0.101523,  -0.0926615,   0.0731371,  -0.0247617,   0.0132846,   0.0528713,   0.0375288,   0.0695732,  -0.0278383,  -0.0320797,    0.037604,   0.0259453,  -0.0432546,   0.0509857,  -0.0214888,  -0.0167616,   0.0469124,  -0.0189197,  -0.0483884,  -0.0409243,   -0.018375,  -0.0415917, -0.00701792,  -0.0149753,   0.0280663,   0.0274087,  -0.0017614,   0.0384105,  -0.0206896,   0.0705698,   0.0524938,  -0.0931325,   0.0679848,   -0.066971,   0.0285337, -0.00492244,   -0.093615,   0.0113258,  -0.0303512,  -0.0311281,   0.0191442,  -0.0505502,    0.061609,  -0.0340043,   -0.101052, 5.70323e-05,  -0.0771864,   0.0183428,   0.0432672,  -0.0330658,  -0.0637836,  -0.0232402,  -0.0378119,  0.00752072,   0.0312351,   0.0055415,   0.0307804,    0.024038,   0.0133413,  -0.0297024, -0.00626419,   0.0187376, -0.00743639,    0.122316,   0.0375059,  -0.0467009,   0.0389649,    0.032287, -0.00776871,     0.01241, 0.000490246,   0.0351661
RF02913#URS0000D6C5B0_12908/1-80#subopt23,  0.0448556, -0.0379739, -0.0425853,  0.0111791, -0.0247045, -0.0253732,  0.0721216, 0.00335594, 0.00965789,  0.0630939,  0.0832056, -0.0229756,  0.0277697, -0.0564339,-0.00298439,  0.0325921,   0.031026, -0.0830294,-0.00748926,  0.0136877, -0.0183457,   0.027166,    0.01229, -0.0956682,  -0.042392,-0.00583703, -0.0305669, -0.0197702, -0.0903011, -0.0636098, -0.0419939,  0.0623411, -0.0494167, -0.0169535, -0.0284833,  0.0029276,  -0.025329,-0.00252737, -0.0216284, -0.0106256,  0.0216944, 0.00774782, -0.0271678, -0.0319879, -0.0262877,  0.0706956,  -0.043428,  0.0469189,  0.0942711,-0.00373569,0.000957852, -0.0449866, -0.0185744, -0.0805753, -0.0149481,   -0.09456,  0.0601437,  0.0586539, -0.0275268,  -0.111902,  0.0161569, -0.0775827, 0.00551251,-0.00993105, -0.0952033,  0.0329986, -0.0277519, -0.0479068, -0.0230312,  0.0957668,  0.0197946,  -0.054306,  0.0372495,  0.0136053, -0.0152426,   0.107936, -0.0426612,  0.0241176,   0.114046, 0.00690699, -0.0688729,  0.0329559, -0.0289075,  0.0387734,-0.00283751, -0.0588754,  0.0135499, -0.0221759,  0.0562098,  0.0112522,-0.00249045, -0.0278224, -0.0348451,  0.0159379, -0.0175277,-0.00641672,   0.032956,-0.00326059, -0.0128429, -0.0328176, -0.0234529, 0.00842456,  0.0353649,   0.020714,  0.0060363,0.000378653,  0.0278054, -0.0168283,   0.037267,  0.0708687, 0.00335044, -0.0521915, 0.00797035,  0.0158338, -0.0596495, 0.00830103,  0.0177003,  0.0592182
RF02913#URS0000D6C5B0_12908/1-80#subopt24,   0.0512577,  -0.0400397,  -0.0529779,   0.0255481, -0.00705146,   0.0114736,   0.0835689,   0.0159514,  0.00127109,  -0.0273672,   0.0246263,   -0.017979,  -0.0397247,   0.0622863,  -0.0109659,  -0.0330024,    0.113756,  -0.0592395,  -0.0616828,  -0.0335246,  0.00171727,  -0.0217286,      0.0149,   0.0116928,  0.00703073,   0.0314878,  0.00123368, -0.00959305,  0.00763335,  -0.0589818,   0.0725708,  0.00227321, -0.00861202,  -0.0726354,  -0.0650925,   0.0656221,  0.00754384,  -0.0719123,  -0.0140766,   -0.023009,  -0.0266859,   0.0385258,  -0.0874983,  -0.0547267,    0.054202,  -0.0286887,     -0.1076,   0.0326474,  -0.0409254,   0.0264536,  -0.0185859,   0.0351976,   -0.123566,  0.00769487,  -0.0347212,-0.000996983,  -0.0229503,  -0.0210872, -0.00731428,    0.141999,   0.0546748,   0.0318572,    0.016388,   -0.103382,   0.0536437,   0.0709479,   0.0469116,   0.0144467,  -0.0725514,  -0.0483186,  -0.0535465,    0.116485,  -0.0422682,   0.0108857,   0.0518324,  -0.0780581,   0.0022368,   0.0824553,  0.00268953,  0.00509642,   0.0062038, -0.00711588,   0.0798679,   0.0151535,  -0.0239597, -0.00601378,   0.0154244, -0.00364567,  0.00958301,    0.018094,  -0.0145503,  -0.0227151,  0.00467548,   -0.051496,  -0.0473878,   0.0146916,  -0.0266508,  -0.0379935,   0.0138956,   0.0315257, -0.00283019,-3.40921e-05, -0.00271706,  0.00950258, 0.000384655,   0.0429193, -0.00569586,  -0.0618022,   0.0819085,   0.0163358, -0.00216852,   0.0256197, -0.00464347,   0.0151287,   -0.011204,  -0.0481016,   0.0301589,   0.0112713
RF02914#URS0000D68A3E_12908/1-36#subopt0,   0.0216938, -0.00889039, -0.00672954,  -0.0782177,  0.00084013,  -0.0179961,   0.0408084,  -0.0537043,  -0.0471981,   0.0319872,  0.00883432,  -0.0549558,   0.0458725,   0.0567971,   0.0214318,   0.0151269,  -0.0297191,  -0.0305207,   0.0350273,   0.0359044,   -0.102217,  -0.0887434,-0.000451039,  -0.0120465,  -0.0328631,  0.00960032,   -0.054614,  -0.0340673,  0.00447525,  -0.0347311,  0.00024769,  -0.0361981,   0.0188619, -0.00920729,  -0.0106319,    0.023835,  -0.0150494,  0.00568296,   0.0248019, -0.00929098, -0.00101892,  -0.0157677, -0.00529993, -0.00668107,   0.0204253,   0.0403792,   0.0164047,  -0.0468737,   0.0259572,   0.0254729,  -0.0132627,  -0.0227889,  0.00405424,  0.00173478,  -0.0463862,   0.0366642, -0.00429598,  -0.0358191,   -0.011719,  -0.0125465,  -0.0278315,  -0.0200286,  -0.0203569,   0.0170616,   0.0178296, -0.00502649,  -0.0563468,   0.0514417,   0.0288881,  -0.0359312,  -0.0490563,  -0.0183802,  -0.0077638,  -0.0562872,   0.0438976, -0.00188267,    0.017053,   0.0107704,  -0.0122876,  -0.0506293,   0.0223815,  -0.0299262,   0.0190916,   0.0380614,   0.0214181,   0.0339099,  -0.0165785,   0.0953438,   0.0241842,  -0.0159496,   0.0258636,   0.0112329,  -0.0055212,   0.0611754, -0.00762022,    0.024696,   -0.074896,   0.0306245,  -0.0567812,   0.0384176,   0.0199959,  -0.0226175,  -0.0581683, -0.00209092,-0.000803442,  -0.0284312, -0.00771536,  -0.0113576, 0.000797262,  -0.0151576,   0.0053143,  -0.0082525, -0.00346696,   0.0170638,-0.000753969,    0.023656,   0.0105551,  0.00979675
RF02914#URS0000D68A3E_12908/1-36#subopt1,   0.0213318, -0.00846505, -0.00478479,  -0.0869161,  0.00318394,  -0.0348987,   0.0270989,  -0.0432551, -0.00805554,  -0.0196266,   0.0297474,  -0.0813504,   0.0718357,   0.0247389,   0.0895708,-0.000558173,  -0.0240701,   0.0316929,   0.0224271, -0.00702023,  -0.0473016,  -0.0744324,   0.0181957,  -0.0848703,   0.0462949,  -0.0265897,  -0.0281886, -0.00509031,    -0.08245,  -0.0433843,   0.0354444,  0.00183457,  0.00255654, -0.00291906,   0.0166018,   0.0506228,  -0.0455399,  -0.0466577,  -0.0448814,  -0.0427188,  -0.0160635,   0.0455819,   0.0416075,   0.0763713,  -0.0869946,  -0.0272263,   -0.081545,  -0.0644095,   0.0281852,   0.0333385,  -0.0396977,  -0.0388596,   -0.031838,  0.00948159,  -0.0279583,   0.0102595,  -0.0199352, -0.00843834,  -0.0500531,  -0.0287266,  -0.0234631,  -0.0324426,   0.0352348,  0.00706498,   0.0520381,   0.0251264,  -0.0441548,   0.0026422,    0.031188,  -0.0479688, 0.000939129,  -0.0123796,  0.00178852,  -0.0223278,   0.0101021,  0.00178051,   0.0471639,  -0.0272082,  -0.0347306,  -0.0254659,  0.00468748,    0.023521,   0.0248606,   0.0414694,  -0.0281747,  -0.0350491,   0.0197373,   0.0543944, -0.00805238,   0.0202201,   0.0243282,  -0.0117348,  0.00143396,   0.0354103,   0.0227977,  0.00435065,  0.00840378,   0.0248775,  -0.0313279,  -0.0127864, -0.00838699,   0.0023101, -0.00872667, -0.00676601,  -0.0145317,  -0.0266732, -0.00489349, -0.00966823, -0.00706487, -0.00459241, -0.00120017,  0.00246556,  -0.0095773,   0.0120039,  -0.0342028,   0.0196663,    0.024288, 0.000175416
RF02914#URS0000D68A3E_12908/1-36#subopt2,  0.0261703,-0.00428728, -0.0122023, -0.0861676, -0.0151628,  -0.026766, -0.0104892, -0.0193061,  0.0386132,  0.0572241,  0.0321127,  -0.120886,  0.0716905,  0.0111308,   0.109194, -0.0228558, -0.0103382,   0.031593, -0.0206286, -0.0137172,  0.0526282, 0.00375475, -0.0135969,-0.00491407,  0.0357876,-0.00834447,  0.0273147,  0.0280066, -0.0128997,  0.0239109,  0.0137709,  0.0384352, -0.0183906, -0.0104285,0.000770513,-0.00209908,  0.0145052, -0.0150917, -0.0418532, -0.0419464, 0.00994296,  0.0479431,-0.00902839,  0.0181781, -0.0330375,  0.0322004, -0.0990079, -0.0246054,  0.0662618,  -0.018027, -0.0701422, -0.0300097, -0.0230524,  -0.021289, -0.0287063,  0.0223435, -0.0487263,  0.0210854, -0.0318049, -0.0531278, -0.0351033, -0.0711746,  0.0314119,  0.0159801,  0.0285295,   0.050769, -0.0278637,  0.0107751,  0.0215854, 0.00509998,-0.00402823,  0.0207532, -0.0377292, -0.0488476,  0.0268924,  0.0275413,   0.100885, -0.0193707,  -0.054277,  0.0316649, -0.0202556,  0.0537001, -0.0173933,  0.0447737, -0.0727448, -0.0345282,  0.0186537,  0.0470416, -0.0190707,  0.0465461,-0.00632047, -0.0278016, -0.0325323, -0.0212645,  0.0461584,-0.00476793,  0.0341115,  0.0170507, -0.0218721, -0.0348466, -0.0727803,  0.0151241,-0.00917673, -0.0194769, -0.0172766, -0.0133121, -0.0268623,-0.00247008,  0.0142387, -0.0169559,0.000796869,-0.00677164, 0.00356275,  0.0369779, -0.0224161,  0.0328833,  0.0305778,-0.00399637
RF02914#URS0000D68A3E_12908/1-36#subopt3,   0.0217356, -0.00899509, -0.00688782,  -0.0797333, 0.000991741,  -0.0181737,   0.0434652,  -0.0555951,  -0.0483342,   0.0329098,   0.0115943,  -0.0604316,   0.0519491,   0.0598741,   0.0294636,   0.0171798,  -0.0345138,  -0.0257124,   0.0374201,   0.0360324,   -0.112619,  -0.0990499,  0.00491302,  -0.0316233,  -0.0326886,  0.00334653,  -0.0572593,  -0.0384535,  -0.0105394,  -0.0594135, -0.00684897,  -0.0417339,   0.0207644,  -0.0182068, -0.00282289,   0.0497733,  -0.0271136,   0.0010999,   0.0277519,  -0.0246258,    0.007283,   -0.020862, -0.00809143,  0.00119829,   0.0219071,   0.0683501,  -0.0111809,  -0.0639208,   0.0783611,   0.0116914,  -0.0379537,  -0.0295833,   0.0153252,  -0.0358488,  -0.0417573,   0.0287467,  0.00725259,  -0.0293597,  -0.0476206,  -0.0209771,  -0.0298482,  -0.0442264,  0.00189701,   0.0239236,  -0.0137378,   0.0145208,  -0.0617118,   0.0200237,    0.017214,  -0.0436469,  0.00495935,  -0.0249408,  -0.0111113,  -0.0145733,   0.0456646,   0.0103501,   0.0298082,   0.0160844,  -0.0624679,   0.0127207,   -0.015695,    0.015506,    0.013681,   0.0140041,  -0.0529285,   0.0104166,   0.0171749,   0.0690164,  0.00496666,-0.000763211,  0.00303527,  0.00768521,  -0.0212068,   0.0178409, -0.00516571,   0.0266512,  -0.0291584,   0.0368092,  -0.0460423,  0.00793944,  -0.0105407,  -0.0197197,  -0.0197755,  0.00695627,  2.7603e-05,  -0.0158888, -0.00887481, -0.00123518, -0.00793408,    -0.00731, -0.00235962,   0.0271841,  -0.0197246,   0.0100476,   0.0339921,   0.0200524,   0.0234592,   0.0092238
RF02914#URS0000D68A3E_12908/1-36#subopt4,   0.0264745,  0.00415519,  0.00237777,  -0.0828978,  -0.0372831, -0.00904525,   0.0149742,  0.00636467,   0.0555004,   0.0156531, 0.000410012,  -0.0393329,   0.0505678,  0.00826367,    0.036554,  -0.0052553,  -0.0415696,   0.0756355,   0.0805709, -0.00605218,  -0.0847785,  -0.0170165,   0.0220421,  -0.0227543,   0.0334097,  0.00166177,  -0.0462167,  0.00228664,   0.0280103,   0.0126182,    0.078608,   0.0696775,   0.0634674,  -0.0415308,   0.0141268,   -0.011016,  -0.0516246,   0.0290449,  0.00939349,   0.0158151,   0.0575464,   0.0102507,  -0.0623661,   0.0205444,   0.0526806,   0.0860173, 5.23929e-05,  -0.0248821,    0.148439,   -0.134882,   0.0131341,  -0.0411227,   -0.115979,  -0.0174759,    0.120197,   0.0644713,  0.00790265,   0.0631454, -0.00914574,  -0.0493865,   0.0324786,   0.0292122,    0.021177,  -0.0354006,   0.0790016,  -0.0127273,   0.0174459,  -0.0524988,  -0.0227861,   0.0302563,   0.0274317,   0.0553293, -0.00371676,   0.0374766,    0.027532,  -0.0309174,  0.00864237,  -0.0502011,   0.0178017,  -0.0339863,  0.00295873,  -0.0356023,  -0.0284392, -0.00186212,  0.00209995,   0.0653939,  -0.0198661,  -0.0851864,   0.0133386,  0.00967402,   0.0221521,   0.0210696,   0.0643282,  -0.0616022,  -0.0104894,  -0.0490912,   0.0171437,  -0.0510853,   0.0938222, 0.000370806,  -0.0136118, -0.00991638,  -0.0573636,-0.000950949,  0.00564375,   0.0084492,  0.00786022,  0.00912894, -0.00579111, -0.00561938,   0.0090695,-0.000651442,    0.034126,  0.00858729,  0.00787214,  -0.0167224,-0.000299346, -0.00877401
RF02914#URS0000D68A3E_12908/1-36#subopt5,  0.0274683,-0.00309258, -0.0159609, -0.0699922, -0.0298842, -0.0240088,   0.047714, -0.0468132,  0.0151564,  0.0711588,  0.0131522, -0.0723538,  0.0284111,  0.0599012,  0.0130627,  0.0114565, -0.0769934,   0.025901,  0.0164193, 0.00966762,0.000537731,  0.0125239,  0.0290325,  0.0514824, -0.0215352,  0.0284567,  0.0132578, -0.0237397,  0.0820656,  0.0355318, -0.0369121,  0.0839616,  0.0267655,  0.0189925, -0.0528581, -0.0950395,  0.0073715,  0.0109996, -0.0476014,  0.0462426,-0.00361532,  0.0176769,-0.00972141,  0.0203796,   -0.02642, -0.0881349,  0.0313594,   0.106849, -0.0648403, -0.0081538,  0.0606589,  0.0111036, -0.0980344, 0.00864419, -0.0260383, 0.00275296, -0.0224578,-0.00958276, -0.0438708, -0.0573606, -0.0146906, -0.0514666,-0.00645937, -0.0840969, -0.0308053, 0.00807306, -0.0391816, -0.0322351, 0.00159462,  -0.091144,  0.0259166, -0.0578741,   0.010993,  0.0215501,  0.0156267, -0.0148228, 0.00379206, -0.0219496,-0.00589888,  0.0235068, -0.0175466,  0.0516027,  0.0518587, -0.0556641,-0.00718889, -0.0231457, 0.00923756, -0.0470082, -0.0136677, -0.0586889,  0.0148866,0.000696599,  0.0495054,  0.0379569,-0.00477385,  0.0202621, -0.0154411,0.000952737, 0.00676366, 0.00209406,  0.0289026,-0.00988317, -0.0110874, -0.0487739,  0.0167577,-0.00378789,  0.0121928, 0.00117285,-0.00795055,-0.00546046, 0.00375399, -0.0175261, -0.0167459,    -0.0264, 0.00274518, -0.0122189, -0.0116425,  0.0113468
