 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8,snm_9,snm_10,snm_11,snm_12,snm_13,snm_14,snm_15,snm_16,snm_17,snm_18,snm_19
RF02924#URS0000D691F7_12908/1-83#subopt2,   3.34961,   1.57407,   1.70486,   1.54583,   1.07313,  0.354418,-0.0209153, -0.115005,  0.543919,  0.688495,  -1.55705,  0.634254, -0.753694,  0.118745, -0.730558,  0.932435, -0.941895,-0.0194228,  0.215785
RF02924#URS0000D691F7_12908/1-83#subopt3,   3.44583,   1.51392,   1.69263,   1.55895,   1.24142,-0.0702597,  0.490368,  0.476102,  0.339905,   0.46761,  -1.44651,  0.515621,  -0.21604, -0.104763, -0.555371,  0.861149,  -1.00176,-0.0750456,  0.218542
RF02924#URS0000D691F7_12908/1-83#subopt4,  4.61326, 0.292205, 0.226127,  1.97645,  1.42585,-0.416707,-0.238236, 0.104911,  1.36154,-0.361033,0.0453562, 0.544839,-0.337177,-0.604029,-0.357909,-0.545078, 0.108663,-0.248218, 0.164754
RF02924#LBBT01000108.1/25002-25086#subopt0,    4.35472,   0.512931,    1.14137,    1.98759,   0.915458,   0.364535,    0.65857,  -0.500121,  -0.527043,    1.15304,   -0.63701, -0.0134568, -0.0506524,   0.142221,-0.00946357,   0.389998,   0.230891,  -0.563948,  0.0450904
RF02924#LBBT01000108.1/25002-25086#subopt1,   4.57397,    1.3231,  0.580927,  0.361659,  0.710414, -0.403142, -0.419753,  0.247965,  0.519315,   0.15112,-0.0549411,   0.12059,   -0.5337,  0.752244, -0.098141,  0.683593, -0.648072,  0.734986,  0.319929
RF02924#LBBT01000108.1/25002-25086#subopt2,    3.9892,   1.85448,  0.116383,   1.44938,  0.427228,  0.121408,  -0.67515,  0.584832,  0.603484,  0.137462,   0.27181,  0.472058,-0.0950292,  0.877663,  0.220079,  0.396313,  -0.60651,  0.721641,  0.404906
RF02924#LBBT01000108.1/25002-25086#subopt3,  4.46759,  1.15321,-0.236489,   1.9947, 0.112995, -0.21766,  -1.0729, 0.117821,-0.819862, 0.193389, 0.513707,-0.618746,-0.837592,0.0928262, 0.182881, 0.372841,-0.206896, 0.747921, 0.118299
RF02924#LBBT01000108.1/25002-25086#subopt4,  4.55566,  1.07078, 0.772685, 0.489575, 0.307304,-0.391564,-0.760196, -0.18778,-0.737293, 0.375839,   0.2798,-0.396396,-0.620333, 0.370995,0.0709304, 0.332609,-0.193674, 0.395128, 0.299555
RF02924#URS0000D6722E_997827/1-84#subopt0,  3.27262,  1.55119,  1.72008,  1.70502, 0.911047,  0.47531,-0.521345,-0.894546, 0.138766,  1.02454, -1.56274, 0.317942,-0.189744,-0.603656,-0.594259, 0.899039,-0.917266,-0.119569,0.0124528
RF02924#URS0000D6722E_997827/1-84#subopt1,  4.11954,  1.22895,  2.15775, 0.128173, 0.745725, 0.156721,-0.592302,-0.372952, 0.271341, 0.448373, -2.01925, 0.123229,-0.749147, 0.114776,-0.278305,  1.42178,-0.434332, 0.126597, 0.215894
RF02924#URS0000D6722E_997827/1-84#subopt2,   3.40521,   1.58501,   1.77843,   1.43465,  0.715575,  0.758876, -0.609882, 0.0381006,  0.131561,  0.525028,   -2.0927,  0.516208, -0.327888,-0.0132629, -0.311273,   1.12776, -0.590856,-0.0381705, -0.126495
RF02924#URS0000D6722E_997827/1-84#subopt3,   4.40534,  0.866092,  0.459694,   1.61235,  0.326961,  0.594377, -0.086483, -0.355182,  0.123921, -0.527752,  -1.98988,  0.976192, -0.503463, -0.039494, -0.822253,  0.517539, -0.156705,-0.0921742, 0.0153927
RF02924#URS0000D6722E_997827/1-84#subopt4,   3.35812,    1.4395,   1.93261,   1.65788,  0.939546,  0.847457, -0.887103, -0.464994, -0.406722,  0.657983,   -1.6642,  0.541239, -0.354786,-0.0311042, -0.612955,   1.32098, -0.597662, -0.221812,-0.0600211
RF02924#URS0000D6722E_525258/1-84#subopt0,  3.27262,  1.55119,  1.72008,  1.70502, 0.911048,  0.47531,-0.521345,-0.894546, 0.138766,  1.02454, -1.56274, 0.317941,-0.189744,-0.603656,-0.594259,  0.89904,-0.917266,-0.119569,0.0124533
RF02924#URS0000D6722E_525258/1-84#subopt1,  4.11954,  1.22894,  2.15775, 0.128172, 0.745724,  0.15672,-0.592303,-0.372952, 0.271341, 0.448373, -2.01925, 0.123229,-0.749146, 0.114776,-0.278305,  1.42178,-0.434332, 0.126597, 0.215894
RF02924#URS0000D6722E_525258/1-84#subopt2,   3.40521,   1.58501,   1.77843,   1.43465,  0.715575,  0.758877, -0.609882, 0.0381006,  0.131561,  0.525029,   -2.0927,  0.516209, -0.327889,-0.0132628, -0.311274,   1.12776, -0.590856,-0.0381705, -0.126495
RF02924#URS0000D6722E_525258/1-84#subopt3,   4.40534,  0.866092,  0.459694,   1.61235,  0.326961,  0.594377, -0.086483, -0.355182,   0.12392, -0.527753,  -1.98988,  0.976192, -0.503463,-0.0394937, -0.822253,  0.517538, -0.156705, -0.092174, 0.0153933
RF02924#URS0000D6722E_525258/1-84#subopt4,   3.35812,    1.4395,   1.93261,   1.65788,  0.939545,  0.847457, -0.887103, -0.464994, -0.406722,  0.657983,   -1.6642,  0.541238, -0.354786,-0.0311043, -0.612955,   1.32098, -0.597661, -0.221812,-0.0600212
RF03064#URS0000D6985E_12908/1-73#subopt0,   4.55186, -0.704743,-0.0413294,   -1.2408,    2.1709,  0.775931,   -1.0297,  0.694281, -0.415786,   1.10234, 0.0377252, -0.631397,  0.106133,  0.266732,  0.116765, -0.209807,  0.346998,-0.0809902, -0.634833
RF03064#URS0000D6985E_12908/1-73#subopt1,    5.16457,    -1.2556,  -0.852985,   -1.06177,    1.86319,   0.478694,  -0.738115,   0.332249,  -0.670578,    1.25973,  -0.490672,  -0.784062,-0.00723389,   0.310018,   0.164459,   0.452445,  0.0223795, -0.0216072,  -0.552631
RF03064#URS0000D6985E_12908/1-73#subopt2,  5.06382,  -1.0038,0.0266525, -1.88233,  2.25976, 0.780215, -1.17092,  0.30228,-0.596371, 0.946813, 0.150023, 0.117282,  0.26901,0.0973764, -0.27797,-0.485621, 0.331945, 0.160037, -0.50203
RF03064#URS0000D6985E_12908/1-73#subopt3,   5.03766,  -0.92062, -0.341949,  -1.74879,    1.9263,  0.836877, -0.735368,  -0.08144, -0.697991,  0.676414, -0.384349, -0.294016,  0.536339,  0.447131,  0.121091,-0.0595306, 0.0847376,  0.335543, -0.477991
RF03064#URS0000D6985E_12908/1-73#subopt4,    4.50653,  -0.791741,-0.00186035,   -1.35398,    2.00315,   0.630997,  -0.624689,   0.961693,  -0.674508,   0.664539,   0.790758,  -0.881272,   0.276723,   0.128893,   0.323844, -0.0532039,  -0.206628,  -0.256761,  -0.980792
RF03064#URS0000D69A75_12908/1-73#subopt0,   4.55186, -0.704743,-0.0413288,   -1.2408,    2.1709,  0.775931,   -1.0297,  0.694281, -0.415786,   1.10234, 0.0377259, -0.631397,  0.106132,  0.266733,  0.116765, -0.209807,  0.346998,-0.0809906, -0.634834
RF03064#URS0000D69A75_12908/1-73#subopt1,    5.16457,    -1.2556,  -0.852985,   -1.06177,    1.86319,   0.478694,  -0.738115,   0.332249,  -0.670579,    1.25973,  -0.490672,  -0.784062,-0.00723401,   0.310018,    0.16446,   0.452444,  0.0223798, -0.0216072,  -0.552631
RF03064#URS0000D69A75_12908/1-73#subopt2,    4.5734, -0.791633, 0.0979719,  -0.80242,   2.07613,  0.179128,  -1.06146,  0.830543, -0.500696,   1.09751,  0.166261,-0.0225384,  0.369775, -0.185547,  0.201298,  0.263793,  0.405712,  0.229587,  -0.50205
RF03064#URS0000D69A75_12908/1-73#subopt3,    4.50653,  -0.791742,-0.00186049,   -1.35397,    2.00315,   0.630997,  -0.624689,   0.961693,  -0.674508,   0.664539,   0.790758,  -0.881272,   0.276723,   0.128893,   0.323844, -0.0532035,  -0.206628,  -0.256762,  -0.980792
RF03064#URS0000D6BAF7_515619/1-73#subopt0,   4.55186, -0.704742,-0.0413288,   -1.2408,    2.1709,  0.775931,   -1.0297,  0.694281, -0.415786,   1.10234, 0.0377254, -0.631396,  0.106132,  0.266732,  0.116765, -0.209807,  0.346998,-0.0809904, -0.634834
RF03064#URS0000D6BAF7_515619/1-73#subopt1,    5.16457,    -1.2556,  -0.852984,   -1.06177,    1.86319,   0.478693,  -0.738116,   0.332249,  -0.670578,    1.25973,  -0.490671,  -0.784062,-0.00723397,   0.310018,    0.16446,   0.452444,  0.0223791, -0.0216078,  -0.552631
RF03064#URS0000D6BAF7_515619/1-73#subopt2,    4.50653,  -0.791741,-0.00186042,   -1.35397,    2.00315,   0.630998,  -0.624689,   0.961693,  -0.674509,   0.664539,   0.790758,  -0.881272,   0.276723,   0.128893,   0.323844, -0.0532038,  -0.206629,  -0.256762,  -0.980793
RF03064#URS0000D6BAF7_12908/1-73#subopt0,   4.55186, -0.704743,-0.0413287,   -1.2408,    2.1709,  0.775931,   -1.0297,  0.694281, -0.415786,   1.10234,  0.037726, -0.631397,  0.106132,  0.266732,  0.116765, -0.209807,  0.346998,-0.0809906, -0.634834
RF03064#URS0000D6BAF7_12908/1-73#subopt1,    5.16457,    -1.2556,  -0.852985,   -1.06177,    1.86319,   0.478694,  -0.738116,    0.33225,  -0.670579,    1.25973,  -0.490672,  -0.784062,-0.00723423,   0.310018,   0.164459,   0.452444,  0.0223795, -0.0216075,  -0.552631
RF03064#URS0000D6BAF7_12908/1-73#subopt2,    4.50653,  -0.791742,-0.00186064,   -1.35397,    2.00315,   0.630998,  -0.624689,   0.961693,  -0.674508,   0.664539,   0.790758,  -0.881273,   0.276723,   0.128894,   0.323844, -0.0532036,  -0.206629,  -0.256761,  -0.980793
RF02440#GG695971.1/126178-126123#subopt0,   3.08116,   1.20128,   1.61178,   1.09359,  0.621039,   1.91519,-0.0328365, 0.0548024, -0.773704,  0.584761, -0.852616,  -0.24346, -0.457325, -0.185147, 0.0491097, -0.101401,  0.634964,  0.330264,-0.0148937
RF02440#GG695971.1/126178-126123#subopt1,    3.11746,      1.263,    1.50547,   0.979754,   0.533386,    1.76777, -0.0432898,   0.336539,   0.124636,   0.516795,   -1.28119,    0.23825,  -0.260444,-0.00161664,   0.425535,   0.286231,   0.428778,   0.549602,  -0.404113
RF02440#GG695971.1/126178-126123#subopt2,   2.97933,   1.23448,   1.49838,    1.1602,  0.674571,   1.56521,-0.0049104, -0.161408,  -0.62256,  0.694867, -0.701893, -0.223594, -0.598836, -0.192363,   0.12213, -0.169457,  0.304313,  0.174818, 0.0966152
RF02440#GG695971.1/126178-126123#subopt3,   3.04401,    1.1287,   1.58637,  0.794647,  0.368816,    1.6298,  0.713244,  0.563042,  -1.21999, -0.205306,   -0.1533, -0.560902,-0.0545026, -0.432888,  0.498567, 0.0192857, -0.153851, 0.0315734, -0.199016
RF02440#GG695971.1/126178-126123#subopt4,    2.94219,     1.1619,    1.47296,    0.86125,   0.422353,    1.27983,    0.74117,   0.346833,   -1.06885, -0.0951997,-0.00257815,  -0.541036,  -0.196011,  -0.440106,   0.571589, -0.0487712,  -0.484501,  -0.123872, -0.0875072
RF02440#LFZW01000001.1/2096884-2096831#subopt0,   3.11361,   1.29827,    1.4836,  0.968143,  0.598165,   1.85536,-0.0549488,  0.296026,  0.115475,  0.442124,  -1.30973,   0.17167, -0.224778,-0.0249541,   0.39352,  0.293031,  0.431437,  0.535114, -0.352302
RF02440#LFZW01000001.1/2096884-2096831#subopt1,  3.10072,  1.09179,  1.69506,  1.24342, 0.751011,   1.8535, -0.37117,-0.222953,-0.408425, 0.708029,-0.852681, 0.300953,-0.271555,0.0397205, 0.131931,  0.49576, 0.409383, 0.396918,-0.371811
RF02440#LFZW01000001.1/2096884-2096831#subopt2,   3.01179,   1.33147,    1.3702,   1.03475,  0.651699,   1.50539,-0.0270246,  0.079817,  0.266616,   0.55223,    -1.159,  0.191537, -0.366285,-0.0321726,  0.466541,  0.224974,  0.100787,  0.379668, -0.240792
RF02440#LFZW01000001.1/2096884-2096831#subopt3,  3.07646,  1.22569,  1.45818, 0.669204, 0.345945,  1.56998, 0.691136, 0.804268,-0.330818,-0.347944,-0.610405, -0.14577, 0.178046,-0.272699,  0.84298, 0.413715,-0.357378, 0.236424,-0.536424
RF02440#LFZW01000001.1/2096884-2096831#subopt4,  2.97464,  1.25889,  1.34478, 0.735806,  0.39948,     1.22,  0.71906, 0.588057,-0.179676,-0.237836, -0.45968,-0.125904,0.0365369,-0.279916, 0.916002, 0.345659,-0.688028,0.0809781,-0.424915
RF02440#AJLR01000146.1/149633-149688#subopt0,   3.10168,   1.44421,   1.40571,     1.026,  0.518211,   1.50344,  0.170997, -0.151045,  0.548189,   0.75098,  -1.19617,-0.0285163,-0.0827909, -0.626582,  0.373407, 0.0470878,   0.28571,  0.446241, -0.395881
RF02440#AJLR01000146.1/149633-149688#subopt1,   3.08116,   1.20128,   1.61178,   1.09359,  0.621039,   1.91519,-0.0328363, 0.0548026, -0.773704,  0.584761, -0.852617,  -0.24346, -0.457325, -0.185147, 0.0491096, -0.101402,  0.634964,  0.330264,-0.0148936
RF02440#AJLR01000146.1/149633-149688#subopt2,    3.11746,      1.263,    1.50547,   0.979754,   0.533387,    1.76777, -0.0432897,   0.336539,   0.124635,   0.516795,   -1.28119,    0.23825,  -0.260444,-0.00161644,   0.425535,   0.286231,   0.428779,   0.549602,  -0.404113
RF02440#AJLR01000146.1/149633-149688#subopt3,   2.93971,   1.47668,   1.22851,   1.10443,  0.621876,   1.05062,  0.267097, -0.454548,  0.811086,  0.948682, -0.989228,0.00370816, -0.263272, -0.689526,  0.464471,-0.0734232, -0.155833,  0.283123, -0.227844
RF02440#AJLR01000146.1/149633-149688#subopt4,    2.97933,    1.23448,    1.49838,     1.1602,    0.67457,    1.56521,-0.00491103,  -0.161408,   -0.62256,   0.694867,  -0.701893,  -0.223594,  -0.598836,  -0.192363,    0.12213,  -0.169457,   0.304313,   0.174818,   0.096615
RF02440#MRTP01000001.1/119356-119302#subopt0,  3.07735,  1.08835,  1.64678,  1.18551, 0.450377,   1.5613, 0.058847,-0.122442,-0.838759, 0.752289,-0.688507,-0.108752,-0.656607,-0.299393, 0.384232, -0.12377, 0.582963, 0.218103,-0.101833
RF02440#MRTP01000001.1/119356-119302#subopt1,  3.09792,  1.18423,  1.55876,  1.04437, 0.416495,  1.41653,0.0995239, 0.185329,0.0765302, 0.687352, -1.05328, 0.256143,-0.545332,-0.155164, 0.691634, 0.270163, 0.435537, 0.277534,-0.436154
RF02440#MRTP01000001.1/119356-119302#subopt2,   2.91537,   1.12083,   1.46958,   1.26393,  0.554041,   1.10848,  0.154947, -0.425946, -0.575861,   0.94999, -0.481568,-0.0765272, -0.837088,  -0.36234,  0.475299, -0.244279,   0.14142, 0.0549844, 0.0662038
RF02440#MRTP01000001.1/119356-119302#subopt3,    3.04021,    1.01577,    1.62136,   0.886569,   0.198156,    1.27591,   0.804928,   0.385798,   -1.28505, -0.0377776,  0.0108099,  -0.426194,  -0.253784,  -0.547136,    0.83369,-0.00308547,   -0.20585, -0.0805874,  -0.285955
RF02440#MRTP01000001.1/119356-119302#subopt4,  2.87823,  1.04825,  1.44416, 0.964995, 0.301823, 0.823092, 0.901027,0.0822953, -1.02215, 0.159925,  0.21775,-0.393968,-0.434264, -0.61008, 0.924757,-0.123596,-0.647393,-0.243706,-0.117919
RF01695#CP001068.1/10238-10328#subopt0,  3.78027, 0.507689,   1.7908,-0.948405,0.0775667, 0.601087,-0.331983,-0.738039,  -1.0061,  0.60805, 0.677063, 0.140813, -0.80833,0.0527587, 0.361336,-0.284351,  0.52581,  0.62641,  -0.9971
RF01695#CP001068.1/10238-10328#subopt1,  3.76586, 0.482802,  1.68109,-0.926265, 0.316483,0.0780639,-0.783924,-0.933897,-0.976742,-0.440326,  0.23571, 0.598994,-0.869558,-0.250879, 0.186219,-0.179137, 0.132161, 0.658227,-0.895451
RF01695#CP001068.1/10238-10328#subopt2,    3.59555,   0.438333,    1.19439,    1.68833,   0.517009,     0.8444,  -0.508402, -0.0753172,  -0.541063,   0.343189,  -0.202491, -0.0436514,  -0.760074,-0.00817117,   0.504463,  -0.725962,   0.381552,  -0.751145,  -0.247191
RF01695#CP001068.1/10238-10328#subopt3,  3.37765, 0.411915, 0.633059,  1.17253, 0.492955,  0.39143,-0.665215,-0.196304,-0.674374, 0.202262, 0.276684, 0.140999,-0.949667, 0.256269, 0.554592,-0.739578, 0.874646,-0.477397,-0.933333
RF01695#CP001068.1/10238-10328#subopt4,   3.96221,  0.230236,  0.369416, 0.0142067,  0.370776,-0.0285196, -0.264119, -0.575303, -0.284347,  0.171834, -0.877704, -0.123847, -0.792121,  0.824886,   1.13924, 0.0356966,    0.3146,  0.422918,  -1.26289
RF01695#CT573326.1/1493171-1493081#subopt0,   4.11068,  0.775482, 0.0777548,   1.08256,  0.297723, 0.0620724,   1.07839,  -0.99551,  -0.22713, -0.206969,   0.72586,  0.782616, -0.346842, -0.229491,  0.432471, 0.0392856,-0.0306578,   0.49731,  -1.21194
RF01695#CT573326.1/1493171-1493081#subopt1,   3.97152,  0.953416,-0.0859652,   1.36242,     1.003, -0.779422,   1.70815, -0.164408, -0.140972,  -1.00252,  0.284345,  0.502842,  0.446185, -0.493285,  0.413447, -0.480693,  -0.26568,  0.867379,   -0.5455
RF01695#CT573326.1/1493171-1493081#subopt2,  4.08135, 0.818948, 0.215675,  1.49693, 0.638494,-0.565736, 0.885454,-0.861945,-0.241086, -0.64246, 0.375474, 0.509798, 0.191437,-0.246491, 0.598656,-0.208887,-0.150574, 0.771214,-0.997635
