 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8,snm_9,snm_10,snm_11
RF02914#URS0000D676FA_12908/1-35#subopt0,   1.35452,  0.733656,  0.180414, -0.162201, -0.152351,  0.604236, -0.603605, 0.0506012,  0.138066,-0.0296888,  0.184131
RF02914#URS0000D676FA_12908/1-35#subopt1,  2.54378, 0.140969, 0.639681, -0.47883,-0.202033,   1.2614,-0.240232, 0.827378, 0.447628,-0.130669, 0.262805
RF02914#URS0000D676FA_12908/1-35#subopt2,  2.46016,0.0508812, 0.899613,-0.571529,-0.524673, 0.790768,-0.171272, 0.234757, 0.605603,0.0819998,-0.284232
RF02914#URS0000D67F50_12908/1-35#subopt0,   1.35452,  0.733657,  0.180414, -0.162201, -0.152351,  0.604236, -0.603605, 0.0506013,  0.138066,-0.0296888,  0.184131
RF02914#URS0000D67F50_12908/1-35#subopt1,  2.59431,0.0962542, 0.750507,-0.538468,-0.337094, 0.932677,0.0322735,  0.36348, 0.743653,-0.634536,-0.456551
RF02914#URS0000D67F50_12908/1-35#subopt2,  2.54378, 0.140968, 0.639681,-0.478831,-0.202032,   1.2614,-0.240232, 0.827377, 0.447627,-0.130669, 0.262805
RF02914#URS0000D65E22_12908/1-36#subopt0,    2.6622,   2.13153,    0.2819, -0.322284,  0.832108,  0.504326,-0.0868801, -0.465613,  0.307448,  0.690562,  0.475041
RF02914#URS0000D65E22_12908/1-36#subopt1,    1.38212,   0.781818, -0.0958147,  -0.208338,  -0.820174,-0.00932582,   -0.24584, -0.0368491,   0.497579, -0.0949778,   0.280208
RF02914#URS0000D69D5C_12908/1-36#subopt0,    2.6622,   2.13154,  0.281899, -0.322284,  0.832108,  0.504326,-0.0868807, -0.465613,  0.307448,  0.690562,  0.475041
RF02914#URS0000D69D5C_12908/1-36#subopt1,    1.38212,   0.781818, -0.0958148,  -0.208339,  -0.820174,-0.00932543,   -0.24584, -0.0368494,   0.497579, -0.0949777,   0.280208
RF02924#URS0000D691F7_12908/1-83#subopt0,  3.41262,  1.76967, -1.36838, -1.62909,-0.981672, 0.138304,-0.326243,0.0428551, -1.54876,-0.436301,-0.195236
RF02924#URS0000D691F7_12908/1-83#subopt1,    4.07485,     1.5265,   -1.87227,  -0.444379,  -0.962769,   0.124721,  -0.148008,  -0.709379,   -1.82759,-0.00901832,  -0.916046
RF02924#URS0000D691F7_12908/1-83#subopt2,  3.37448,  1.79387, -1.48341, -1.83254,-0.889162,   0.3938,-0.319781,-0.244126, -1.74277,-0.167282,-0.775258
RF02924#LBBT01000108.1/25002-25086#subopt0,    4.37634,   0.590716,   -1.06407,   -2.12361,  -0.739082,   0.204056,  -0.731452,  -0.675926,   -0.73273,-0.00404523,   0.767023
RF02924#LBBT01000108.1/25002-25086#subopt1,  4.56029,  1.31708,-0.442878,-0.332997,-0.851754,0.0420374, 0.460317,  0.15825,-0.490239, 0.311906,-0.509421
RF02924#LBBT01000108.1/25002-25086#subopt2,  3.98751,  1.77134,0.0758743, -1.42094,-0.493353, 0.287506, 0.613417, 0.746908,-0.159812, 0.538466,-0.492596
RF02924#URS0000D6722E_997827/1-84#subopt0,   3.29687,   1.76452,  -1.55637,  -2.05687, -0.509555,  0.726591, -0.020021,  -1.14665,  -1.55747,-0.0747771, -0.339521
RF02924#URS0000D6722E_997827/1-84#subopt1,  4.13286,  1.56974,  -1.9524,-0.427004,-0.420578, 0.527189, 0.311584,-0.714934, -2.05626,-0.681944,-0.855259
RF02924#URS0000D6722E_997827/1-84#subopt2,   3.4325,   1.8371, -1.56354, -1.81517,-0.346975, 0.796272, 0.139813, -0.24968, -1.97144,-0.840216,-0.714472
RF02924#URS0000D6722E_525258/1-84#subopt0,   3.29687,   1.76452,  -1.55637,  -2.05687, -0.509554,  0.726592,-0.0200205,  -1.14665,  -1.55747,-0.0747771, -0.339521
RF02924#URS0000D6722E_525258/1-84#subopt1,  4.13286,  1.56974,  -1.9524,-0.427004,-0.420579, 0.527189, 0.311584,-0.714934, -2.05626,-0.681944,-0.855259
RF02924#URS0000D6722E_525258/1-84#subopt2,   3.4325,   1.8371, -1.56354, -1.81517,-0.346974, 0.796271, 0.139812, -0.24968, -1.97144,-0.840215,-0.714471
RF02924#URS0000D6722E_499175/1-84#subopt0,   3.29687,   1.76452,  -1.55637,  -2.05687, -0.509555,  0.726591,-0.0200205,  -1.14665,  -1.55747, -0.074777,  -0.33952
RF02924#URS0000D6722E_499175/1-84#subopt1,  4.13286,  1.56974,  -1.9524,-0.427004,-0.420579, 0.527189, 0.311584,-0.714934, -2.05626,-0.681945,-0.855259
RF02924#URS0000D6722E_499175/1-84#subopt2,   3.4325,   1.8371, -1.56354, -1.81517,-0.346975, 0.796271, 0.139812, -0.24968, -1.97144,-0.840215,-0.714472
RF03064#URS0000D6985E_12908/1-73#subopt0,  4.56966,  -0.7901, -0.35987,  1.05452, -1.49344,  2.67243, 0.559975,0.0958482, -0.39635, 0.197875,  1.16971
RF03064#URS0000D6985E_12908/1-73#subopt1,  5.17494, -1.45167, 0.412661, 0.839483, -1.40497,  2.31662, 0.460658,-0.338364,-0.809425,-0.110347,  1.32517
RF03064#URS0000D6985E_12908/1-73#subopt2,  5.06951, -1.04167, -0.47758,  1.60623, -1.39917,  2.74966, 0.527763,-0.400088,-0.122412,0.0320105,  0.69413
RF03064#URS0000D69A75_12908/1-73#subopt0,  4.56966,  -0.7901, -0.35987,  1.05452, -1.49344,  2.67243, 0.559976,0.0958486, -0.39635, 0.197875,  1.16971
RF03064#URS0000D69A75_12908/1-73#subopt1,  5.17494, -1.45167, 0.412661, 0.839482, -1.40497,  2.31662, 0.460658,-0.338364,-0.809425,-0.110347,  1.32517
RF03064#URS0000D69A75_12908/1-73#subopt2,  4.58695, -0.81617,-0.409591, 0.753762, -1.75108,  2.04668, 0.884092,0.0839662,-0.309714,0.0858441,  1.01904
RF03064#URS0000D6BAF7_515619/1-73#subopt0,  4.56966,-0.790099, -0.35987,  1.05452, -1.49344,  2.67243, 0.559976,0.0958482, -0.39635, 0.197876,  1.16971
RF03064#URS0000D6BAF7_515619/1-73#subopt1,  5.17494, -1.45167, 0.412661, 0.839483, -1.40497,  2.31662, 0.460658,-0.338364,-0.809426,-0.110347,  1.32517
RF03064#URS0000D6BAF7_515619/1-73#subopt2,  4.51578,-0.858765,-0.354281,  1.31037, -1.41045,  2.06276, 0.305089, 0.439257, 0.448931,  0.21539,  1.22546
RF03064#URS0000D6BAF7_12908/1-73#subopt0,  4.56966,-0.790101, -0.35987,  1.05452, -1.49344,  2.67243, 0.559975,0.0958478, -0.39635, 0.197875,  1.16971
RF03064#URS0000D6BAF7_12908/1-73#subopt1,  5.17494, -1.45167, 0.412661, 0.839483, -1.40497,  2.31662, 0.460658,-0.338364,-0.809425,-0.110348,  1.32517
RF03064#URS0000D6BAF7_12908/1-73#subopt2,  4.51577,-0.858766,-0.354281,  1.31037, -1.41045,  2.06276, 0.305088, 0.439256, 0.448931,  0.21539,  1.22546
RF03064#CP001107.1/991894-991966#subopt0,  4.56966,  -0.7901,-0.359871,  1.05452, -1.49344,  2.67243, 0.559976,0.0958485, -0.39635, 0.197875,  1.16971
RF03064#CP001107.1/991894-991966#subopt1,  5.17494, -1.45167,  0.41266, 0.839483, -1.40497,  2.31662, 0.460658,-0.338364,-0.809426,-0.110347,  1.32517
RF03064#CP001107.1/991894-991966#subopt2,  4.51577,-0.858766,-0.354282,  1.31037, -1.41045,  2.06276, 0.305088, 0.439256, 0.448931,  0.21539,  1.22546
RF02440#GG695971.1/126178-126123#subopt0,   3.10732,   1.37349,  -1.51523,  -1.66069,  0.152415,   1.60225, -0.652624,-0.0326188, -0.386837, -0.945307,  0.515166
RF02440#GG695971.1/126178-126123#subopt1,  3.14373,  1.44871, -1.36587,  -1.5361, 0.197605,  1.49367,-0.631239, 0.368438, -1.14752,-0.647646,-0.183765
RF02440#GG695971.1/126178-126123#subopt2,   3.00033,   1.37628,  -1.39254,  -1.64216,-0.0162975,   1.33195, -0.595792, -0.269568, -0.391358, -0.581564,  0.491486
RF02440#LFZW01000001.1/2096884-2096831#subopt0,  3.14203,  1.46709, -1.35567, -1.55102,  0.19036,  1.56799,-0.667675, 0.345998, -1.11462,-0.697163, -0.22991
RF02440#LFZW01000001.1/2096884-2096831#subopt1,  3.12017,  1.30807, -1.63917, -1.80025,0.0955349,  1.78812,-0.437317,-0.217668,-0.545683,-0.599845,0.0214008
RF02440#LFZW01000001.1/2096884-2096831#subopt2,  3.03505,  1.46987, -1.23298, -1.53249,0.0216454,  1.29769,-0.610837, 0.109044, -1.11914,-0.333423,-0.253591
RF02440#AJLR01000146.1/149633-149688#subopt0,   3.13204,   1.56801,  -1.22759,  -1.57304,  0.205371,   1.23853, -0.881401,-0.0253206,  -1.21774,-0.0764824,-0.0815137
RF02440#AJLR01000146.1/149633-149688#subopt1,   3.10732,   1.37349,  -1.51523,  -1.66069,  0.152416,   1.60225, -0.652625,-0.0326192, -0.386837, -0.945307,  0.515166
RF02440#AJLR01000146.1/149633-149688#subopt2,  3.14373,  1.44871, -1.36587,  -1.5361, 0.197605,  1.49367,-0.631238, 0.368437, -1.14752,-0.647646,-0.183764
RF02440#MRTP01000001.1/119356-119302#subopt0,  3.09381,  1.27086, -1.50787, -1.65518, 0.179433,  1.22579,-0.688258,-0.282519,-0.404301, -0.77197, 0.580467
RF02440#MRTP01000001.1/119356-119302#subopt1,   3.11573,   1.37804,  -1.36276,  -1.49733,  0.153901,   1.11672, -0.716306,  0.162202,  -1.10289, -0.439288,-0.0339285
RF02440#MRTP01000001.1/119356-119302#subopt2,   2.92574,    1.2581,  -1.32143,  -1.63411,-0.0660426,  0.885845, -0.694415, -0.600422, -0.438258, -0.232007,  0.551571
RF02440#LQXD01000084.1/13844-13897#subopt0,   3.09341,   1.39626,    -1.456,   -1.8366,   0.11109,   1.61321,  -0.71432, -0.515057, -0.686547,-0.0689094,  0.131507
RF02440#LQXD01000084.1/13844-13897#subopt1,  3.14203,  1.46709, -1.35567, -1.55102,  0.19036,  1.56799,-0.667676, 0.345999, -1.11462,-0.697163, -0.22991
RF02440#LQXD01000084.1/13844-13897#subopt2,  3.12017,  1.30807, -1.63917, -1.80024,0.0955345,  1.78812,-0.437318,-0.217668,-0.545684,-0.599845,0.0214009
RF01695#CP001068.1/10238-10328#subopt0,   3.78284,  0.752747,  -1.63989,  0.750154,  0.497459,  0.712663,-0.0460493,  -0.95416,  0.783989, -0.277175,  0.314138
RF01695#CP001068.1/10238-10328#subopt1,  3.74776,  0.75797, -1.53894, 0.738592,0.0956615, 0.386861, 0.456717, -1.27829, 0.837425,-0.812147,-0.649259
RF01695#CP001068.1/10238-10328#subopt2,   3.59118,  0.522486,   -1.1965,  -1.82927,-0.0591511,  0.628662,  0.196328,  -0.19676,   0.13696, -0.316862,  0.306878
RF01695#CT573326.1/1493171-1493081#subopt0,  4.10904, 0.663797, 0.159273, -1.13473,-0.364127, -0.41153, -1.08648,-0.786989, 0.840826, 0.289518,-0.494261
RF01695#CT573326.1/1493171-1493081#subopt1,  3.97344, 0.872229, 0.314435, -1.21967, -1.56211, -1.26834, -1.22341,-0.200978, 0.961258,-0.206253,-0.374069
RF01695#CT573326.1/1493171-1493081#subopt2,    4.0666,  0.767775,-0.0203895,    -1.432, -0.973168, -0.886951, -0.714628, -0.800992,  0.843423, 0.0452848, -0.443715
RF01695#CP001798.1/974535-974621#subopt0,   4.45836,  0.229742,  -1.32963, -0.738895,  -0.36727,  0.438474,-0.0361366,  -0.70624,  0.421379, -0.919344, -0.911016
RF01695#CP001798.1/974535-974621#subopt1,  4.18105, 0.353294,-0.803102,-0.239606,-0.997582,0.0295092,0.0127743,-0.194558, 0.634372,-0.799319, 0.148244
RF01695#CP001798.1/974535-974621#subopt2,  4.33727,-0.121239,0.0779903, -1.60881,-0.563155, 0.552792, 0.649604,-0.459219,  1.10749,-0.584481,-0.862408
RF01695#CP003880.1/163031-162945#subopt0,   2.85904,   1.31382,  -1.55428,  -1.48744, -0.316756,  0.487196, -0.320522, -0.244484,  0.234343, -0.689388,-0.0068991
RF01695#CP003880.1/163031-162945#subopt1,   4.38257,-0.0121198,  0.027579, 0.0492478,  0.536383,  0.973858, -0.902849, -0.958141,  0.662611, -0.481897, -0.552823
RF01695#CP003880.1/163031-162945#subopt2,   4.37294, 0.0788246, -0.185964,-0.0153094, -0.262183,  0.109955, -0.016708,  -1.33652,  0.999419,  -1.09108, -0.852547
RF01695#AP013068.1/3464935-3465025#subopt0,  3.57428, 0.567053,0.0869984, -1.18492,-0.392935,0.0738221,-0.103125,-0.765173, 0.928822,-0.855235,-0.732827
RF01695#AP013068.1/3464935-3465025#subopt1,    4.2927,0.00147881,  0.677523,  -1.42395, -0.210304, 0.0612756, 0.0219908, -0.932984,    1.0702,  -1.73763,  -1.26897
RF01695#AP013068.1/3464935-3465025#subopt2,   3.79056,  0.443068, -0.208704,   -1.4385, -0.573152, -0.417931, -0.792807,-0.0119557,  0.876986,  -1.01894, -0.293063
RF03161#URS0001A233B4_12908/1-63#subopt0,   2.99269,   1.33239, -0.996688, -0.981722,  -0.38852, -0.057696,  -1.54121,  0.672049, -0.319373,-0.0981568,-0.0609859
RF03161#URS0001A233B4_12908/1-63#subopt1,  2.97391,  1.38542,-0.966033, -1.03665,-0.669036,0.0505668, -1.75148, 0.916469,-0.364353,  0.03291,-0.261613
RF03161#URS0001A233B4_12908/1-63#subopt2,  3.73628,  1.09682, -1.38236, 0.435193,-0.567594, 0.118014, -1.82311, 0.803601,-0.287679, 0.487478, -0.49875
RF03161#CP018153.1/1620386-1620448#subopt0,   3.66646,   1.59366,   1.33182, -0.286835,-0.0262886, -0.710251, -0.634143,  0.635901,  0.217617,  0.566099,  0.197363
RF03161#CP018153.1/1620386-1620448#subopt1,   3.56619,   2.11361, -0.134645,   1.29173, -0.112229, -0.453985, -0.722812,-0.0330368, -0.161396,   1.16381,  0.141838
RF03161#CP018153.1/1620386-1620448#subopt2,  2.56784,  2.37422, 0.258828,-0.316089,-0.121202,-0.146752, 0.269573, 0.113945,-0.511187, 0.667814,-0.277261
RF03161#URS0001A244B4_1121932/1-63#subopt0,   3.66646,   1.59366,   1.33182, -0.286835,-0.0262884, -0.710252, -0.634143,  0.635901,  0.217618,  0.566099,  0.197364
RF03161#URS0001A244B4_1121932/1-63#subopt1,   3.56619,   2.11361, -0.134645,   1.29173, -0.112229, -0.453985, -0.722812,-0.0330365, -0.161396,   1.16381,  0.141838
RF03161#URS0001A244B4_1121932/1-63#subopt2,  2.56783,  2.37422, 0.258827,-0.316089,-0.121201,-0.146752, 0.269573, 0.113945,-0.511187, 0.667813,-0.277261
RF03161#ARYN01000005.1/114590-114652#subopt0,  4.85367, 0.745289,  2.44627,-0.670285,-0.124357, -1.57981,-0.554183, 0.278937,0.0111291, 0.283453, 0.521474
RF03161#ARYN01000005.1/114590-114652#subopt1,   3.66647,   1.59366,   1.33182, -0.286835,-0.0262884, -0.710252, -0.634143,  0.635901,  0.217618,  0.566099,  0.197363
RF03161#ARYN01000005.1/114590-114652#subopt2,  5.07546,  0.94932,  1.43825,  0.73736,-0.166662, -1.47216,-0.652857,-0.420019,-0.329741, 0.888949, 0.456228
RF03161#CP016359.1/2478922-2478860#subopt0,  2.90372,  1.45222, -1.12007, -1.14331, -1.31514,-0.555496,  -1.2512, 0.748703,-0.311087, -0.17918, -0.20518
RF03161#CP016359.1/2478922-2478860#subopt1,  2.93527,  1.37817, -1.07759, -1.28433,-0.351072, 0.661903,  -1.3962, 0.480811,-0.710111, 0.260184,-0.618366
RF03161#CP016359.1/2478922-2478860#subopt2,   2.94992,   1.40459,  -1.30411,  -1.39215,  -1.10622,-0.0733552, -0.920681,  0.372996, -0.564907, 0.0566928, -0.426995
RF01739#MRCG01000001.1/170915-170860#subopt0,  4.81842,  1.32038, 0.139204,-0.256433,-0.421073, -1.02091,-0.467935,-0.464154, 0.943645,-0.454242,-0.724693
RF01739#MRCG01000001.1/170915-170860#subopt1,   3.62859,   1.29926,   -1.8711,  -1.62838,-0.0834054,  0.486144, -0.328881, -0.365127,  0.331632,  -1.66236, -0.454206
RF01739#MRCG01000001.1/170915-170860#subopt2,   3.55462,   1.46755,  -1.65266,  -1.43219,-0.0309891, 0.0724028, -0.405418,  0.181477, -0.648652,  -1.41156,  0.167189
RF01739#CM001633.1/4650219-4650298#subopt0,  4.62525, 0.519732,  1.90962, -1.16484, 0.403229,  0.42211,  1.73571,-0.155348,0.0132854, 0.295099, -1.08156
RF01739#CM001633.1/4650219-4650298#subopt1,    5.05482,-0.00374743,  -0.335005,   -2.11472,   0.231791,     1.2187,   -0.76695,   0.240156,   0.661792, -0.0661841,   -1.30885
RF01739#CM001633.1/4650219-4650298#subopt2,  3.86904, 0.614041,-0.301552, -1.56103,0.0979841, 0.652291, -1.29147,  0.69035,-0.232438,  1.20634,-0.605125
RF01739#ALVZ01000231.1/41142-41207#subopt0,  3.91919, 0.556599,0.0726779, -1.61212, 0.641869, 0.150433, -1.46018,-0.656278,-0.322574, 0.647129,-0.912476
RF01739#ALVZ01000231.1/41142-41207#subopt1,  4.47084, 0.778429,-0.306003, -1.86489, 0.182829,-0.474123, -1.03155,-0.632017,-0.538621,-0.579381,-0.388683
RF01739#ALVZ01000231.1/41142-41207#subopt2,   3.92355,  0.653256,-0.0561326,   -1.7292,-0.0499764, -0.396313,  -1.11773, -0.734804, -0.203286,  0.313972, -0.736649
RF01739#JTHE01000274.1/3501797-3501863#subopt0,  5.02058, 0.547094,  1.81886, -1.28261,  0.95738,  1.02984, 0.916949,-0.219051,  1.03097,  0.89694,-0.403151
RF01739#JTHE01000274.1/3501797-3501863#subopt1,  5.39206,0.0934503,  2.12913, -1.23378, 0.794686,  0.77275,  1.22657, 0.533068, 0.387706,-0.144999,-0.564565
RF01739#JTHE01000274.1/3501797-3501863#subopt2,  5.44639,0.0121391,  2.37825, -1.26121, 0.930987, 0.717367, 0.751968,  0.19989, 0.123614,-0.238766,-0.600462
RF01739#AADV02000026.1/14400-14340#subopt0,   3.6624,  1.62609,  -1.4947, -1.51673, 0.117867, 0.330543,-0.671436,-0.117776,-0.328315, -1.33769, -0.69009
RF01739#AADV02000026.1/14400-14340#subopt1,   3.71162,   1.14992,   -1.8725,  -0.09166,  -1.33533, -0.464133, -0.927278, -0.476079,  0.346328,   0.46033,-0.0570171
RF01739#AADV02000026.1/14400-14340#subopt2,   3.71778,  0.819137,  -1.91935,-0.0586323, -0.173062,  0.509192,  -0.60899, -0.662067,  0.174539,  0.503061,  -0.28059
RF03158#MKKD01000014.1/69493-69538#subopt0,   3.29346,0.00178071, 0.0431528,  0.743371,  -2.32005, -0.258168,  0.166838,  0.331416,  0.732986,  0.145975,  0.124349
RF03158#MKKD01000014.1/69493-69538#subopt1,   3.75726, -0.171501,0.00886086,   1.64409,  -2.27659,  -0.60519, -0.669522, -0.749175,-0.0806321,  -0.48595,  0.509646
RF03158#MKKD01000014.1/69493-69538#subopt2,   3.88659, -0.199241,-0.0397797,   1.52973,  -1.98969, -0.371094, -0.856883, -0.981899,  0.571546, -0.582406,  0.269838
RF03158#URS0001A237F1_12908/1-46#subopt0,   3.29346,0.00178128,  0.043153,  0.743372,  -2.32005, -0.258168,  0.166838,  0.331417,  0.732986,  0.145975,  0.124349
RF03158#URS0001A237F1_12908/1-46#subopt1,   3.75726, -0.171501,0.00886111,   1.64409,  -2.27659,  -0.60519, -0.669522, -0.749175,-0.0806319, -0.485949,  0.509646
RF03158#URS0001A237F1_12908/1-46#subopt2,   3.88659, -0.199241,-0.0397792,   1.52973,  -1.98969, -0.371094, -0.856883, -0.981899,  0.571545, -0.582407,  0.269838
RF03158#URS0001A23BF5_1206744/1-46#subopt0,   3.29346,0.00178087, 0.0431528,  0.743371,  -2.32005, -0.258168,  0.166838,  0.331416,  0.732986,  0.145975,  0.124349
RF03158#URS0001A23BF5_1206744/1-46#subopt1,   3.75726, -0.171501,0.00886132,   1.64409,  -2.27659,  -0.60519, -0.669522, -0.749175,-0.0806318, -0.485949,  0.509646
RF03158#URS0001A23BF5_1206744/1-46#subopt2,   3.88659, -0.199241,-0.0397792,   1.52973,  -1.98969, -0.371094, -0.856883, -0.981898,  0.571545, -0.582407,  0.269838
RF03158#MKKY01000090.1/22688-22643#subopt0,   3.29346,0.00178153, 0.0431528,  0.743371,  -2.32005, -0.258168,  0.166838,  0.331416,  0.732986,  0.145975,  0.124349
RF03158#MKKY01000090.1/22688-22643#subopt1,   3.75726, -0.171501,0.00886083,   1.64409,  -2.27659,  -0.60519, -0.669522, -0.749176,-0.0806323, -0.485949,  0.509646
RF03158#MKKY01000090.1/22688-22643#subopt2,   3.88659, -0.199242,-0.0397792,   1.52973,  -1.98969, -0.371094, -0.856883, -0.981898,  0.571545, -0.582407,  0.269838
RF03158#CP006996.1/5211019-5211064#subopt0,  3.29346, 0.001781,0.0431532, 0.743371, -2.32005,-0.258168, 0.166838, 0.331416, 0.732986, 0.145975, 0.124349
RF03158#CP006996.1/5211019-5211064#subopt1,   3.75726, -0.171501,0.00886128,   1.64409,  -2.27659,  -0.60519, -0.669522, -0.749176,-0.0806321, -0.485949,  0.509646
RF03158#CP006996.1/5211019-5211064#subopt2,   3.88659, -0.199242,-0.0397794,   1.52973,  -1.98969, -0.371094, -0.856883, -0.981899,  0.571545, -0.582406,  0.269838
RF03156#URS0001A2333F_12908/1-30#subopt0,   1.38676,  0.901773, 0.0684537, -0.322315,  -1.11626,  0.104333,-0.0771321,-0.0403608, -0.341008, -0.345808, -0.190938
RF03156#URS0001A24418_12908/1-33#subopt0,  1.36701,  0.98028, 0.229916,-0.374813,-0.537218, 0.173756, -0.32575,-0.534439, -0.48498, 0.105379, 0.248648
RF03156#URS0001A24A61_12908/1-30#subopt0,   1.38676,  0.901773, 0.0684536, -0.322315,  -1.11626,  0.104333,-0.0771319,-0.0403607, -0.341008, -0.345808, -0.190938
RF03156#URS0001A24750_12908/1-31#subopt0,   1.40417,  0.944209,  0.104771, -0.363682, -0.612402, 0.0831737,  0.116336, -0.488968, -0.481647,-0.0912197, 0.0277017
RF03156#URS0001A23EBE_12908/1-33#subopt0,  1.36701,  0.98028, 0.229916,-0.374813,-0.537218, 0.173755, -0.32575, -0.53444, -0.48498,  0.10538, 0.248648
RF03106#URS0000D69489_12908/1-147#subopt0,   7.58397,-0.0782881,   1.05836,  -2.25673,   1.37124,  0.544663,  0.529323,  0.622158,   1.39332,  0.636374,  0.446308
RF03106#URS0000D69489_12908/1-147#subopt1,  8.33421,-0.550301, 0.857857,-0.861279,   1.3711, 0.711955, 0.274849,-0.118512,  1.17792, 0.419182, 0.294223
RF03106#URS0000D69489_12908/1-147#subopt2,  8.26355,0.0730597, 0.471801,0.0258339,  1.38241,   1.1503, 0.490274,-0.890843,-0.161484,0.0649205,-0.578541
RF03106#URS0000D673CA_12908/1-145#subopt0,   7.60514,  -1.08738,   1.38243,  -1.11171,  0.330859, -0.100684,  0.795062, -0.602001,-0.0376462,-0.0404587, -0.989789
RF03106#URS0000D673CA_12908/1-145#subopt1,    8.1364,  -1.38815,   1.17317, -0.154887,   0.43667,-0.0801504,  0.623129,  -1.19086, -0.347422,  0.177406, -0.535077
RF03106#URS0000D673CA_12908/1-145#subopt2,  6.93872,0.0613895,  1.14106,-0.743594,-0.070881, 0.111258, 0.471997, 0.521718,-0.340844, 0.846035, -1.56168
RF03106#URS0000D6A2A3_12908/1-133#subopt0,  7.64692,  -1.0919, -1.31922,-0.445391,-0.625937, 0.441955,-0.197809,-0.982157,0.0637306, -0.44096,-0.776568
RF03106#URS0000D6A2A3_12908/1-133#subopt1,   8.05589,  -1.23775,  -1.29092,  0.583261,  -1.13218,  0.445402, -0.841121, -0.173117,  0.295471,-0.0292063, -0.545993
RF03106#URS0000D6A2A3_12908/1-133#subopt2,  7.75143, -1.11855, -1.30603,-0.241041,-0.777343, 0.391036, -0.56998,-0.409422, 0.193696,-0.406816, -0.26966
RF03157#URS0001A23AA2_1121878/1-50#subopt0,  4.37549,  1.58378, 0.567749, 0.555918,-0.407522,-0.416554, 0.548311, -1.52794,-0.264676, 0.599998,  1.54487
RF03157#URS0001A23AA2_1121878/1-50#subopt1,   4.9065,  1.45757, 0.242044,  1.19331,-0.220666,-0.261995,  0.73801, -1.75236,-0.337395,0.0711895,  1.69742
RF03157#URS0001A23AA2_1121878/1-50#subopt2,  4.38355,  1.47377, 0.790198, 0.210974,-0.413086,-0.448251,  0.44927, -1.24128, 0.034274, 0.650101,  1.55175
