 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8,snm_9,snm_10,snm_11,snm_12,snm_13,snm_14,snm_15,snm_16,snm_17,snm_18
RF02913#URS0000D65DF1_12908/1-80#subopt1,  5.23639, -0.83623, -1.55195, 0.300774,-0.652051, 0.699437, -1.08716,  1.32513, 0.147361,-0.576863, 0.946809,-0.330694,  1.66636,-0.704963, 0.329472,  1.50471,-0.808789,-0.381773
RF02913#URS0000D65DF1_12908/1-80#subopt2,   5.14011, -0.907927,   -1.8267,  0.323231, -0.784445,-0.0171874,  -1.84647,  0.540076, 0.0268646, -0.896549,   1.05601, -0.610021,   1.54489, -0.235819,   0.60902,   1.51941, -0.953909, -0.385208
RF02913#URS0000D65DF1_12908/1-80#subopt3,   5.46664,  -1.24308, -0.362589,   1.53722,  -0.36369, -0.608206,  -0.50527,  0.220189,  0.605788, -0.409851,  -0.67661,  -1.46567,-0.0331235,  0.572475,  0.227115,  0.380919, -0.220122, -0.220129
RF02913#URS0000D6C5B0_12908/1-80#subopt0,   5.14011, -0.907926,  -1.82671,  0.323232, -0.784445,-0.0171875,  -1.84647,  0.540078, 0.0268651, -0.896551,   1.05601,  -0.61002,   1.54489,  -0.23582,   0.60902,   1.51941, -0.953909, -0.385208
RF02913#URS0000D6C5B0_12908/1-80#subopt1,  5.31671,-0.827745, -1.81081, 0.326723,-0.922484, 0.665771, -1.74246,  1.24503,  0.38432,-0.630253,-0.214852,-0.129163,  1.01007,-0.929425, 0.513465,  1.64211,-0.702526,-0.011228
RF02914#URS0000D68A3E_12908/1-36#subopt0,   2.65834,   -2.1554, -0.139097, -0.327629, -0.807368,  0.363578, -0.132801, -0.715875,  0.235935,-0.0244788,  0.701532,  0.375731, -0.283619,  0.504893,  0.106238, 0.0362385, -0.871283,  0.010304
RF02914#URS0000D68A3E_12908/1-36#subopt1,   1.37516, -0.786237,  0.116275,  -0.19719,  0.807137,-0.0248537, -0.245402,  0.108128,  0.441438,  0.362282,  0.137204, 0.0790633, -0.189726,  0.246716, -0.223092, -0.302761, -0.329385, -0.349003
RF02914#URS0000D676FA_12908/1-35#subopt0,   1.34648, -0.742616, -0.141899,-0.0972959,  0.161726,  0.551913,  -0.60253, 0.0559941, 0.0700319,   0.25431,  0.238673,  0.352965,  0.225451,  0.236707,  0.126356,  -0.29909, -0.135527, -0.376453
RF02914#URS0000D676FA_12908/1-35#subopt1,  2.54158,-0.206341,-0.648763,-0.410182,   0.1768,  1.33138, -0.24986, 0.721374, 0.337261, 0.446864, 0.559208, 0.545282, 0.581729, 0.125932,0.0781053,-0.550639, 0.433145,-0.555131
RF02914#URS0000D676FA_12908/1-35#subopt2,   2.45445, -0.143484, -0.933583, -0.502541,   0.48856,  0.814339,  -0.13635,  0.264186,  0.449095,-0.0196723,  0.114839,     0.685,  0.365485, -0.207436,  0.790271, -0.341188, 0.0952038, -0.633251
RF02914#URS0000D676FA_12908/1-35#subopt3,    1.40717,  -0.838518,   0.120338,  -0.542996,   0.824379,    0.54876,    0.15134,  -0.601192,   -0.49637,   0.127712,   0.121861,   0.320799,  0.0785245,   0.126601, -0.0465666,   0.128677,-0.00464777,   0.139385
RF02914#URS0000D67F50_12908/1-35#subopt0,   1.34648, -0.742613, -0.141897,-0.0972958,  0.161728,  0.551914, -0.602531, 0.0559929, 0.0700313,  0.254311,  0.238673,  0.352966,  0.225452,  0.236707,  0.126356, -0.299093, -0.135527, -0.376454
RF02914#URS0000D67F50_12908/1-35#subopt1,  2.59069,-0.177251, -0.78422,-0.513159, 0.288234,  1.01293,0.0571719, 0.548368, 0.533933,  0.30836,-0.453684, 0.669233, 0.247363,-0.263934, 0.427365,-0.512059, 0.322891,-0.639345
RF02914#URS0000D67F50_12908/1-35#subopt2,  2.54158,-0.206342,-0.648763,-0.410182, 0.176799,  1.33138,-0.249861, 0.721374, 0.337262, 0.446864, 0.559207, 0.545281,  0.58173, 0.125932,0.0781055,-0.550638, 0.433145,-0.555131
RF02914#URS0000D67F50_12908/1-35#subopt3,   2.45445, -0.143483, -0.933582, -0.502541,  0.488559,  0.814339, -0.136349,  0.264185,  0.449095,-0.0196722,  0.114839,     0.685,  0.365484, -0.207437,  0.790271, -0.341188, 0.0952033, -0.633252
RF02914#URS0000D65E22_12908/1-36#subopt0,  2.65834,  -2.1554,-0.139098, -0.32763,-0.807368, 0.363577,  -0.1328,-0.715876, 0.235935,-0.024479, 0.701532, 0.375731,-0.283619, 0.504893, 0.106237, 0.036238,-0.871283,0.0103029
RF02914#URS0000D65E22_12908/1-36#subopt1,  1.37516,-0.786238, 0.116275,-0.197189, 0.807137,-0.024854,-0.245402, 0.108128, 0.441437, 0.362283, 0.137204,0.0790636,-0.189726, 0.246716,-0.223092,-0.302761,-0.329385,-0.349002
RF02914#URS0000D69D5C_12908/1-36#subopt0,   2.65834,   -2.1554, -0.139098,  -0.32763, -0.807369,  0.363577, -0.132801, -0.715875,  0.235936,-0.0244787,  0.701532,  0.375731, -0.283619,  0.504894,  0.106238, 0.0362379, -0.871283, 0.0103037
RF02914#URS0000D69D5C_12908/1-36#subopt1,   1.37516, -0.786238,  0.116274, -0.197189,  0.807138,-0.0248537, -0.245402,  0.108128,  0.441438,  0.362282,  0.137204, 0.0790635, -0.189726,  0.246716, -0.223092, -0.302761, -0.329385, -0.349002
RF02924#URS0000D691F7_12908/1-83#subopt0,   3.39442,  -1.70546,   1.34968,  -1.52821,   1.14091,    0.1371, -0.508061,  0.190739,  -1.63784, 0.0215387, -0.425992, -0.244377,   0.24964,  0.451198,-0.0747759,  0.420692,    0.2344, -0.528475
RF02924#URS0000D691F7_12908/1-83#subopt1,   4.06979,  -1.44205,   1.87707, -0.292622,   1.21133,-0.0106232, -0.326514, -0.604571,  -1.70245, -0.692004, -0.654799,  0.319326,   1.13704,  0.376395, -0.415107,  0.768614,  0.185517, -0.439364
RF02924#URS0000D691F7_12908/1-83#subopt2,  3.35921, -1.71993,  1.43977, -1.69463,  1.10908,  0.33428,-0.502168,-0.173544, -1.81099,-0.445292, -0.51697,  0.32829, 0.598215, 0.273281,-0.100314, 0.771764,0.0265706,-0.527812
RF02924#URS0000D691F7_12908/1-83#subopt3,   3.45811,  -1.68557,    1.3946,  -1.53782,   1.49908, -0.147159, -0.672543,  0.395159,  -1.61609, -0.123362, -0.384189,0.00496788,  0.126141,  0.289733,-0.0284312,  0.528197, 0.0354623, -0.609375
RF02924#LBBT01000108.1/25002-25086#subopt0,    4.373,-0.556826, 0.982502, -1.98852, 0.990995,0.0980208,-0.840172,-0.722555,-0.704053, 0.762582, 0.427701, 0.263578,  0.13047,0.0647088,-0.218879, 0.230711, 0.159267, 0.511371
RF02924#LBBT01000108.1/25002-25086#subopt1,    4.55637,   -1.33235,   0.428349,  -0.321181,    0.90509,-0.00201062,   0.453686,   0.159804,  -0.386596,  -0.665032,  0.0353308,   0.274375,   0.565777,   0.367169,  -0.526103,   0.816463,  -0.664195,   0.203226
RF02924#LBBT01000108.1/25002-25086#subopt2,   3.97898,  -1.81313,-0.0967923,  -1.46956,  0.491147,  0.316738,  0.555811,   0.55088, -0.277296,   -0.7325,  0.358282,  0.334736, -0.127757, 0.0430291, -0.600115,  0.654354, -0.752071,    0.1276
RF02924#LBBT01000108.1/25002-25086#subopt3,   4.44305,  -1.06867,   -0.3697,  -1.90185,  0.389153,-0.0486311,   1.22665,-0.0754735,  0.571429,  0.509163,  0.232308,  0.391177,  0.947835,  0.882112, -0.144643,  0.317239, -0.384974,  0.637179
RF02924#URS0000D6722E_997827/1-84#subopt0,  3.28765, -1.70153,  1.49876, -1.94583, 0.787867, 0.554213,-0.250463, -1.08476, -1.59071,-0.177811,-0.551594,0.0113485, 0.161588, 0.916138, 0.102913, 0.681133, 0.342788,-0.652803
RF02924#URS0000D6722E_997827/1-84#subopt1,  4.13759, -1.47028,  1.96922,-0.330476, 0.688848, 0.410675,0.0410339,-0.580085,  -1.9893,-0.278493, -1.16118,0.0136354, 0.855953, 0.509149,-0.961337, 0.453587, 0.507584,-0.515355
RF02924#URS0000D6722E_997827/1-84#subopt2,  3.42182, -1.75252,  1.51939, -1.74002,  0.57096, 0.764073,-0.132896,-0.123631, -2.08541,-0.048809, -1.01762,0.0396547, 0.309294, 0.409394, -0.62517, 0.403558, 0.338179,-0.615039
RF02924#URS0000D6722E_997827/1-84#subopt3,   4.40959, -0.869833,  0.248595,  -1.83271,  0.336946,   0.22076, -0.416485,-0.0276069,  -1.45016, -0.251792,  -1.81682,  0.239142,  0.328822, -0.406903, 0.0205862,  0.523715,  0.591332, -0.339815
RF02924#URS0000D6722E_525258/1-84#subopt0,  3.28765, -1.70153,  1.49876, -1.94583, 0.787867, 0.554212,-0.250463, -1.08476, -1.59071,-0.177811,-0.551594,0.0113488, 0.161588, 0.916137, 0.102914, 0.681134, 0.342787,-0.652803
RF02924#URS0000D6722E_525258/1-84#subopt1,  4.13758, -1.47028,  1.96922,-0.330476, 0.688849, 0.410675,0.0410336,-0.580085,  -1.9893,-0.278493, -1.16118,0.0136359, 0.855953, 0.509149,-0.961337, 0.453587, 0.507583,-0.515355
RF02924#URS0000D6722E_525258/1-84#subopt2,   3.42182,  -1.75252,   1.51939,  -1.74002,   0.57096,  0.764073, -0.132896, -0.123631,  -2.08541,-0.0488096,  -1.01762, 0.0396545,  0.309293,  0.409394, -0.625171,  0.403559,  0.338179, -0.615039
RF02924#URS0000D6722E_525258/1-84#subopt3,   4.40959, -0.869833,  0.248596,  -1.83271,  0.336946,   0.22076, -0.416485,-0.0276068,  -1.45016, -0.251791,  -1.81682,  0.239142,  0.328822, -0.406903, 0.0205868,  0.523715,  0.591331, -0.339815
RF02924#URS0000D6722E_499175/1-84#subopt0,  3.28765, -1.70153,  1.49876, -1.94582, 0.787867, 0.554212,-0.250463, -1.08475, -1.59071,-0.177811,-0.551593,0.0113484, 0.161588, 0.916138, 0.102913, 0.681134, 0.342788,-0.652803
RF02924#URS0000D6722E_499175/1-84#subopt1,  4.13759, -1.47028,  1.96922,-0.330475, 0.688849, 0.410675,0.0410333,-0.580085,  -1.9893,-0.278493, -1.16119,0.0136354, 0.855953, 0.509148,-0.961337, 0.453586, 0.507583,-0.515356
RF02924#URS0000D6722E_499175/1-84#subopt2,   3.42182,  -1.75252,   1.51939,  -1.74002,  0.570961,  0.764073, -0.132896, -0.123632,  -2.08541,-0.0488094,  -1.01762, 0.0396546,  0.309293,  0.409394, -0.625171,  0.403558,   0.33818, -0.615039
RF02924#URS0000D6722E_499175/1-84#subopt3,   4.40959, -0.869834,  0.248595,  -1.83271,  0.336946,   0.22076, -0.416485,-0.0276065,  -1.45016, -0.251791,  -1.81682,  0.239142,  0.328822, -0.406903, 0.0205867,  0.523715,  0.591332, -0.339815
RF03064#URS0000D6985E_12908/1-73#subopt0,   4.56458,  0.714848,  0.223262,   1.10119,   1.49593,   2.45131,  0.720883, -0.235125, -0.349318,   0.57258,  0.985535, -0.606254,  0.241106,  0.184879, -0.198254, -0.169868, -0.288208,-0.0504328
RF03064#URS0000D6985E_12908/1-73#subopt1,  5.17351,  1.34084, -0.58682, 0.964483,   1.4342,  1.95945, 0.544927,-0.585642,-0.659298, 0.837712, 0.739529, -0.67249,   0.4519, 0.605622,-0.698584,0.0332969,-0.284371,-0.252643
RF03064#URS0000D6985E_12908/1-73#subopt2,   5.06551,  0.965607,  0.330997,   1.67238,   1.42891,   2.54708,  0.736307, -0.545485, -0.194261,  0.534271,  0.458822, -0.249867, -0.208993,-0.0387629,  0.276897, 0.0939798, -0.204141, -0.256371
RF03064#URS0000D6985E_12908/1-73#subopt3,  5.04342, 0.956528, -0.03884,  1.53837,  1.20457,  2.27515, 0.200876,-0.685605, -0.21486,  0.61282,0.0469547,-0.783916,-0.214583, 0.257544,-0.333199, 0.184458, -0.47953, 0.229761
RF03064#URS0000D69A75_12908/1-73#subopt0,   4.56458,  0.714848,  0.223262,   1.10119,   1.49593,   2.45131,  0.720883, -0.235124, -0.349318,  0.572579,  0.985534, -0.606253,  0.241106,  0.184879, -0.198254, -0.169868, -0.288208,-0.0504325
RF03064#URS0000D69A75_12908/1-73#subopt1,  5.17351,  1.34084,-0.586821, 0.964482,   1.4342,  1.95945, 0.544928,-0.585643,-0.659298, 0.837712,  0.73953,-0.672489,   0.4519, 0.605622,-0.698584,0.0332964, -0.28437,-0.252644
RF03064#URS0000D69A75_12908/1-73#subopt2,   4.58019,  0.735637,  0.266011,  0.762493,   1.71196,     1.834,    1.0048,-0.0895703, -0.371924,  0.713295,  0.880615,-0.0782776, -0.390047,  0.529447, -0.246031,-0.0572585, 0.0426295, -0.197077
RF03064#URS0000D69A75_12908/1-73#subopt3,  4.51026, 0.787185, 0.256675,  1.29944,  1.36533,  1.99488,  0.49362, 0.235827, 0.501444, 0.652345,  1.08479,-0.629135,0.0246552, 0.291412,-0.329454, -0.33995,-0.437566,-0.392986
RF03064#URS0000D6BAF7_515619/1-73#subopt0,   4.56458,  0.714849,  0.223262,   1.10119,   1.49593,   2.45131,  0.720882, -0.235125, -0.349318,  0.572579,  0.985534, -0.606254,  0.241106,  0.184879, -0.198254, -0.169868, -0.288208,-0.0504326
RF03064#URS0000D6BAF7_515619/1-73#subopt1,  5.17351,  1.34084, -0.58682, 0.964483,   1.4342,  1.95945, 0.544928,-0.585643,-0.659298, 0.837712, 0.739529, -0.67249,   0.4519, 0.605622,-0.698584,0.0332962, -0.28437,-0.252643
RF03064#URS0000D6BAF7_515619/1-73#subopt2,  4.51026, 0.787186, 0.256675,  1.29944,  1.36533,  1.99488, 0.493619, 0.235827, 0.501444, 0.652345,  1.08479,-0.629135,0.0246549, 0.291411,-0.329454, -0.33995,-0.437566,-0.392986
RF03064#URS0000D6BAF7_12908/1-73#subopt0,   4.56458,  0.714849,  0.223262,   1.10119,   1.49593,   2.45131,  0.720882, -0.235125, -0.349318,   0.57258,  0.985535, -0.606254,  0.241106,  0.184879, -0.198254, -0.169868, -0.288208,-0.0504327
RF03064#URS0000D6BAF7_12908/1-73#subopt1,  5.17351,  1.34084,-0.586821, 0.964482,   1.4342,  1.95945, 0.544928,-0.585643,-0.659298, 0.837712,  0.73953, -0.67249,   0.4519, 0.605622,-0.698584,0.0332964, -0.28437,-0.252643
RF03064#URS0000D6BAF7_12908/1-73#subopt2,  4.51026, 0.787185, 0.256675,  1.29944,  1.36533,  1.99488,  0.49362, 0.235827, 0.501444, 0.652345,  1.08479,-0.629135,0.0246551, 0.291411,-0.329454, -0.33995,-0.437566,-0.392986
RF03064#CP001107.1/991894-991966#subopt0,   4.56458,  0.714849,  0.223262,   1.10119,   1.49593,   2.45131,  0.720883, -0.235124, -0.349319,   0.57258,  0.985535, -0.606254,  0.241106,  0.184879, -0.198254, -0.169868, -0.288208,-0.0504327
RF03064#CP001107.1/991894-991966#subopt1,  5.17351,  1.34084, -0.58682, 0.964482,   1.4342,  1.95945, 0.544927,-0.585643,-0.659298, 0.837712, 0.739529,-0.672489,   0.4519, 0.605621,-0.698584,0.0332962, -0.28437,-0.252643
RF03064#CP001107.1/991894-991966#subopt2,  4.51026, 0.787185, 0.256675,  1.29944,  1.36533,  1.99488, 0.493619, 0.235827, 0.501444, 0.652345,  1.08479,-0.629135,0.0246547, 0.291411,-0.329454, -0.33995,-0.437566,-0.392986
RF02440#GG695971.1/126178-126123#subopt0,  3.10073, -1.31921,  1.47036, -1.53491,0.0721483,  1.59824,-0.799635,-0.109731,-0.561698,  1.09653,-0.200808,0.0578601, 0.659367, 0.090628, 0.007221,-0.355294, 0.441103, 0.317028
RF02440#GG695971.1/126178-126123#subopt1,  3.13419, -1.37111,  1.33689, -1.43795,0.0357505,  1.51357,-0.839675, 0.226052, -1.28258, 0.245904,-0.332995, 0.142047, 0.284624, 0.259215,-0.538945,-0.356364, 0.181653, 0.110274
RF02440#GG695971.1/126178-126123#subopt2,   2.99399,  -1.32832,    1.3447,   -1.5184,  0.231437,   1.29474, -0.719885, -0.357652, -0.535452,   0.82322,-0.0448489,   0.18878,  0.701873,  0.113632,  0.155659, -0.363938,  0.187911,  0.331025
RF02440#GG695971.1/126178-126123#subopt3,   3.06241,  -1.24858,   1.40448,  -1.07817,-0.0194105,  0.945714,  -1.13845,  0.625537,    0.4503,   1.36704, -0.255693, -0.227301,  0.283061,  0.264021, -0.240188, -0.816915,  0.116963,  -0.28479
RF02440#LFZW01000001.1/2096884-2096831#subopt0,  3.13238, -1.39746,  1.32308, -1.44849, 0.051087,  1.59573,-0.876488, 0.217202, -1.24282, 0.241685,-0.406755,0.0618094, 0.300074, 0.241101, -0.50816,-0.372613, 0.228335, 0.112162
RF02440#LFZW01000001.1/2096884-2096831#subopt1,  3.11335, -1.23783,  1.57251, -1.70098, 0.188675,  1.74128,-0.627143,-0.368661,-0.733939, 0.588416,-0.251961, 0.354925, 0.268919, 0.332719,-0.553326,  0.15173, 0.308411,0.0646938
RF02440#LFZW01000001.1/2096884-2096831#subopt2,   3.02564,  -1.40656,   1.19742,  -1.43198,  0.210378,   1.29223, -0.796734,-0.0307201,  -1.21657,  -0.03163, -0.250798,   0.19273,  0.342581,  0.264104, -0.359724, -0.381256, -0.024859,  0.126161
RF02440#LFZW01000001.1/2096884-2096831#subopt3,   3.09405,  -1.32683,    1.2572,  -0.99175,-0.0404711,  0.943207,   -1.2153,  0.952473, -0.230818,  0.512197, -0.461643, -0.223352,-0.0762313,  0.414494, -0.755571, -0.834231,-0.0958049, -0.489654
RF02440#AJLR01000146.1/149633-149688#subopt0,    3.1207,  -1.50212,   1.21169,  -1.45395, 0.0608084,    1.1958,  -1.08831, -0.209801,  -1.22521, -0.136613,-0.0869363,-0.0870767,  0.148849,  0.712776, 0.0542848, -0.519822,  0.297898, 0.0987054
RF02440#AJLR01000146.1/149633-149688#subopt1,   3.10073,  -1.31921,   1.47036,  -1.53491, 0.0721477,   1.59824, -0.799636, -0.109731, -0.561698,   1.09653, -0.200808, 0.0578602,  0.659367, 0.0906279,0.00722081, -0.355294,  0.441103,  0.317028
RF02440#AJLR01000146.1/149633-149688#subopt2,  3.13419, -1.37111,  1.33689, -1.43795,0.0357502,  1.51357,-0.839675, 0.226053, -1.28258, 0.245903,-0.332995, 0.142046, 0.284625, 0.259215,-0.538946,-0.356364, 0.181653, 0.110273
RF02440#AJLR01000146.1/149633-149688#subopt3,   2.95261,  -1.49804,   1.02188,  -1.42441,  0.300182,  0.805246,  -1.06018, -0.550368,  -1.20467, -0.526863,  0.164863, 0.0930938,  0.187113,  0.810952,  0.317387, -0.526129,-0.0527853,  0.151053
RF02440#MRTP01000001.1/119356-119302#subopt0,   3.09012,  -1.21696,   1.47554,  -1.54942, 0.0570653,   1.20843, -0.785523, -0.298673,  -0.51296,   1.08646,-0.0734625,  0.494595,   0.64775,  0.439291,  0.106271, -0.463045, 0.0804912,  0.601045
RF02440#MRTP01000001.1/119356-119302#subopt1,  3.10748, -1.29702,   1.3527, -1.41209,0.0931379,  1.12282,-0.860143,0.0656807, -1.15344, 0.260653,-0.112058, 0.562905, 0.410624, 0.601707,-0.348759,-0.478784,-0.061332, 0.512586
RF02440#MRTP01000001.1/119356-119302#subopt2,  2.92203, -1.21287,  1.28573, -1.51988, 0.296439,  0.81788,-0.757404,-0.639241,-0.492428,  0.69621,  0.17834, 0.674764, 0.686016, 0.537467, 0.369376,-0.469355, -0.27019, 0.653392
RF02440#MRTP01000001.1/119356-119302#subopt3,      3.0518,    -1.14633,     1.40966,    -1.09269,   -0.034492,    0.555905,    -1.12433,    0.436597,    0.499042,     1.35697,   -0.128345,    0.209435,    0.271444,    0.612685,   -0.141137,   -0.924665,   -0.243647,-0.000772543
RF02440#LQXD01000084.1/13844-13897#subopt0,      3.086,   -1.34627,    1.40512,   -1.71011,   0.190824,    1.51221,  -0.896829,  -0.714588,  -0.756854,   0.197045, -0.0277304,-0.00880314,    0.14732,   0.684105,  0.0745855, -0.0367854,    0.31663,  0.0519289
RF02440#LQXD01000084.1/13844-13897#subopt1,  3.13238, -1.39746,  1.32308, -1.44849,0.0510878,  1.59573,-0.876488, 0.217202, -1.24282, 0.241685,-0.406755,0.0618093, 0.300074, 0.241101, -0.50816,-0.372612, 0.228335, 0.112162
RF02440#LQXD01000084.1/13844-13897#subopt2,  3.11335, -1.23783,   1.5725, -1.70098, 0.188675,  1.74128,-0.627143,-0.368661, -0.73394, 0.588416,-0.251961, 0.354925, 0.268919, 0.332719,-0.553326,  0.15173, 0.308411,0.0646937
RF02440#LQXD01000084.1/13844-13897#subopt3,   3.02564,  -1.40657,   1.19742,  -1.43198,  0.210377,   1.29223, -0.796734,-0.0307199,  -1.21657,-0.0316296, -0.250798,   0.19273,  0.342581,  0.264104, -0.359724, -0.381256,-0.0248591,  0.126161
RF01695#CP001068.1/10238-10328#subopt0,    3.7891, -0.666773,   1.72011,  0.711594, -0.368326,  0.643054,-0.0326068,  -0.90365,  0.629308,  0.847871, 0.0639312,  0.987334,   0.53104, 0.0982233, -0.109624, -0.311765, -0.321922, -0.271518
RF01695#CP001068.1/10238-10328#subopt1,  3.76069,-0.677466,  1.59964, 0.704136,0.0326544, 0.367545, 0.495055,-0.822885, 0.659248, 0.430856, -1.14583,  1.06002, 0.360261, 0.221882, 0.152138,-0.190827,-0.349783,-0.410877
RF01695#CP001068.1/10238-10328#subopt2,   3.59135, -0.512904,    1.1082,  -1.84953,  0.236893,  0.713114,   0.12115, -0.311716,-0.0503197,  0.658439,  0.129003,  0.637128,  0.521387, -0.348637,  0.341252, -0.729112, -0.186665,  0.385592
RF01695#CP001068.1/10238-10328#subopt3,  3.37755,-0.408671, 0.547452, -1.28774, 0.257173, 0.499408, 0.526056,-0.456926, 0.314072, 0.607924, 0.156585, 0.922369, 0.565731,-0.561938, 0.112502,-0.654264,-0.253363, 0.199927
RF01695#CT573326.1/1493171-1493081#subopt0,   4.10239,  -0.68564, -0.147982,  -1.07993,  0.510485, -0.433644,  -1.12053, -0.549084,  0.860937, -0.157102, -0.200333,  0.959121, -0.203657,  0.432268,-0.0971802, 0.0865738, -0.486205, -0.264498
RF01695#CT573326.1/1493171-1493081#subopt1,   3.96964, -0.845789, -0.340507,  -1.14643,   1.58252,  -1.27333,  -1.23433,  0.279943,  0.868605,0.00947149, -0.548226,-0.0171981, -0.774954,   0.13505,  0.324308, -0.278975, -0.542223, -0.241386
RF01695#CT573326.1/1493171-1493081#subopt2,   4.06997, -0.757098, 0.0116021,  -1.40442,    1.0787, -0.901489, -0.696841, -0.456654,  0.859532, -0.132846, -0.526776,  0.402123, -0.537688,  0.548766, 0.0522544,0.00314328, -0.768607,  0.123215
RF01695#CT573326.1/1493171-1493081#subopt3,  3.61007,-0.679593, 0.105644, -1.19398,  1.10154, 0.252671, 0.164341, 0.370532, 0.862048,0.0426742,-0.875522, 0.715656, -0.19211,-0.378613,-0.112436,0.0281645,-0.306676,-0.510554
RF01695#CP001798.1/974535-974621#subopt0,    4.4543,  -0.18792,   1.25095, -0.770967,  0.564708,  0.570649, -0.121805, -0.457474,  0.315551,  0.089694,  -1.37349, 0.0516249, -0.200273, -0.477988, -0.466165,-0.0196328, -0.234481,  0.367206
RF01695#CP001798.1/974535-974621#subopt1,   4.17416, -0.335151,  0.768596, -0.313351,     1.042, 0.0976654,-0.0617482, 0.0241325,  0.590301,  0.719229, -0.511033, -0.309859, -0.443945, -0.510957, -0.943891, -0.125847, -0.233324,  0.135671
RF01695#CP001798.1/974535-974621#subopt2,   4.33677, 0.0319387, -0.203492,  -1.64805,  0.682461,  0.653467,  0.514567, -0.273822,  0.903993,  0.127374, -0.926842,  0.443844,  -0.11566,  -0.71401, -0.468885, 0.0557151,  0.037322,-0.0444629
RF01695#CP001798.1/974535-974621#subopt3,    4.24597,  -0.236804,   0.716063,  -0.304618,    0.44592,    0.96228,  -0.460157,  -0.376001,   0.333152,   0.446935,  -0.283419,   0.295561,   0.122048,  -0.241796,  -0.850254,  0.0755844,-0.00918156,   0.248954
