 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7
RF03161#CP018153.1/1620386-1620448#subopt0,  3.64684,  1.62848,  -1.2148, 0.520449,-0.123859, 0.314587,-0.971924
RF03161#CP018153.1/1620386-1620448#subopt1,  3.55946,  2.18203, 0.102288, -1.06683, 0.609695, 0.326979,-0.601535
RF03161#CP018153.1/1620386-1620448#subopt2,  2.56295,  2.38312,-0.281713,  0.45722, 0.147102, 0.187416, 0.390606
RF03161#URS0001A244B4_1121932/1-63#subopt0,  3.64684,  1.62848,  -1.2148, 0.520449,-0.123859, 0.314587,-0.971924
RF03161#URS0001A244B4_1121932/1-63#subopt1,  3.55946,  2.18203, 0.102288, -1.06683, 0.609695, 0.326979,-0.601534
RF03161#URS0001A244B4_1121932/1-63#subopt2,  2.56295,  2.38312,-0.281713,  0.45722, 0.147101, 0.187416, 0.390606
RF01739#MRCG01000001.1/170915-170860#subopt0,  4.82585,  1.32123,-0.180432, 0.515088, 0.059913, 0.948856,-0.765736
RF01739#MRCG01000001.1/170915-170860#subopt1,  3.63137,  1.24561,  1.89716,  1.24875,-0.440436,-0.559619,0.0865509
RF01739#MRCG01000001.1/170915-170860#subopt2,  3.53692,  1.49794,  1.74618,  1.05382,-0.394818,-0.315422,-0.222803
RF01739#CM001633.1/4650219-4650298#subopt0,  4.62002, 0.381068, -1.90877,  1.17531,-0.454603, 0.217612,  1.70802
RF01739#CM001633.1/4650219-4650298#subopt1,   5.07248,-0.0580355,  0.356713,   1.87586, -0.826932,  -1.57238, -0.125381
RF01739#CM001633.1/4650219-4650298#subopt2,  3.87411, 0.728879, 0.404092,  1.41272, -0.55486, -1.24791,-0.688778
RF01739#ALVZ01000231.1/41142-41207#subopt0,  3.92988, 0.655759,0.0618541,  1.19852, -1.17541,-0.533777,-0.571789
RF01739#ALVZ01000231.1/41142-41207#subopt1,  4.47236,  0.82418, 0.495029,  1.57778,-0.915317, 0.195109,-0.689473
RF01739#ALVZ01000231.1/41142-41207#subopt2,  3.92319, 0.726591, 0.234433,   1.5602,-0.615614,0.0560311,-0.597529
RF03158#MKKD01000014.1/69493-69538#subopt0,   3.27512,-0.0248261,-0.0812762,  0.206946,   2.31179,  0.252339, -0.423905
RF03158#MKKD01000014.1/69493-69538#subopt1,    3.73928,  -0.145503,-0.00270864,  -0.857134,    2.44306,   0.773024,  -0.876208
RF03158#MKKD01000014.1/69493-69538#subopt2,   3.87708, -0.166969,-0.0352803, -0.852467,   2.20124,  0.444547, -0.910368
RF03158#URS0001A237F1_12908/1-46#subopt0,   3.27512, -0.024826,-0.0812761,  0.206946,   2.31179,  0.252339, -0.423905
RF03158#URS0001A237F1_12908/1-46#subopt1,    3.73928,  -0.145503,-0.00270878,  -0.857134,    2.44306,   0.773024,  -0.876208
RF03158#URS0001A237F1_12908/1-46#subopt2,  3.87708,-0.166969, -0.03528,-0.852467,  2.20124, 0.444547,-0.910368
RF03158#URS0001A23BF5_1206744/1-46#subopt0,   3.27512, -0.024826,-0.0812758,  0.206946,   2.31179,  0.252339, -0.423904
RF03158#URS0001A23BF5_1206744/1-46#subopt1,    3.73928,  -0.145503,-0.00270907,  -0.857134,    2.44306,   0.773024,  -0.876208
RF03158#URS0001A23BF5_1206744/1-46#subopt2,   3.87708, -0.166969,-0.0352802, -0.852467,   2.20124,  0.444547, -0.910368
RF03156#URS0001A2333F_12908/1-30#subopt0,   1.38732,  0.890598,-0.0355821,  0.531434,  0.918207, -0.111147, -0.177295
RF03156#URS0001A24418_12908/1-33#subopt0,  1.36066, 0.987035,-0.122017, 0.432462, 0.530064,-0.136186,0.0389447
RF03156#URS0001A24A61_12908/1-30#subopt0,  1.38732, 0.890598,-0.035582, 0.531434, 0.918207,-0.111147,-0.177295
RF03106#URS0000D69489_12908/1-147#subopt0,  7.58417,-0.124323, -1.01778,   2.1966, -1.97017,-0.613108, 0.688745
RF03106#URS0000D69489_12908/1-147#subopt1,   8.3454, -0.61634,-0.961961, 0.811376,  -1.5735,-0.556993, 0.719353
RF03106#URS0000D69489_12908/1-147#subopt2,  8.28755,0.0328453,-0.715246,-0.309125,  -1.1727,-0.532942,  1.26755
RF03106#URS0000D673CA_12908/1-145#subopt0,   7.6108, -1.21353, -1.29519, 0.947117,-0.696339, 0.469353, 0.419405
RF03106#URS0000D673CA_12908/1-145#subopt1,    8.149, -1.50716,  -1.1801,0.0055194,-0.449364, 0.648172, 0.505426
RF03106#URS0000D673CA_12908/1-145#subopt2,   6.93086, 0.0622795,  -1.08761,  0.832811, -0.252469, 0.0137031,-0.0802726
RF03106#URS0000D6A2A3_12908/1-133#subopt0,  7.66074, -1.08799,  1.24241, 0.528268, 0.368969,-0.112931,0.0312568
RF03106#URS0000D6A2A3_12908/1-133#subopt1,  8.04967,  -1.2242,  1.20614,-0.189698,  1.08126,-0.475534, -1.03892
RF03106#URS0000D6A2A3_12908/1-133#subopt2,  7.75521, -1.09338,  1.26082, 0.439285, 0.509552,-0.308735,-0.554643
RF03157#URS0001A23AA2_1121878/1-50#subopt0,  4.37744,  1.48915,-0.624451,-0.195362, 0.684016,  1.03926, 0.819003
RF03157#URS0001A23AA2_1121878/1-50#subopt1,  4.91926,  1.35556,-0.339435,-0.954878, 0.717552,  1.05241, 0.975803
RF03157#URS0001A23AA2_1121878/1-50#subopt2,  4.36923,  1.40229,-0.849425, 0.199828, 0.598702, 0.827573, 0.645225
RF03157#URS0001A23AA2_1121879/1-50#subopt0,  4.37744,  1.48915, -0.62445,-0.195361, 0.684015,  1.03926, 0.819002
RF03157#URS0001A23AA2_1121879/1-50#subopt1,  4.91926,  1.35556,-0.339436,-0.954878, 0.717552,  1.05241, 0.975803
RF03157#URS0001A23AA2_1121879/1-50#subopt2,  4.36923,  1.40229,-0.849425, 0.199827, 0.598702, 0.827573, 0.645225
RF03157#URS0001A2345C_675816/1-50#subopt0,  4.41672,  1.55156, -1.17833,-0.196788, 0.817032, 0.731352,-0.106135
RF03157#URS0001A2345C_675816/1-50#subopt1,   4.41601,   1.36216,  -1.09251,-0.0409825,  0.753299,  0.724597,-0.0193559
RF03157#URS0001A2345C_675816/1-50#subopt2,  4.37843,  1.66261,-0.708466,-0.351215, 0.748607,  1.06313, 0.771864
RF01704#CP006269.1/1896519-1896580#subopt0,   4.83077,   1.10425,  -1.81826, -0.430455,  0.146355,  0.849777,-0.0164501
RF01704#CP006269.1/1896519-1896580#subopt1,  4.26998,  1.82857, -1.08805,-0.859134, 0.491705, 0.244099,0.0474666
RF01704#CP006269.1/1896519-1896580#subopt2,    4.91416,    1.16959,    -1.7653,  -0.650601,   0.300248,   0.729701,-0.00439469
RF01704#AE017126.1/924002-923944#subopt0,  4.39274,  1.53683,-0.852846,-0.623082, 0.333754, 0.331024, 0.208561
RF01704#AE017126.1/924002-923944#subopt1,  3.42479,  2.04704,-0.110544,-0.918903, 0.471447, 0.568118, 0.219013
RF01704#AE017126.1/924002-923944#subopt2,  5.03279, 0.801645, -1.40448,-0.484644, 0.360127,  1.28677, 0.464153
RF01704#AANO01000053.1/1174-1115#subopt0,  4.11433,  1.25977, -1.04681,-0.306211,  1.24399, 0.440764, 0.473952
RF01704#AANO01000053.1/1174-1115#subopt1,  4.05359,  1.35424,-0.885896,-0.885068,  1.08146, 0.883809, 0.406335
RF01704#AANO01000053.1/1174-1115#subopt2,  3.75516,   1.9031,0.0704851, -1.85231, 0.878403, 0.380368,-0.220345
RF03144#URS0001A2426A_12908/1-47#subopt0,  3.76385,  1.60493, -1.11647, 0.567525,-0.661082,-0.348288, 0.732307
RF03144#URS0001A2426A_12908/1-47#subopt1,  4.45029,  1.01145, -0.57722, -0.10516, 0.313162,-0.805136,  2.02189
RF03144#URS0001A2426A_12908/1-47#subopt2,  4.46856,   1.2056, -0.83322,-0.445159, 0.233293,-0.716091,  1.60192
RF03144#URS0001A24651_12908/1-47#subopt0,  4.48738, 0.675912, -1.70651, 0.789556, -1.29345,-0.936194, 0.615646
RF03144#URS0001A24651_12908/1-47#subopt1,  4.57564, 0.585202, -1.44487,  0.95186,-0.764343,-0.700387, 0.488942
RF03144#URS0001A24651_12908/1-47#subopt2,   4.42279,   0.91236,  -2.11305,  0.350549,  -1.31423, -0.811156,-0.0536022
RF03144#HF582854.1/780497-780546#subopt0,  4.24055,  1.50825,-0.989382,0.0292809, 0.767525,  1.10782,-0.692714
RF03144#HF582854.1/780497-780546#subopt1,   4.29522,  0.687324, -0.454744, -0.165022,  0.304741,-0.0911216,   1.63934
RF03144#HF582854.1/780497-780546#subopt2,  4.74362,  0.55771,-0.500442,-0.889141, 0.171128, 0.337313,  1.22332
RF02929#URS0000D6D1C3_926032/1-50#subopt0,    3.30958,    1.90563,   -1.46886,   0.528544,   -0.43825,    1.34072,-0.00397982
RF02929#URS0000D6D1C3_926032/1-50#subopt1,   2.49003,   2.72005, -0.683592,0.00811968, -0.155358,  0.515504,  0.406678
RF02929#URS0000D6D1C3_926032/1-50#subopt2, 3.40679, 2.14649,-1.61552,0.455891,-0.41634, 1.20584,0.119459
RF02929#URS0000D6D1C3_926028/1-50#subopt0,    3.30958,    1.90563,   -1.46886,   0.528544,   -0.43825,    1.34072,-0.00397959
RF02929#URS0000D6D1C3_926028/1-50#subopt1,   2.49002,   2.72005, -0.683592,0.00811995, -0.155358,  0.515504,  0.406678
RF02929#URS0000D6D1C3_926028/1-50#subopt2, 3.40679, 2.14649,-1.61552,0.455891,-0.41634, 1.20584,0.119459
RF02929#URS0000D6D1C3_926027/1-50#subopt0,    3.30958,    1.90563,   -1.46886,   0.528544,  -0.438251,    1.34072,-0.00397945
RF02929#URS0000D6D1C3_926027/1-50#subopt1,   2.49003,   2.72005, -0.683592,0.00811965, -0.155358,  0.515504,  0.406678
RF02929#URS0000D6D1C3_926027/1-50#subopt2, 3.40679, 2.14649,-1.61552,0.455891,-0.41634, 1.20584,0.119459
RF03072#MRAE01000003.1/20582-20790#subopt0,    8.924, -2.82008,-0.729191,  1.60801, -1.14776, -0.81239,  0.15552
RF03072#MRAE01000003.1/20582-20790#subopt1,   9.21339,  -3.90906,  -1.63852,  0.604218,  0.185564,-0.0683414, -0.446886
RF03072#MRAE01000003.1/20582-20790#subopt2,  8.31824, -2.86867, -1.49863,  3.01523, -1.13365,-0.655591, 0.135249
RF03072#HF952018.1/169277-169485#subopt0,  9.21959, -1.36863, 0.168606, -1.06645,-0.666507, 0.439604, -2.15563
RF03072#HF952018.1/169277-169485#subopt1,  8.88115, -1.16342, 0.032352,-0.377067,-0.594771,  0.61269, -2.05235
RF03072#HF952018.1/169277-169485#subopt2,   9.1238, -1.41271,-0.367034,-0.262179,-0.488898, 0.889433, -2.33594
RF03072#URS0000D69D6C_12908/1-203#subopt0,  9.30519,  -3.2025, -1.57279, 0.183807, 0.876416,-0.473531, -0.55374
RF03072#URS0000D69D6C_12908/1-203#subopt1,  9.30045, -3.19047, -1.60286, 0.209039, 0.891273,-0.571076,-0.534192
RF03072#URS0000D69D6C_12908/1-203#subopt2,  8.73648, -2.71454,-0.781517,   2.2266, 0.251344, -1.55193,-0.822952
RF02987#URS0000D6C3CB_12908/1-87#subopt0,   5.29363,-0.0568207,  -1.99069, -0.282867, -0.236649,   1.87311, -0.350172
RF02987#URS0000D6C3CB_12908/1-87#subopt1,  5.28105,-0.161338, -1.80641,-0.136533,-0.489106,  1.81266,-0.255134
RF02987#URS0000D6C3CB_12908/1-87#subopt2,  5.29758,-0.128883,  -2.0689,-0.510456, -1.21691, 0.977476,-0.273924
RF02987#URS0000D6BE2C_12908/1-87#subopt0,   5.29363,-0.0568205,  -1.99069, -0.282867, -0.236649,   1.87311, -0.350172
RF02987#URS0000D6BE2C_12908/1-87#subopt1,  5.28105,-0.161338, -1.80641,-0.136533,-0.489107,  1.81266,-0.255134
RF02987#URS0000D6BE2C_12908/1-87#subopt2,   5.31017,-0.0243654,  -2.25318, -0.656792, -0.964449,   1.03793, -0.368962
RF02987#URS0000D68C86_12908/1-89#subopt0,  5.54544,-0.729135, -2.02471,0.0470967,-0.329387,  1.94753,-0.350942
RF02987#URS0000D68C86_12908/1-89#subopt1,  5.48521,0.0169368,  -1.9674,0.0475445, 0.100527,  1.22652, 0.378352
RF02987#URS0000D68C86_12908/1-89#subopt2,  5.86678,-0.142324, -2.48633,0.0136922,0.0708359,  1.41241,0.0539176
RF03169#URS0000D69050_12908/1-85#subopt0,  5.47977, 0.715599,-0.986413,-0.491035, 0.438024,-0.200635, 0.285214
RF03169#URS0000D69050_12908/1-85#subopt1,  4.91692,  1.64979,-0.132399,-0.308073,  0.45287, 0.896665,-0.889984
RF03169#URS0000D69050_12908/1-85#subopt2,   6.1077, 0.250837, -1.24693,0.0247211, 0.289455,  1.74645,-0.685045
RF03169#URS0000D6778A_12908/1-87#subopt0,  6.48613,  0.11556,-0.921638,  -1.8839, 0.421267, 0.336995, -1.57348
RF03169#URS0000D6778A_12908/1-87#subopt1,  5.99493, 0.806144,-0.438203, -2.23713, 0.342364,0.0298112, -1.54258
RF03169#URS0000D6778A_12908/1-87#subopt2,  5.08829,-0.387355, 0.884804,  1.17785,  1.52044,-0.661284,0.0772412
RF03169#MGMJ01000061.1/3123-3039#subopt0,  5.34249,-0.977665,-0.997168, 0.756305, 0.118127,-0.158046,   0.8545
RF03169#MGMJ01000061.1/3123-3039#subopt1, 5.98344,-1.69315,-1.18284,0.849217,0.398144,-0.12724, 0.52061
RF03169#MGMJ01000061.1/3123-3039#subopt2,   5.93588,  -1.51796,  -1.21066,  0.832907,-0.0396235, -0.381332,   1.16878
RF02958#URS0000D6753D_12908/1-114#subopt0,  6.46743, 0.374347,-0.387476, 0.533761, -1.48334, -1.23651, 0.141411
RF02958#URS0000D6753D_12908/1-114#subopt1,  6.34658,  0.83065,  0.49304, 0.169198, -1.86112,-0.665578,-0.357757
RF02958#URS0000D6753D_12908/1-114#subopt2,  6.51137, 0.708703, 0.543895, 0.238007, -1.65146,-0.255317,-0.413959
RF02958#URS0000D66605_1235798/1-114#subopt0,  6.21819,  1.09858, 0.149415, 0.105178,-0.331623, 0.739709,  0.43956
RF02958#URS0000D66605_1235798/1-114#subopt1,  6.23237,  1.26643,0.0874637, -0.14459,-0.631831, 0.458881, 0.496225
RF02958#URS0000D66605_1235798/1-114#subopt2,  6.08745,  1.06888,-0.328146,-0.831718,-0.157511, 0.562219, 0.699792
RF02958#KE159748.1/73297-73184#subopt0,  6.21819,  1.09858, 0.149415, 0.105178,-0.331623, 0.739709,  0.43956
RF02958#KE159748.1/73297-73184#subopt1,  6.23237,  1.26643,0.0874639, -0.14459,-0.631831, 0.458881, 0.496225
RF02958#KE159748.1/73297-73184#subopt2,  6.08745,  1.06888,-0.328146,-0.831718,-0.157511, 0.562219, 0.699792
RF03130#CP019331.1/208098-208069#subopt0,  2.65541, 0.252466,-0.227564,  1.66294,  2.18785, 0.401771,-0.758539
RF03130#CP019331.1/208098-208069#subopt1,  3.36649,-0.356831,-0.921824,   1.8274,  1.97742, 0.808198, -0.84957
RF03130#CP019331.1/208098-208069#subopt2,  3.33807,0.0269807,-0.038703, 0.308349,  2.73896, 0.231375,-0.569893
RF03130#LT629752.1/2327677-2327706#subopt0,  2.65541, 0.252466,-0.227564,  1.66294,  2.18785, 0.401771,-0.758539
RF03130#LT629752.1/2327677-2327706#subopt1,  3.36649,-0.356831,-0.921824,   1.8274,  1.97742, 0.808198, -0.84957
RF03130#LT629752.1/2327677-2327706#subopt2,   3.33807, 0.0269807,-0.0387029,  0.308349,   2.73896,  0.231375, -0.569893
RF03130#LT670850.1/2437797-2437768#subopt0,  2.65541, 0.252466,-0.227564,  1.66294,  2.18785, 0.401772,-0.758539
RF03130#LT670850.1/2437797-2437768#subopt1,  3.36649,-0.356831,-0.921824,   1.8274,  1.97742, 0.808199, -0.84957
RF03130#LT670850.1/2437797-2437768#subopt2,   3.33807, 0.0269806,-0.0387032,  0.308349,   2.73896,  0.231375, -0.569892
RF03142#URS0001A246D4_12908/1-69#subopt0,  3.71245, -1.15208, -1.27671,  1.50812, 0.886789,  1.10004,-0.444132
RF03142#FXYF01000010.1/45420-45352#subopt0,  3.66213, -1.05769, -1.32693,  1.52943, 0.859614, 0.863444,-0.604626
RF03142#FXYF01000010.1/45420-45352#subopt1,  3.75913, -1.06324, -1.20597,  1.79321,  0.88986,  0.65983,0.0232532
RF03142#FXYF01000010.1/45420-45352#subopt2,  3.7223,-1.10042,-1.21426, 1.65372,0.562869,0.668571,0.231869
RF03142#URS0001A234C0_12908/1-69#subopt0,  3.66213, -1.05769, -1.32693,  1.52943, 0.859614, 0.863444,-0.604626
RF02957#URS0000D6BF88_755863/1-129#subopt0,  6.84375, 0.231457,  2.98225, 0.279648, 0.166862, 0.251689,0.0136827
RF02957#URS0000D6BF88_755863/1-129#subopt1,  7.16405,0.0665347,  3.10849,-0.120995, 0.218981, 0.325706,0.0198788
RF02957#URS0000D6BF88_755863/1-129#subopt2,   5.96802,   1.24669,   3.81273, -0.226998, 0.0729455,-0.0819884, -0.348472
RF02957#URS0000D6BF88_360102/1-129#subopt0,  6.84375, 0.231457,  2.98225, 0.279648, 0.166862,  0.25169,0.0136827
RF02957#URS0000D6BF88_360102/1-129#subopt1,  7.16405,0.0665351,  3.10849,-0.120995, 0.218981, 0.325706,0.0198787
RF02957#URS0000D6BF88_360102/1-129#subopt2,   5.96802,   1.24669,   3.81273, -0.226998, 0.0729456,-0.0819885, -0.348472
RF02957#AL590842.1/1239599-1239471#subopt0,  6.84375, 0.231457,  2.98225, 0.279648, 0.166862, 0.251689,0.0136827
RF02957#AL590842.1/1239599-1239471#subopt1,  7.16405,0.0665349,  3.10849,-0.120995, 0.218981, 0.325706,0.0198787
RF02957#AL590842.1/1239599-1239471#subopt2,   5.96802,   1.24669,   3.81273, -0.226998, 0.0729457,-0.0819884, -0.348472
RF01717#KJ019103.1/171801-171896#subopt0,  3.43512,   1.3227,  1.34961,  0.12577, 0.212303,-0.988733,-0.541933
RF01717#KJ019103.1/171801-171896#subopt1,   3.99813,   1.49671,  -1.40468, -0.405317, -0.120256,-0.0532401, -0.748224
RF01717#KJ019103.1/171801-171896#subopt2,   3.04651,   2.15883, -0.450502, -0.849449,  0.126513, -0.211265,0.00755458
RF01717#GU071105.1/181614-181709#subopt0,   4.43761, 0.0212157,   1.00861, 0.0990527,  0.810186,  -1.25838,-0.0740401
RF01717#GU071105.1/181614-181709#subopt1,  3.59913, 0.892203,  1.64432,-0.228982, 0.595238, -0.61701,-0.189597
RF01717#GU071105.1/181614-181709#subopt2,  2.68418,  1.44014,  1.16754,  1.04026,-0.071296, -0.56208, 0.279608
RF01717#FM207411.1/8698-8606#subopt0,  4.49038, 0.236533, -1.86247,-0.418355,0.0175313, 0.158645, 0.195441
RF01717#FM207411.1/8698-8606#subopt1,    5.59871,-0.00747695,   -1.37993,   -2.06917,    0.08376,  -0.170787,  -0.170109
RF01717#FM207411.1/8698-8606#subopt2,  4.65593,  1.02212,-0.467464, -1.47346, 0.752862,-0.196263, 0.752974
RF01725#KB456687.1/1545-1438#subopt0,  5.74062,   1.3361,  3.08493,-0.741088, 0.131257, -1.12353, -1.45694
RF01725#KB456687.1/1545-1438#subopt1, 5.71936, 1.41919, 2.99394,-0.66228,0.153658,-1.17709,-1.52193
RF01725#KB456687.1/1545-1438#subopt2,    5.7871,   1.29731,   2.97843, -0.585901,-0.0919076,  -1.03488, -0.840834
RF01725#ATDL01000014.1/305234-305140#subopt0,  5.87843,-0.478608,  0.59467, 0.994664,  1.24944, -1.12398, -2.19257
RF01725#ATDL01000014.1/305234-305140#subopt1,  5.88822,-0.490182, 0.474435, 0.802209, 0.932652, -1.53103, -2.21896
RF01725#ATDL01000014.1/305234-305140#subopt2,  5.86643,-0.571992, 0.568911, 0.862103,  0.93572, -1.15377, -1.79257
RF01725#CP011568.2/2341891-2341786#subopt0, 6.06757, 2.03883, 2.10682,-1.38697,-1.50234,-1.28274,0.785688
RF01725#CP011568.2/2341891-2341786#subopt1,  6.16762,  2.08954,  2.32648, -1.13504,-0.781568,-0.535009, 0.127269
