 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7
RF01695#CT573326.1/1493171-1493081#subopt0,    4.1005,  0.740664, 0.0397059,   1.14138, 0.0906103,-0.0157039,   1.00112
RF01695#CT573326.1/1493171-1493081#subopt1,   3.93081,  0.982176,-0.0838289,   1.51916,  0.992143,  0.348727,   1.87037
RF01695#CT573326.1/1493171-1493081#subopt2, 4.05239,0.833484,0.201849,  1.6008,0.547368,0.406281, 0.90673
RF01695#CT573326.1/1493171-1493081#subopt3,  3.61424, 0.683474, 0.157684,  1.38174, 0.756332,-0.428257, 0.111766
RF01695#CP001798.1/974535-974621#subopt0,  4.47594, 0.190027,  1.35356, 0.626283,    0.212,-0.380806,-0.140667
RF01695#CP001798.1/974535-974621#subopt1,   4.18475,  0.328398,  0.935373,  0.485232,  0.853687,-0.0639663,  0.372298
RF01695#CP001798.1/974535-974621#subopt2,    4.3589,  -0.10466,-0.0439065,   1.77844,  0.266602, -0.435502, -0.475723
RF01695#CP001798.1/974535-974621#subopt3,  4.28979, 0.238333, 0.854173, 0.230354, 0.241492,-0.822971, 0.109077
RF03161#URS0001A233B4_12908/1-63#subopt0,   2.9637,  1.39808,   1.2045, 0.732436,0.0571826,-0.920773,  1.23124
RF03161#URS0001A233B4_12908/1-63#subopt1,  2.9354, 1.48752, 1.12511,0.809662,0.283823,-1.18559, 1.55872
RF03161#URS0001A233B4_12908/1-63#subopt2,   3.7164,  1.16916,  1.49565,-0.624311, 0.476817, -1.05495,  1.61847
RF03161#URS0001A233B4_12908/1-63#subopt3,  3.02605,  1.46579,  1.15338, 0.786493, 0.183206,-0.802058, 0.964434
RF03161#CP018153.1/1620386-1620448#subopt0,  3.63625,  1.65032, -1.13353, 0.482443,-0.164148, 0.303511,  1.00239
RF03161#CP018153.1/1620386-1620448#subopt1, 3.53855, 2.16671,0.210287,-1.14604,0.441647,0.372598,0.633204
RF03161#CP018153.1/1620386-1620448#subopt2,  2.55496,  2.40005,-0.257559, 0.405171, 0.163391,  0.26202,-0.332629
RF03161#CP018153.1/1620386-1620448#subopt3, 3.48782, 1.83688,-1.00218,0.930556,0.169591, 0.61416,-0.45313
RF03161#URS0001A244B4_1121932/1-63#subopt0,  3.63625,  1.65032, -1.13353, 0.482444,-0.164147, 0.303512,  1.00239
RF03161#URS0001A244B4_1121932/1-63#subopt1, 3.53855, 2.16671,0.210286,-1.14604,0.441647,0.372598,0.633204
RF03161#URS0001A244B4_1121932/1-63#subopt2,  2.55496,  2.40005,-0.257559, 0.405171, 0.163391,  0.26202,-0.332629
RF03161#URS0001A244B4_1121932/1-63#subopt3, 3.48782, 1.83688,-1.00218,0.930556,0.169591,0.614159,-0.45313
RF01739#MRCG01000001.1/170915-170860#subopt0,  4.81526,  1.32999,-0.172464, 0.558208, 0.116044, 0.782648, 0.791639
RF01739#MRCG01000001.1/170915-170860#subopt1,   3.63856,   1.25047,   1.86281,   1.36856, -0.272717, -0.810489,-0.0788174
RF01739#MRCG01000001.1/170915-170860#subopt2,  3.55017,  1.47218,  1.77578,  1.13655,-0.238038,-0.501771, 0.307337
RF01739#MRCG01000001.1/170915-170860#subopt3,  3.04792,  1.37639,  1.62001,  1.10055,-0.101079,-0.618544, 0.140087
RF01739#CM001633.1/4650219-4650298#subopt0,  4.62148, 0.463952, -1.99355,  1.23482,-0.320698, 0.208158, -1.63904
RF01739#CM001633.1/4650219-4650298#subopt1,  5.07007,0.0223606, 0.262079,  1.92401,-0.702778, -1.78394,0.0853913
RF01739#CM001633.1/4650219-4650298#subopt2,   3.8741, 0.756402, 0.429762,  1.40947,-0.473805, -1.35684, 0.664125
RF01739#CM001633.1/4650219-4650298#subopt3,  4.51536, 0.103704,-0.134758,  1.61215, -0.46041, -1.48412, 0.345411
RF01739#ALVZ01000231.1/41142-41207#subopt0,  3.92694, 0.671532,0.0970418,  1.24488, -0.97876,-0.658357, 0.682939
RF01739#ALVZ01000231.1/41142-41207#subopt1,  4.47345, 0.851048, 0.511082,  1.63654,-0.638751,-0.027376, 0.859831
RF01739#ALVZ01000231.1/41142-41207#subopt2,  3.91909, 0.756374, 0.246718,  1.59556,-0.368636,-0.158471, 0.717349
RF01739#ALVZ01000231.1/41142-41207#subopt3,  3.90248, 0.542661, 0.388865,  1.86913,-0.262343,-0.160482, 0.365371
RF03158#MKKD01000014.1/69493-69538#subopt0,  3.25948,0.0433621,-0.135173,0.0287394,  2.20192, 0.183402, 0.379263
RF03158#MKKD01000014.1/69493-69538#subopt1,   3.73317, -0.164691,-0.0227821,   -1.0864,   2.39503,  0.751038,   1.06005
RF03158#MKKD01000014.1/69493-69538#subopt2,   3.86782, -0.175131,-0.0849433,  -1.05691,   2.09165,  0.394883,  0.933779
RF03158#URS0001A237F1_12908/1-46#subopt0,  3.25948,0.0433617,-0.135173,0.0287396,  2.20191, 0.183401, 0.379263
RF03158#URS0001A237F1_12908/1-46#subopt1,   3.73317, -0.164691,-0.0227822,   -1.0864,   2.39503,  0.751038,   1.06005
RF03158#URS0001A237F1_12908/1-46#subopt2,   3.86782, -0.175131,-0.0849434,  -1.05691,   2.09165,  0.394884,  0.933779
RF03158#URS0001A23BF5_1206744/1-46#subopt0,  3.25948,0.0433623,-0.135173,0.0287396,  2.20191, 0.183401, 0.379263
RF03158#URS0001A23BF5_1206744/1-46#subopt1,   3.73317, -0.164691,-0.0227822,   -1.0864,   2.39504,  0.751038,   1.06005
RF03158#URS0001A23BF5_1206744/1-46#subopt2,   3.86782, -0.175131,-0.0849435,  -1.05691,   2.09165,  0.394884,  0.933779
RF03156#URS0001A2333F_12908/1-30#subopt0,   1.38105,  0.903938,-0.0400313,  0.399743,  0.954453, -0.183745,  0.291742
RF03156#URS0001A24418_12908/1-33#subopt0,  1.35508,  1.00286,-0.106606, 0.350557, 0.598808,-0.152136,0.0642409
RF03156#URS0001A24A61_12908/1-30#subopt0,   1.38105,  0.903938,-0.0400313,  0.399743,  0.954452, -0.183745,  0.291742
RF03106#URS0000D69489_12908/1-147#subopt0,   7.60149,-0.0423117,  -1.04083,   2.37397,  -1.90677, -0.531978, -0.832726
RF03106#URS0000D69489_12908/1-147#subopt1,  8.36404,-0.551918,-0.991018, 0.932055, -1.57241,-0.422467,-0.862498
RF03106#URS0000D69489_12908/1-147#subopt2,  8.32527,0.0521964,-0.709931,-0.267643, -1.18692,-0.360477, -1.21172
RF03106#URS0000D69489_12908/1-147#subopt3,   8.24837,  0.314275,-0.0986322, -0.843764,  -1.08193, -0.342085,  -1.52273
RF03106#URS0000D673CA_12908/1-145#subopt0,  7.62826, -1.15056, -1.37548,  1.03221,-0.533002,  0.44685,-0.184346
RF03106#URS0000D673CA_12908/1-145#subopt1,  8.16716, -1.44757, -1.25888,0.0582172,-0.303564, 0.729275,-0.260672
RF03106#URS0000D673CA_12908/1-145#subopt2,   6.94064,  0.100869,  -1.16021,  0.875876, -0.135386,-0.0482232,  0.114869
RF03106#URS0000D673CA_12908/1-145#subopt3,  7.01152,-0.118306,-0.978329, 0.911897,-0.512538, 0.327495,-0.303198
RF03106#URS0000D6A2A3_12908/1-133#subopt0,  7.68229, -1.05997,   1.2106,   0.4207, 0.529062,-0.158829, 0.118099
RF03106#URS0000D6A2A3_12908/1-133#subopt1,    8.062, -1.20361,  1.23791,-0.354058,  1.07686,-0.554629,  1.10289
RF03106#URS0000D6A2A3_12908/1-133#subopt2,  7.77379, -1.07577,  1.26163, 0.321519, 0.597399,-0.365141, 0.641478
RF03106#URS0000D6A2A3_12908/1-133#subopt3,  7.51374,-0.606119,  1.72708,-0.347224, 0.312291,-0.115251, 0.874121
RF03157#URS0001A23AA2_1121878/1-50#subopt0,  4.38307,  1.52893,-0.601784,-0.358002, 0.828507,  1.31371,-0.527734
RF03157#URS0001A23AA2_1121878/1-50#subopt1,  4.93722,  1.37034,-0.312027, -1.11408, 0.836528,  1.38857,-0.688935
RF03157#URS0001A23AA2_1121878/1-50#subopt2,  4.37864,  1.43067,-0.847453,0.0406324, 0.729831,  1.11145,-0.407649
RF03157#URS0001A23AA2_1121878/1-50#subopt3,  4.94136,  1.27272,-0.313272, -1.15505, 0.982473,  1.20056,-0.650733
RF03157#URS0001A23AA2_1121879/1-50#subopt0,  4.38307,  1.52893,-0.601784,-0.358002, 0.828507,  1.31371,-0.527734
RF03157#URS0001A23AA2_1121879/1-50#subopt1,  4.93722,  1.37034,-0.312027, -1.11408, 0.836527,  1.38857,-0.688935
RF03157#URS0001A23AA2_1121879/1-50#subopt2,  4.37864,  1.43067,-0.847453,0.0406324, 0.729832,  1.11144,-0.407649
RF03157#URS0001A23AA2_1121879/1-50#subopt3,  4.94136,  1.27272,-0.313271, -1.15505, 0.982473,  1.20056,-0.650733
RF03157#URS0001A2345C_675816/1-50#subopt0,  4.40279,  1.57567, -1.17613,-0.319188, 0.819895, 0.768609, 0.201299
RF03157#URS0001A2345C_675816/1-50#subopt1,  4.40389,  1.41901, -1.10533,-0.181359, 0.767587, 0.827012, 0.104605
RF03157#URS0001A2345C_675816/1-50#subopt2,  4.37542,  1.67608, -0.67358,-0.470214, 0.866672,  1.22713,-0.433918
RF03157#URS0001A2345C_675816/1-50#subopt3,  4.38307,  1.52893,-0.601784,-0.358002, 0.828507,  1.31371,-0.527734
RF01704#CP006269.1/1896519-1896580#subopt0,  4.81569,  1.11345, -1.74367,-0.479686,  0.05259, 0.823814, 0.279436
RF01704#CP006269.1/1896519-1896580#subopt1,  4.25457,  1.85122, -1.00276,-0.939372, 0.306129, 0.254245,0.0429277
RF01704#CP006269.1/1896519-1896580#subopt2,   4.902, 1.19525,-1.69748,-0.75007,0.201597,0.741323,0.303806
RF01704#CP006269.1/1896519-1896580#subopt3, 5.35379,0.847557,-1.66839,-1.70594,0.349576,0.955768,0.776601
RF01704#AE017126.1/924002-923944#subopt0,  4.37571,  1.55573,-0.764907,-0.596282, 0.117248, 0.273262,-0.210161
RF01704#AE017126.1/924002-923944#subopt1,   3.40893,   2.03584,-0.0354788, -0.903449,  0.305746,  0.504625, -0.203727
RF01704#AE017126.1/924002-923944#subopt2,  5.02509,  0.84492, -1.36722,-0.481365, 0.279515,  1.24525,-0.241793
RF01704#AE017126.1/924002-923944#subopt3,  4.08831,   2.1731, 0.538915,-0.823917, 0.353308, 0.223245, 0.411649
RF01704#AANO01000053.1/1174-1115#subopt0,  4.10817,  1.30181, -1.06314,-0.476321,  1.21158, 0.497964,-0.326172
RF01704#AANO01000053.1/1174-1115#subopt1,  4.04118,  1.38584,-0.846802, -1.00735,  1.00925, 0.884341,-0.235547
RF01704#AANO01000053.1/1174-1115#subopt2, 3.74305, 1.85446,0.182005,-2.00995,0.720897,0.424753,0.382286
RF01704#AANO01000053.1/1174-1115#subopt3,  3.41729,  1.87573, -1.26858,  0.61463, 0.247731, 0.569198,-0.226516
RF03144#URS0001A2426A_12908/1-47#subopt0,  3.77047,  1.62665, -1.12188, 0.607727,-0.629425,-0.296229,-0.718817
RF03144#URS0001A2426A_12908/1-47#subopt1,  4.45025,  1.08014,-0.682624,-0.128611, 0.328147,-0.655661, -2.05487
RF03144#URS0001A2426A_12908/1-47#subopt2,  4.46881,  1.26109,-0.894966,-0.458617, 0.178255,-0.606264, -1.65297
RF03144#URS0001A2426A_12908/1-47#subopt3,  5.11314,   0.3679, -1.35587,0.0227293, 0.136389,  -0.1284,  -1.7505
RF03144#URS0001A24651_12908/1-47#subopt0,  4.47749, 0.747483, -1.72757,  0.84005, -1.30425,-0.834265,-0.621259
RF03144#URS0001A24651_12908/1-47#subopt1,  4.56792,   0.6601, -1.48421,  1.01028,-0.813205,-0.695235,-0.546675
RF03144#URS0001A24651_12908/1-47#subopt2,  4.41179, 0.972077,  -2.0761, 0.396196,  -1.4247, -0.76602,0.0252089
RF03144#URS0001A24651_12908/1-47#subopt3,  4.50222, 0.884697, -1.83274, 0.566423,-0.933654,-0.626991,0.0997948
RF03144#HF582854.1/780497-780546#subopt0,   4.23527,     1.514, -0.904557,-0.0012633,  0.731332,  0.975589,  0.795642
RF03144#HF582854.1/780497-780546#subopt1,  4.31396, 0.748965,-0.537839,-0.182346, 0.339919,0.0708591, -1.61809
RF03144#HF582854.1/780497-780546#subopt2,  4.77053, 0.572902,-0.521603,-0.938659, 0.288572, 0.624491, -1.00603
RF03144#HF582854.1/780497-780546#subopt3,   3.67439,   1.44574, -0.790841,  0.962337,  -0.38741,-0.0199042,  -1.38222
RF02929#URS0000D6D1C3_926032/1-50#subopt0,  3.29936,  1.91759, -1.34036, 0.522886,-0.313013,  1.32929, 0.281342
RF02929#URS0000D6D1C3_926032/1-50#subopt1,   2.47618,    2.7179, -0.588608,-0.0214524, -0.176415,  0.575928, -0.298249
RF02929#URS0000D6D1C3_926032/1-50#subopt2,   3.3979,  2.16875, -1.50493, 0.414125,-0.320973,  1.26892, 0.205171
RF02929#URS0000D6D1C3_926032/1-50#subopt3,  2.57228,  2.47127,-0.325602, 0.351121,-0.162149, 0.459443, -0.84238
RF02929#URS0000D6D1C3_926028/1-50#subopt0,  3.29936,  1.91759, -1.34036, 0.522886,-0.313013,  1.32929, 0.281342
RF02929#URS0000D6D1C3_926028/1-50#subopt1,   2.47618,    2.7179, -0.588608,-0.0214523, -0.176415,  0.575928, -0.298249
RF02929#URS0000D6D1C3_926028/1-50#subopt2,   3.3979,  2.16875, -1.50493, 0.414125,-0.320973,  1.26892, 0.205171
RF02929#URS0000D6D1C3_926028/1-50#subopt3,  2.57228,  2.47127,-0.325602, 0.351121,-0.162149, 0.459444, -0.84238
RF02929#URS0000D6D1C3_926027/1-50#subopt0,  3.29936,  1.91759, -1.34036, 0.522886,-0.313013,  1.32929, 0.281342
RF02929#URS0000D6D1C3_926027/1-50#subopt1,   2.47618,    2.7179, -0.588608,-0.0214524, -0.176414,  0.575928, -0.298249
RF02929#URS0000D6D1C3_926027/1-50#subopt2,   3.3979,  2.16875, -1.50493, 0.414125,-0.320973,  1.26892, 0.205171
RF02929#URS0000D6D1C3_926027/1-50#subopt3,  2.57228,  2.47127,-0.325602, 0.351121,-0.162149, 0.459443, -0.84238
RF03072#MRAE01000003.1/20582-20790#subopt0,   8.92609,  -2.77132, -0.857322,   1.73119, -0.982358,  -1.02662,-0.0314861
RF03072#MRAE01000003.1/20582-20790#subopt1,  9.23201, -3.88377, -1.78308, 0.584131, 0.308646,-0.161313, 0.670954
RF03072#MRAE01000003.1/20582-20790#subopt2,   8.33189,  -2.83567,   -1.6457,   3.18885, -0.932434, -0.899069,-0.0205522
RF03072#MRAE01000003.1/20582-20790#subopt3,   8.5543, -3.04399, -1.82406,  3.21845,-0.876861,-0.447696, 0.175172
RF03072#HF952018.1/169277-169485#subopt0,  9.23051, -1.42472, 0.222143, -1.09844,-0.558031, 0.377881,  2.33094
RF03072#HF952018.1/169277-169485#subopt1,  8.89042, -1.20046,0.0609174,-0.422459,-0.405853, 0.530106,  2.27981
RF03072#HF952018.1/169277-169485#subopt2,  9.13554, -1.44171,-0.335172,-0.327809,-0.285599, 0.810921,  2.60707
RF03072#HF952018.1/169277-169485#subopt3,  9.19555, -1.62056, 0.299272, -1.11386,-0.885812, 0.588765,  1.82995
RF03072#URS0000D69D6C_12908/1-203#subopt0, 9.29942,-3.09866,-1.65727,0.151697,0.793374,-0.58761,0.419671
RF03072#URS0000D69D6C_12908/1-203#subopt1,  9.29456, -3.08291,  -1.6923, 0.176348, 0.804716,-0.676247, 0.388333
RF03072#URS0000D69D6C_12908/1-203#subopt2, 8.74789,-2.71285,-1.03718, 2.20344,0.398016,-1.74977,0.778595
RF03072#URS0000D69D6C_12908/1-203#subopt3,  8.75111, -2.81098,-0.736795,  2.23364, 0.484601, -1.13586, 0.348681
RF02987#URS0000D6C3CB_12908/1-87#subopt0,   5.28848,-0.0124114,  -1.90398, -0.192308, -0.213416,   1.65278,  0.614316
RF02987#URS0000D6C3CB_12908/1-87#subopt1,   5.28266,-0.0973768,   -1.7449,-0.0482057, -0.456938,   1.69079,  0.469636
RF02987#URS0000D6C3CB_12908/1-87#subopt2,   5.29776,-0.0829085,  -1.98269, -0.448636,  -1.22108,  0.960871,   0.48415
RF02987#URS0000D6BE2C_12908/1-87#subopt0,   5.28848,-0.0124118,  -1.90398, -0.192309, -0.213416,   1.65278,  0.614316
RF02987#URS0000D6BE2C_12908/1-87#subopt1,   5.28266,-0.0973769,   -1.7449,-0.0482057, -0.456938,   1.69079,  0.469637
RF02987#URS0000D6BE2C_12908/1-87#subopt2,   5.30358,0.00205441,  -2.14177, -0.592736, -0.977562,  0.922865,   0.62883
RF02987#URS0000D6BE2C_12908/1-87#subopt3,   5.29776,-0.0829082,  -1.98269, -0.448636,  -1.22108,  0.960871,   0.48415
RF02987#URS0000D68C86_12908/1-89#subopt0,  5.55207,-0.702606, -1.98777,  0.12484,-0.238684,  1.75987,  0.69191
RF02987#URS0000D68C86_12908/1-89#subopt1,  5.48634,0.0899647, -1.98032, 0.116727,0.0293597,   1.0937,-0.312856
RF02987#URS0000D68C86_12908/1-89#subopt2,   5.86303,-0.0800204,  -2.47265, 0.0739493, 0.0740464,   1.26834,  0.177838
RF02987#URS0000D68C86_12908/1-89#subopt3,   5.88964, -0.291375,  -2.32798,  0.196631,0.00540599,   1.53956, -0.167057
RF03169#URS0000D69050_12908/1-85#subopt0,  5.47123,  0.75741,-0.939213,-0.498091, 0.307337,-0.154682,-0.350722
RF03169#URS0000D69050_12908/1-85#subopt1,  4.90504,  1.66115,-0.072582,-0.354395, 0.362838, 0.737476, 0.953814
RF03169#URS0000D69050_12908/1-85#subopt2,  6.10581, 0.302218, -1.20879,0.0472548, 0.237831,  1.59256, 0.837752
RF03169#URS0000D69050_12908/1-85#subopt3, 5.32157, 1.43247,-0.14678,-1.07692,0.670036, 1.06986, 1.14328
RF03169#URS0000D6778A_12908/1-87#subopt0,  6.48067,0.0951924,-0.830215, -1.98774, 0.315768, 0.218485,   1.7206
RF03169#URS0000D6778A_12908/1-87#subopt1,   5.99109,  0.801628, -0.352198,  -2.29763,  0.140184,-0.0592252,   1.53744
RF03169#URS0000D6778A_12908/1-87#subopt2,  5.08353,-0.324853, 0.748037,  1.09345,  1.60135,-0.892441,-0.179979
RF03169#URS0000D6778A_12908/1-87#subopt3,  5.11077,-0.155572, 0.378018, 0.369714, 0.983291, -1.47311, 0.487065
RF03169#MGMJ01000061.1/3123-3039#subopt0,  5.34511,-0.843102, -1.11335, 0.701633, 0.323815,-0.158126,-0.773711
RF03169#MGMJ01000061.1/3123-3039#subopt1,  5.98124, -1.55334, -1.32503, 0.844255, 0.486948,-0.269134,-0.514105
RF03169#MGMJ01000061.1/3123-3039#subopt2,  5.93846, -1.36647, -1.35787, 0.817558, 0.113214,-0.416075, -1.11968
RF03169#MGMJ01000061.1/3123-3039#subopt3,   5.75582,  -1.24609,  -1.11846,  0.233573,  0.927562,-0.0194788, -0.287853
RF02958#URS0000D6753D_12908/1-114#subopt0,  6.47824, 0.323208, -0.40117, 0.632308, -1.57694, -1.17625,-0.291445
RF02958#URS0000D6753D_12908/1-114#subopt1,  6.35052,  0.82771, 0.584151, 0.278414, -1.82218,-0.610923, 0.322502
RF02958#URS0000D6753D_12908/1-114#subopt2,  6.50528,  0.72858, 0.566075, 0.374868, -1.57403,-0.259692, 0.364654
