 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8,snm_9,snm_10,snm_11,snm_12,snm_13,snm_14,snm_15,snm_16,snm_17,snm_18
RF02913#URS0000D65DF1_12908/1-80#subopt2,  5.13189, 0.956995, -1.76374, 0.374693,-0.754358, 0.520016,  1.66264, -0.66614,    0.054,  1.49378, 0.254442,-0.344376, -1.20144, -0.46198, 0.321355,  1.39971,  1.46148,-0.339988
RF02913#URS0000D65DF1_12908/1-80#subopt3,       5.46,    1.24452,   -0.31872,    1.54942,  -0.473468,  -0.499763,   0.604826, -0.0428139,  -0.235356,-0.00171391,  -0.626632,   -1.56435, -0.0798318,   0.703536,    0.21022,   0.304504,   0.635666,  -0.374383
RF02913#URS0000D6C5B0_12908/1-80#subopt0,  5.13189, 0.956995, -1.76374, 0.374693,-0.754358, 0.520017,  1.66264,-0.666141,    0.054,  1.49378, 0.254442,-0.344377, -1.20144,-0.461979, 0.321355,  1.39972,  1.46148,-0.339987
RF02913#URS0000D6C5B0_12908/1-80#subopt1,  5.30951, 0.890062, -1.71438, 0.505474,-0.757476,  1.15067,  1.38247, -1.15343,-0.399644, 0.555826,-0.869837, -0.13448,-0.642115, -1.00399,  0.21676,   1.6047,  0.95615,-0.353056
RF02914#URS0000D68A3E_12908/1-36#subopt0,   2.64697,   2.15697, -0.143829, -0.265797, -0.766869,  0.471952,  0.169239,  0.659814,  -0.21688,  0.266692,  0.698149,   0.41148,  0.387778,  0.154916,-0.0613822, -0.321041,  0.782324, -0.450053
RF02914#URS0000D68A3E_12908/1-36#subopt1,    1.37087,   0.795251,    0.12573,    -0.1851,   0.821677, 0.00190194,   0.255357,  -0.153307,  -0.368448,  -0.288811,   0.322466, -0.0632879,   0.105676,   0.156606,-0.00317008,  -0.596965,   0.391096,   0.132255
RF02914#URS0000D676FA_12908/1-35#subopt0,   1.34058,  0.758492, -0.126015,-0.0464131,  0.248147,  0.700033,  0.442538, -0.134308,-0.0989318,-0.0391539,  0.322123,  0.349489, -0.246132,  0.258453, -0.222108, -0.263921,  0.212588,  0.208997
RF02914#URS0000D676FA_12908/1-35#subopt1,   2.53729,  0.260363, -0.626956, -0.314749,  0.306456,   1.36504, -0.126176, -0.825222, -0.499385,0.00702856,  0.564557,  0.478666, -0.579417,   0.24315, -0.260995, -0.282446, -0.321721,  0.555014
RF02914#URS0000D676FA_12908/1-35#subopt2,   2.45417,  0.191817, -0.927637, -0.403106,  0.614343,  0.771936,-0.0782115, -0.285127, -0.621892,   0.13218, 0.0523959,  0.568011, -0.324206,  0.186671, -0.801873,  0.180048, 0.0905571,  0.610474
RF02914#URS0000D676FA_12908/1-35#subopt3,   1.40249,  0.853448, 0.0992071, -0.484148,  0.860165,  0.383175, -0.270691,  0.565278,  0.482499,-0.0619208,  0.281582,  0.446031,-0.0374134,-0.0313878,  0.111348, 0.0573987, -0.104127,  -0.16354
RF02914#URS0000D676FA_12908/1-35#subopt4,   2.26907,  0.661207,  0.469632,  0.388303,  0.893958,  0.142361, -0.201467,  0.972785,  0.244288, -0.434407, -0.217546,  0.777703,-0.0109476, 0.0723692, -0.205524, -0.103998, -0.310017, -0.393919
RF02914#URS0000D67F50_12908/1-35#subopt0,   1.34058,  0.758493, -0.126014,-0.0464131,  0.248148,  0.700034,  0.442538, -0.134308,-0.0989317, -0.039154,  0.322124,   0.34949, -0.246131,  0.258453, -0.222109, -0.263921,  0.212588,  0.208996
RF02914#URS0000D67F50_12908/1-35#subopt1,   2.58936,  0.233518, -0.760938, -0.388542,  0.431065,  0.950191,  -0.30806, -0.494856, -0.702811, -0.437583, -0.347268,  0.476344, -0.264436,  0.137378, -0.654436,-0.0770588, -0.210584,  0.678693
RF02914#URS0000D67F50_12908/1-35#subopt2,   2.53729,  0.260362, -0.626957,  -0.31475,  0.306456,   1.36504, -0.126175, -0.825223, -0.499385,0.00702755,  0.564557,  0.478666, -0.579417,   0.24315, -0.260995, -0.282445, -0.321721,  0.555014
RF02914#URS0000D67F50_12908/1-35#subopt3,   2.45417,  0.191818, -0.927637, -0.403106,  0.614343,  0.771936,-0.0782121, -0.285127, -0.621893,  0.132179, 0.0523959,  0.568011, -0.324206,  0.186671, -0.801874,  0.180048, 0.0905574,  0.610474
RF02914#URS0000D67F50_12908/1-35#subopt4,   1.40249,  0.853448, 0.0992073, -0.484148,  0.860165,  0.383175,  -0.27069,  0.565278,  0.482499,-0.0619214,  0.281582,  0.446032,-0.0374131,-0.0313871,  0.111349, 0.0573992, -0.104127, -0.163541
RF02914#URS0000D65E22_12908/1-36#subopt0,   2.64697,   2.15697, -0.143829, -0.265798, -0.766869,  0.471951,  0.169239,  0.659814, -0.216881,  0.266692,  0.698149,   0.41148,  0.387779,  0.154916,-0.0613819, -0.321041,  0.782325, -0.450053
RF02914#URS0000D65E22_12908/1-36#subopt1,    1.37087,   0.795251,    0.12573,    -0.1851,   0.821678, 0.00190247,   0.255357,  -0.153307,  -0.368447,  -0.288811,   0.322466, -0.0632875,   0.105677,   0.156606,-0.00317012,  -0.596966,   0.391095,   0.132254
RF02914#URS0000D69D5C_12908/1-36#subopt0,   2.64697,   2.15697, -0.143829, -0.265798, -0.766869,  0.471952,  0.169239,  0.659814,  -0.21688,  0.266693,  0.698149,   0.41148,  0.387779,  0.154916,-0.0613818, -0.321041,  0.782325, -0.450053
RF02914#URS0000D69D5C_12908/1-36#subopt1,    1.37087,   0.795251,   0.125729,    -0.1851,   0.821678, 0.00190252,   0.255357,  -0.153307,  -0.368448,  -0.288811,   0.322465, -0.0632876,   0.105676,   0.156606,-0.00317038,  -0.596966,   0.391095,   0.132254
RF02924#URS0000D691F7_12908/1-83#subopt0,  3.38348,  1.73032,  1.31994, -1.49199,  1.17849, 0.252832, 0.310288,-0.212793,  1.71002,-0.167766,-0.333509,0.0835956,-0.193145, 0.466774, 0.550364, 0.244424, 0.282696, 0.668548
RF02924#URS0000D691F7_12908/1-83#subopt1,   4.06428,   1.45408,   1.87079, -0.275541,   1.22158,-0.0298318,  0.187594,  0.696105,   1.64881,   0.40511, -0.695546,  0.792732, -0.942223,  0.271716,   0.95856,  0.412622,   0.27945,  0.543465
RF02924#URS0000D691F7_12908/1-83#subopt2,  3.35091,  1.76172,  1.40522, -1.62274,   1.1968,  0.43736, 0.252935, 0.210256,  1.74151, 0.244837,-0.644272, 0.786442,-0.380621, 0.153445, 0.631756, 0.535099, 0.409586,   0.6061
RF02924#URS0000D691F7_12908/1-83#subopt3,   3.44904,   1.71521,   1.37576,  -1.50869,    1.5278, 0.0062978,  0.526486, -0.406479,   1.62674,  0.012726, -0.429912,  0.322708,-0.0442104,  0.269845,  0.443856,  0.333312,  0.416705,  0.679725
RF02924#URS0000D691F7_12908/1-83#subopt4,  4.60537, 0.333392, 0.125793, -1.77205,  1.65331, -0.32264,-0.331604,-0.104013,0.0466734,  1.24665,-0.718676, 0.373769, 0.176232, 0.176548, -0.84203, 0.432054,-0.382439, 0.304092
RF02924#LBBT01000108.1/25002-25086#subopt0,     4.364,   0.59332,  0.927415,  -1.97482,   1.07813,  0.363944,  0.828758,  0.507869,  0.768126, -0.421749,  0.774454,  0.343268,-0.0684027, -0.210732,  0.324415,  0.117025,  -0.38267, -0.153351
RF02924#LBBT01000108.1/25002-25086#subopt1,  4.55921,  1.39942, 0.431755,-0.269012, 0.843349,-0.226338,-0.554268,-0.046331,  0.31549, 0.607758,-0.216119, 0.492796,-0.411542,-0.190169, 0.802749, 0.144779, 0.635095,-0.402335
RF02924#LBBT01000108.1/25002-25086#subopt2,    3.98048,    1.89855,  -0.115077,   -1.36371,   0.490685,   0.134725,  -0.739458,  -0.453363,   0.135064,   0.776726,  -0.156471,   0.454736,   0.323692,  -0.540184,   0.574832,-0.00822282,   0.557207,  -0.291187
RF02924#LBBT01000108.1/25002-25086#subopt3,   4.44527,   1.16326, -0.404482,  -1.89941,  0.339323, -0.322469,  -1.14004, 0.0678568, -0.659834, -0.339553,  0.559221,  0.492917, -0.845169,  0.294862,  0.500883,0.00976285,  0.192915,  -0.81267
RF02924#LBBT01000108.1/25002-25086#subopt4,  4.53861,  1.17545, 0.624183,-0.463259, 0.413558,-0.310275,-0.758666, 0.465996,-0.281187,-0.394514, 0.508442, 0.500021,-0.698611,0.0838251, 0.513824,0.0846437, 0.300573, -0.76676
RF02924#URS0000D6722E_997827/1-84#subopt0,   3.27673,   1.73353,   1.43109,  -1.90702,  0.877972,  0.623814, 0.0362243,   1.10827,   1.67371,-0.0974226, -0.302973,  0.452165,-0.0455827,  0.942851,  0.620447,  0.483702,  0.344937,  0.628922
RF02924#URS0000D6722E_997827/1-84#subopt1,   4.12973,   1.48607,   1.97601, -0.299514,  0.711084,  0.343952, -0.260772,  0.707778,   1.99936, -0.262797,  -0.90632,  0.490577, -0.760386,  0.347576,   1.19284,-0.0709167,-0.0967131,  0.748453
RF02924#URS0000D6722E_997827/1-84#subopt2,    3.411,  1.79861,  1.49632, -1.65274,  0.67349, 0.822559,-0.200458, 0.200737,  2.07756,-0.403637,  -0.8687, 0.492398,-0.194537, 0.246113, 0.818757,  0.02144,0.0261025, 0.807694
RF02924#URS0000D6722E_997827/1-84#subopt3,  4.40576, 0.935363, 0.241008, -1.72504, 0.459177, 0.374092, 0.256594, 0.189608,  1.36011,-0.611029, -1.75141, 0.467169,-0.227403,-0.171602,  0.27295, 0.692622,-0.301771, 0.777797
RF02924#URS0000D6722E_997827/1-84#subopt4,  3.36044,  1.67873,  1.66382, -1.89341, 0.858046, 0.969174,-0.375001, 0.747464,  1.54001, -0.74618,-0.549589, 0.622801,-0.150484, 0.354207,  1.09158, 0.344409, 0.143028, 0.859037
RF02924#URS0000D6722E_525258/1-84#subopt0,   3.27673,   1.73353,   1.43109,  -1.90702,  0.877972,  0.623813, 0.0362242,   1.10827,   1.67371,-0.0974226, -0.302973,  0.452166,-0.0455831,  0.942852,  0.620447,  0.483702,  0.344938,  0.628922
RF02924#URS0000D6722E_525258/1-84#subopt1,   4.12973,   1.48607,   1.97601, -0.299514,  0.711083,  0.343951, -0.260772,  0.707778,   1.99936, -0.262797,  -0.90632,  0.490576, -0.760387,  0.347574,   1.19284,-0.0709163,-0.0967134,  0.748454
RF02924#URS0000D6722E_525258/1-84#subopt2,    3.411,  1.79861,  1.49632, -1.65274,  0.67349,  0.82256,-0.200459, 0.200738,  2.07756,-0.403637,  -0.8687, 0.492398,-0.194537, 0.246113, 0.818757,0.0214404, 0.026102, 0.807695
RF02924#URS0000D6722E_525258/1-84#subopt3,  4.40576, 0.935364, 0.241009, -1.72504, 0.459177, 0.374091, 0.256595, 0.189608,  1.36011, -0.61103, -1.75141, 0.467169,-0.227403,-0.171602,  0.27295, 0.692623, -0.30177, 0.777796
RF02924#URS0000D6722E_525258/1-84#subopt4,  3.36044,  1.67873,  1.66382, -1.89341, 0.858045, 0.969173,-0.375001, 0.747464,  1.54001, -0.74618,-0.549589, 0.622802,-0.150485, 0.354207,  1.09158, 0.344409, 0.143028, 0.859037
RF02924#URS0000D6722E_499175/1-84#subopt0,   3.27674,   1.73353,   1.43109,  -1.90702,  0.877972,  0.623814, 0.0362246,   1.10827,   1.67371,-0.0974225, -0.302973,  0.452165,-0.0455825,  0.942851,  0.620447,  0.483702,  0.344938,  0.628921
RF02924#URS0000D6722E_499175/1-84#subopt1,   4.12973,   1.48607,   1.97601, -0.299514,  0.711083,  0.343951, -0.260772,  0.707778,   1.99936, -0.262798,  -0.90632,  0.490577, -0.760386,  0.347575,   1.19284,-0.0709164,-0.0967134,  0.748454
RF02924#URS0000D6722E_499175/1-84#subopt2,    3.411,  1.79861,  1.49632, -1.65274, 0.673491,  0.82256,-0.200458, 0.200738,  2.07756,-0.403637,  -0.8687, 0.492398,-0.194537, 0.246113, 0.818757,0.0214398,0.0261023, 0.807695
RF02924#URS0000D6722E_499175/1-84#subopt3,  4.40576, 0.935364, 0.241009, -1.72504, 0.459177, 0.374092, 0.256595, 0.189608,  1.36011, -0.61103, -1.75141, 0.467168,-0.227403,-0.171602,  0.27295, 0.692623, -0.30177, 0.777797
RF02924#URS0000D6722E_499175/1-84#subopt4,  3.36044,  1.67873,  1.66382, -1.89341, 0.858046, 0.969173,   -0.375, 0.747464,  1.54001, -0.74618,-0.549589, 0.622802,-0.150484, 0.354207,  1.09158, 0.344409, 0.143028, 0.859038
RF03064#URS0000D6985E_12908/1-73#subopt0,    4.5627, -0.700195,   0.20422,   1.15598,   1.52152,   1.83709,  -1.39369,  0.131415,  0.504258,-0.0372197,   1.31417,  -0.43726, -0.359201, -0.109807, 0.0700421, -0.278046,  0.219615, -0.046589
RF03064#URS0000D6985E_12908/1-73#subopt1,    5.17557,   -1.32282,  -0.635365,   0.984665,    1.40548,    1.44948,    -1.0789,    0.40718,   0.875042,  -0.369317,    1.25544,  -0.353108,  -0.590323,   0.178099,   0.707907,  -0.485691,   0.444507,-0.00961418
RF03064#URS0000D6985E_12908/1-73#subopt2,  5.06707,-0.969907, 0.324474,  1.76063,  1.51195,  1.88046, -1.37008, 0.527486, 0.274166, -0.31273, 0.937382,-0.147256, 0.110141,-0.126206,-0.271598, 0.218436, 0.201642, 0.201726
RF03064#URS0000D6985E_12908/1-73#subopt3,   5.04491, -0.947773,-0.0673044,   1.62075,   1.25791,   1.81022,  -0.83019,  0.681021,  0.501853, -0.573931,  0.626988, -0.640134, 0.0695803,  -0.15699,   0.30253, -0.108981,  0.339352, -0.385378
RF03064#URS0000D6985E_12908/1-73#subopt4,  4.51125,-0.780215, 0.260635,     1.32,  1.38709,  1.53002, -1.05828,-0.332544,-0.302467,-0.102313,  1.40633,-0.706228,-0.177458,0.0198802,0.0867021,-0.685945, 0.546665, 0.183716
RF03064#URS0000D69A75_12908/1-73#subopt0,    4.5627, -0.700195,   0.20422,   1.15598,   1.52152,   1.83709,  -1.39369,  0.131415,  0.504257,-0.0372194,   1.31417, -0.437259, -0.359201, -0.109807, 0.0700419, -0.278046,  0.219615,-0.0465891
RF03064#URS0000D69A75_12908/1-73#subopt1,   5.17557,  -1.32282, -0.635364,  0.984665,   1.40548,   1.44948,   -1.0789,   0.40718,  0.875042, -0.369316,   1.25544, -0.353108, -0.590323,  0.178099,  0.707907, -0.485691,  0.444507,-0.0096143
RF03064#URS0000D69A75_12908/1-73#subopt2,    4.58739,  -0.747532,   0.220539,   0.802957,    1.72257,    1.20961,   -1.47654,-0.00541092,   0.439326,  -0.285201,    1.28108,  0.0152029,   0.307791,   0.334986,   0.220926,  -0.304947,-0.00573828,  0.0723213
RF03064#URS0000D69A75_12908/1-73#subopt3,  4.51125,-0.780214, 0.260635,     1.32,  1.38709,  1.53002, -1.05828,-0.332543,-0.302468,-0.102313,  1.40633,-0.706228,-0.177458,0.0198801,0.0867021,-0.685945, 0.546666, 0.183715
RF03064#URS0000D6BAF7_515619/1-73#subopt0,    4.5627, -0.700195,   0.20422,   1.15598,   1.52152,   1.83709,  -1.39369,  0.131415,  0.504257,-0.0372199,   1.31417, -0.437259, -0.359201, -0.109807, 0.0700418, -0.278046,  0.219615,-0.0465888
RF03064#URS0000D6BAF7_515619/1-73#subopt1,    5.17557,   -1.32282,  -0.635365,   0.984665,    1.40548,    1.44948,    -1.0789,   0.407181,   0.875042,  -0.369317,    1.25544,  -0.353108,  -0.590323,   0.178099,   0.707907,   -0.48569,   0.444507,-0.00961423
RF03064#URS0000D6BAF7_515619/1-73#subopt2,  4.51125,-0.780214, 0.260635,  1.31999,  1.38709,  1.53002, -1.05827,-0.332543,-0.302467,-0.102313,  1.40633,-0.706229,-0.177458,0.0198795,0.0867022,-0.685945, 0.546665, 0.183715
RF03064#URS0000D6BAF7_12908/1-73#subopt0,    4.5627, -0.700194,   0.20422,   1.15598,   1.52153,   1.83709,  -1.39369,  0.131415,  0.504257,-0.0372195,   1.31417, -0.437259, -0.359201, -0.109807, 0.0700418, -0.278046,  0.219615,-0.0465885
RF03064#URS0000D6BAF7_12908/1-73#subopt1,    5.17557,   -1.32282,  -0.635364,   0.984665,    1.40548,    1.44948,    -1.0789,   0.407181,   0.875042,  -0.369317,    1.25544,  -0.353108,  -0.590323,   0.178099,   0.707907,   -0.48569,   0.444507,-0.00961419
RF03064#URS0000D6BAF7_12908/1-73#subopt2,  4.51125,-0.780214, 0.260635,  1.31999,  1.38709,  1.53002, -1.05827,-0.332543,-0.302467,-0.102313,  1.40633,-0.706228,-0.177458,0.0198796,0.0867022,-0.685945, 0.546665, 0.183716
RF03064#CP001107.1/991894-991966#subopt0,    4.5627, -0.700195,   0.20422,   1.15598,   1.52152,   1.83709,  -1.39369,  0.131415,  0.504257,-0.0372194,   1.31417, -0.437259, -0.359201, -0.109806,  0.070042, -0.278046,  0.219615,-0.0465892
RF03064#CP001107.1/991894-991966#subopt1,   5.17557,  -1.32282, -0.635365,  0.984665,   1.40548,   1.44948,   -1.0789,   0.40718,  0.875042, -0.369317,   1.25544, -0.353108, -0.590323,    0.1781,  0.707907,  -0.48569,  0.444507,-0.0096145
RF03064#CP001107.1/991894-991966#subopt2,  4.51125,-0.780214, 0.260635,  1.31999,  1.38709,  1.53002, -1.05828,-0.332543,-0.302467,-0.102313,  1.40633,-0.706228,-0.177458,0.0198799,0.0867022,-0.685944, 0.546665, 0.183715
RF02440#GG695971.1/126178-126123#subopt0,    3.08798,    1.33537,    1.43156,   -1.45948,   0.295664,    1.83941,   0.335339,  0.0294521,   0.580754,  -0.872345,   0.278267,   0.212549,  -0.736069,  0.0461756, -0.0658376,0.000341209,  -0.647994,  -0.192476
RF02440#GG695971.1/126178-126123#subopt1,   3.12447,    1.4034,   1.31264,  -1.32256,  0.240279,   1.73645,  0.304553, -0.251018,      1.23,  -0.23113, -0.320728,  0.368264, -0.267317,-0.0226863,  0.283603,  -0.40929, -0.446871,  -0.12254
RF02440#GG695971.1/126178-126123#subopt2,    2.9835,   1.34929,   1.30306,  -1.47285,  0.432614,    1.5097,  0.368447,  0.269826,  0.541242, -0.603265,  0.337749,   0.35079, -0.760674,  0.069686, -0.195345,-0.0331341, -0.392726, -0.272081
RF02440#GG695971.1/126178-126123#subopt3,  3.05049,  1.26316,  1.40932, -1.05671, 0.168962,  1.38945, 0.845744,-0.717154,-0.318933, -1.18287, 0.286645,-0.355634,-0.496578, 0.303313,-0.145677,-0.758365,-0.107914, 0.208531
RF02440#GG695971.1/126178-126123#subopt4,  2.94601,  1.27709,  1.28083, -1.07008, 0.305913,  1.05974, 0.878852,-0.476779,-0.358448,-0.913789, 0.346127,-0.217391,-0.521183, 0.326823,-0.275183,-0.791841, 0.147355, 0.128926
RF02440#LFZW01000001.1/2096884-2096831#subopt0,  3.12181,  1.43042,  1.29626, -1.32256, 0.266344,  1.82606, 0.307946,-0.230277,  1.20734, -0.24379,-0.379736, 0.274537,-0.300926,0.0076596, 0.269281,-0.396089,-0.479985,-0.116187
RF02440#LFZW01000001.1/2096884-2096831#subopt1,   3.10549,   1.26295,   1.52061,  -1.60415,   0.41739,   1.89158,  0.101926,  0.356161,  0.723149, -0.558622, 0.0228176,  0.528659, -0.185479, 0.0452059,  0.632788,-0.0801066, -0.320667,-0.0843769
RF02440#LFZW01000001.1/2096884-2096831#subopt2,  3.01733,  1.44435,  1.16777, -1.33594, 0.403295,  1.49635, 0.341059,0.0100977,  1.16782,0.0252883,-0.320253, 0.412777, -0.32553, 0.031171, 0.139775,-0.429565,-0.224718,-0.195793
RF02440#LFZW01000001.1/2096884-2096831#subopt3,   3.08432,   1.35822,   1.27402, -0.919784,   0.13964,    1.3761,  0.818356, -0.976882,  0.307648, -0.554314, -0.371359, -0.293646,-0.0614361,  0.264798,  0.189444,  -1.15479, 0.0600945,   0.28482
RF02440#LFZW01000001.1/2096884-2096831#subopt4,   2.97984,   1.37215,   1.14554,  -0.93316,  0.276591,   1.04639,  0.851458, -0.736505,  0.268135, -0.285232, -0.311875, -0.155404,-0.0860408,  0.288307, 0.0599363,  -1.18827,  0.315361,  0.205216
RF02440#AJLR01000146.1/149633-149688#subopt0,   3.10925,   1.52981,   1.16096,  -1.35734,  0.247743,   1.48287,  0.635269,  0.166383,   1.24566,  0.249498, -0.163695,  0.160366, -0.169658,  0.651171,-0.0346789, -0.263053, -0.408014, -0.249043
RF02440#AJLR01000146.1/149633-149688#subopt1,    3.08798,    1.33537,    1.43156,   -1.45948,   0.295664,    1.83941,   0.335339,  0.0294523,   0.580755,  -0.872345,   0.278267,   0.212549,  -0.736069,  0.0461752, -0.0658376,0.000341471,  -0.647994,  -0.192476
RF02440#AJLR01000146.1/149633-149688#subopt2,   3.12447,    1.4034,   1.31264,  -1.32256,  0.240279,   1.73645,  0.304553, -0.251018,      1.23, -0.231129, -0.320729,  0.368263, -0.267317,-0.0226863,  0.283603,  -0.40929,  -0.44687, -0.122539
RF02440#AJLR01000146.1/149633-149688#subopt3,   2.94371,   1.52998,  0.964424,  -1.36132,  0.461899,   1.07087,  0.741188,   0.48922,   1.20765,  0.667247,-0.0545521,  0.357502, -0.180588,  0.742075, -0.237557, -0.272888, -0.066347, -0.409156
RF02440#AJLR01000146.1/149633-149688#subopt4,    2.9835,   1.34929,   1.30306,  -1.47285,  0.432613,    1.5097,  0.368448,  0.269827,  0.541241, -0.603264,   0.33775,   0.35079, -0.760674, 0.0696858, -0.195345,-0.0331345, -0.392726,  -0.27208
RF02440#MRTP01000001.1/119356-119302#subopt0,  3.07808,   1.2314,   1.4352, -1.49825, 0.267913,  1.45641, 0.461445, 0.176084,  0.47013,-0.828589, 0.407488, 0.626864,-0.675662, 0.197806,-0.140078,-0.204709,-0.500154,-0.601298
RF02440#MRTP01000001.1/119356-119302#subopt1,  3.09842,  1.32555,  1.32636, -1.32033, 0.286171,  1.35559, 0.466974,-0.126047,   1.0446, -0.15772,-0.105304,  0.76981,-0.340038, 0.168948, 0.190227, -0.53698,-0.411119,-0.581616
RF02440#MRTP01000001.1/119356-119302#subopt2,  2.91254,  1.23157,  1.23866, -1.50223, 0.482067,   1.0444, 0.567364, 0.498921, 0.432123,-0.410842, 0.516629, 0.823997,-0.686592, 0.288715, -0.34296,-0.214546,-0.158486,-0.761409
RF02440#MRTP01000001.1/119356-119302#subopt3,   3.0406,  1.15921,  1.41297, -1.09548, 0.141213,  1.00645, 0.971854,-0.570522,-0.429557, -1.13912, 0.415865,0.0586821,-0.436173, 0.454946,-0.219917,-0.963418,0.0399275,-0.200292
RF02440#MRTP01000001.1/119356-119302#subopt4,  2.87506,  1.15938,  1.21643, -1.09946, 0.355366, 0.594444,  1.07777,-0.247686,-0.467568,-0.721366, 0.525007, 0.255819,-0.447104, 0.545851,-0.422798,-0.973252, 0.381595,-0.360402
RF02440#LQXD01000084.1/13844-13897#subopt0,   3.07561,    1.3667,   1.33353,  -1.62694,  0.397457,   1.73261,  0.418409,  0.663453,  0.817051,-0.0601147,    0.1388,    0.1924, -0.140931,   0.62213,  0.200319, 0.0655912, -0.230564, -0.241071
