 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8,snm_9,snm_10,snm_11,snm_12,snm_13
RF02913#URS0000D6CFA0_12908/1-100#subopt2,  5.92735, 0.609935, -2.39043, 0.526429,-0.918367, 0.575399, -1.68987,-0.449998, -1.09727, 0.393901,-0.743205, -1.18089,-0.478153
RF02913#URS0000D6CFA0_12908/1-100#subopt3,  5.63911, 0.661949, -3.02076,-0.820246, -1.71729,-0.124136, -2.19261,-0.519477, -1.11093, 0.392169,-0.281191,-0.548624,-0.589491
RF02913#URS0000D65DF1_12908/1-80#subopt0,  4.50785,  1.57878,-0.909127, 0.596134,-0.819247, 0.491884, -1.92524, 0.463251, -1.12894,  0.54167,-0.872566,-0.512994,-0.944896
RF02913#URS0000D65DF1_12908/1-80#subopt1,  5.24151, 0.986018, -1.57657, 0.323505,-0.734321, 0.871482, -1.43844, 0.844365,-0.608894, 0.531556,-0.754761, -1.21478, -0.85205
RF02913#URS0000D65DF1_12908/1-80#subopt2,  5.14654,  1.14081, -1.78823, 0.383488,-0.875702, 0.222632, -2.03003, -0.13911,-0.944817, 0.768096,-0.583668, -1.31784,-0.507149
RF02913#URS0000D65DF1_12908/1-80#subopt3,  5.46854,  1.28814,-0.264772,  1.55432,-0.175621, -0.57187,-0.688662,-0.200222,-0.319063,  -1.0349,-0.181935,-0.826581,  1.18891
RF02914#URS0000D68A3E_12908/1-36#subopt0,    2.66042,     2.1651,-0.00634598,  -0.173931,  -0.683825,   0.335942,   0.236148,   -0.74133,   0.283969,   0.674354,  -0.506985,   0.343892, 0.00762297
RF02914#URS0000D68A3E_12908/1-36#subopt1,    1.37959,   0.754791,   0.228905,  -0.285853,   0.770213,  0.0123828,   -0.38282,   0.113453,   0.474508,  -0.141552,   -0.36022,   0.158951,-0.00406132
RF02914#URS0000D676FA_12908/1-35#subopt0,   1.35007,  0.764173,-0.0572704,-0.0452068,  0.132374,  0.623726, -0.535721, 0.0256262,  0.248153,  0.215962,-0.0815233,  0.127517, -0.404693
RF02914#URS0000D676FA_12908/1-35#subopt1,   2.54555,  0.243734, -0.635982, -0.355507,  0.119518,   1.33268, -0.358498,  0.740395,  0.449435,  0.254487, -0.452824,-0.0209076, -0.796509
RF02914#URS0000D676FA_12908/1-35#subopt2,  2.46098, 0.190097,-0.919538,-0.535792, 0.454813, 0.866626,-0.198992, 0.165638, 0.093175,-0.185395, -0.35623, 0.340057,-0.910368
RF02914#URS0000D676FA_12908/1-35#subopt3,  1.41079, 0.802236, 0.229844,-0.551522, 0.835453, 0.498916, 0.311238,-0.349578, 0.049273, 0.493302, 0.408634, 0.230037,-0.300824
RF02914#URS0000D67F50_12908/1-35#subopt0,   1.35007,  0.764173,-0.0572707,-0.0452062,  0.132374,  0.623726, -0.535721, 0.0256266,  0.248153,  0.215962,-0.0815228,  0.127518, -0.404693
RF02914#URS0000D67F50_12908/1-35#subopt1,   2.59779,  0.196472, -0.768064, -0.490418,  0.223662,   1.05522,-0.0107365,  0.484846,  0.406364, -0.690022,  -0.12431,  0.445196, -0.757597
RF02914#URS0000D67F50_12908/1-35#subopt2,   2.54555,  0.243734, -0.635982, -0.355508,  0.119518,   1.33268, -0.358497,  0.740394,  0.449435,  0.254487, -0.452824,-0.0209078,  -0.79651
RF02914#URS0000D67F50_12908/1-35#subopt3,  2.46098, 0.190096,-0.919537,-0.535792, 0.454815, 0.866626,-0.198993, 0.165638, 0.093175,-0.185396, -0.35623, 0.340057,-0.910368
RF02914#URS0000D65E22_12908/1-36#subopt0,    2.66042,    2.16509,-0.00634643,  -0.173932,  -0.683824,   0.335943,   0.236148,   -0.74133,   0.283968,   0.674353,  -0.506986,   0.343892, 0.00762338
RF02914#URS0000D65E22_12908/1-36#subopt1,    1.37958,    0.75479,   0.228905,  -0.285852,   0.770214,  0.0123835,  -0.382819,   0.113453,   0.474509,  -0.141551,   -0.36022,   0.158951,-0.00406124
RF02924#URS0000D691F7_12908/1-83#subopt0,   3.38539,   1.54668,   1.56652,  -1.55341,  0.873922,  0.370919, -0.394854,  0.300368, -0.354821,  0.499862,   1.47289, -0.123809,-0.0773505
RF02924#URS0000D691F7_12908/1-83#subopt1,   4.06847,   1.25819,   2.06424, -0.312809,   1.04308, 0.0971329,-0.0761014, -0.463451, -0.956596,  0.427882,   1.50524, -0.362866,  -1.06365
RF02924#URS0000D691F7_12908/1-83#subopt2,   3.35555,   1.56992,    1.6566,  -1.67834,  0.793436,  0.560169, -0.194123,-0.0678656, -0.772737,   0.59396,   1.55334, 0.0185582, -0.716562
RF02924#URS0000D691F7_12908/1-83#subopt3,  3.45323,  1.52138,  1.63554, -1.64189,  1.15073, 0.116873, -0.64612, 0.492479, -0.53723, 0.444691,   1.3373, 0.132761,-0.173899
RF02924#LBBT01000108.1/25002-25086#subopt0,  4.36648, 0.494917,  1.16664, -2.06152, 0.647995, 0.276014,-0.685731,  -0.6882, 0.585483,  1.03613,  0.71511,0.0766472,  -0.1619
RF02924#LBBT01000108.1/25002-25086#subopt1,   4.57243,   1.26638,  0.535604, -0.434182,  0.811347,-0.0132299,  0.364346,  0.264539, -0.565219,  0.135931, 0.0368903, -0.210948, -0.525938
RF02924#LBBT01000108.1/25002-25086#subopt2,  3.98867,  1.76718,0.0317082, -1.57017, 0.350439, 0.376117, 0.504608, 0.626422, -0.56153, 0.278375,-0.309516, 0.181223,-0.176393
RF02924#LBBT01000108.1/25002-25086#subopt3,   4.46749,   1.04521, -0.295621,  -1.96839,  0.158913,-0.0840628,   1.11627, 0.0658509,  0.958543,   0.07517,  -0.31065,  -0.67543,  -0.74626
RF02924#URS0000D6722E_997827/1-84#subopt0,   3.28233,   1.55602,   1.69722,  -1.81038,  0.578104,  0.705585,  0.359748, -0.888841, -0.392864,    0.7059,   1.53423, 0.0493883,-0.0805216
RF02924#URS0000D6722E_997827/1-84#subopt1,  4.12738,  1.27181,  2.12642, -0.21398, 0.565248, 0.459572, 0.421461,-0.212207,-0.628894,  0.26157,  2.00447,-0.343947,-0.554649
RF02924#URS0000D6722E_997827/1-84#subopt2,  3.41445,  1.58355,  1.71878, -1.57951,  0.31561, 0.922612, 0.303439, 0.183378,-0.445038, 0.427648,  2.05257,0.0374781,-0.207559
RF02924#URS0000D6722E_997827/1-84#subopt3,   4.40699,  0.789333,  0.394439,  -1.74344,-0.0317465,  0.502189, -0.114823,-0.0740097,  -0.59412, -0.602333,   2.06632,  0.344549, -0.474128
RF02924#URS0000D6722E_525258/1-84#subopt0,   3.28233,   1.55602,   1.69722,  -1.81038,  0.578105,  0.705586,  0.359749, -0.888842, -0.392864,    0.7059,   1.53423, 0.0493882,-0.0805217
RF02924#URS0000D6722E_525258/1-84#subopt1,  4.12738,  1.27181,  2.12642, -0.21398, 0.565248, 0.459571, 0.421461,-0.212207,-0.628894,  0.26157,  2.00447,-0.343947,-0.554649
RF02924#URS0000D6722E_525258/1-84#subopt2,  3.41446,  1.58355,  1.71877, -1.57951,  0.31561, 0.922612,  0.30344, 0.183378,-0.445038, 0.427648,  2.05257, 0.037478,-0.207559
RF02924#URS0000D6722E_525258/1-84#subopt3,   4.40699,  0.789333,  0.394439,  -1.74344,-0.0317465,  0.502189, -0.114823,-0.0740101,  -0.59412, -0.602333,   2.06632,  0.344549, -0.474128
RF03064#URS0000D6985E_12908/1-73#subopt0,  4.55539,-0.778141,0.0922049,  1.09242,  1.86752,   2.0066, 0.642582, 0.363246, 0.530458, 0.950043,-0.157038,-0.453183, 0.151422
RF03064#URS0000D6985E_12908/1-73#subopt1,  5.16399, -1.35463,-0.668929, 0.984741,  1.70498,  1.49148, 0.459773,-0.011054, 0.736336,  1.06381, 0.405385,-0.637869, 0.155337
RF03064#URS0000D6985E_12908/1-73#subopt2,   5.06517,  -1.06582,  0.169462,   1.69644,   1.91238,   2.14681,   0.82349, 0.0269726,  0.525751,  0.628229,-0.0982439,  0.274705,  0.173727
RF03064#URS0000D6985E_12908/1-73#subopt3,  5.03834, -1.00315,-0.180779,  1.59095,   1.5896,  1.92508, 0.350498,-0.310199, 0.593313, 0.346062, 0.303908,-0.163524, 0.616219
RF03064#URS0000D69A75_12908/1-73#subopt0,  4.55539,-0.778141,0.0922048,  1.09242,  1.86752,   2.0066, 0.642582, 0.363246, 0.530458, 0.950043,-0.157038,-0.453183, 0.151422
RF03064#URS0000D69A75_12908/1-73#subopt1,  5.16399, -1.35463,-0.668928, 0.984741,  1.70498,  1.49148, 0.459773,-0.011054, 0.736336,  1.06381, 0.405385,-0.637869, 0.155338
RF03064#URS0000D69A75_12908/1-73#subopt2,  4.57285,-0.844368, 0.228457,  0.67997,  1.94973,  1.37053, 0.824792, 0.572596, 0.543377, 0.932048,-0.204182, 0.312797, 0.301303
RF03064#URS0000D69A75_12908/1-73#subopt3, 4.50784,-0.85286,0.118257, 1.25312, 1.74449, 1.67769,0.280793,0.603442,0.839984,0.537925,-0.95354,-0.50176,0.260423
RF03064#URS0000D6BAF7_515619/1-73#subopt0,  4.55539,-0.778142,0.0922049,  1.09242,  1.86752,   2.0066, 0.642582, 0.363246, 0.530458, 0.950043,-0.157038,-0.453183, 0.151422
RF03064#URS0000D6BAF7_515619/1-73#subopt1,   5.16399,  -1.35463, -0.668929,   0.98474,   1.70498,   1.49148,  0.459772,-0.0110544,  0.736336,   1.06381,  0.405385,  -0.63787,  0.155338
RF03064#URS0000D6BAF7_515619/1-73#subopt2, 4.50784,-0.85286,0.118257, 1.25312, 1.74448, 1.67769,0.280793,0.603442,0.839984,0.537925,-0.95354,-0.50176,0.260423
RF03064#URS0000D6BAF7_12908/1-73#subopt0,  4.55539,-0.778141,0.0922046,  1.09242,  1.86752,   2.0066, 0.642582, 0.363245, 0.530457, 0.950043,-0.157038,-0.453183, 0.151422
RF03064#URS0000D6BAF7_12908/1-73#subopt1,   5.16399,  -1.35463, -0.668929,   0.98474,   1.70498,   1.49148,  0.459773,-0.0110542,  0.736336,   1.06381,  0.405385, -0.637869,  0.155338
RF03064#URS0000D6BAF7_12908/1-73#subopt2,  4.50784, -0.85286, 0.118257,  1.25312,  1.74449,  1.67769, 0.280793, 0.603442, 0.839984, 0.537925,-0.953541, -0.50176, 0.260423
RF02440#GG695971.1/126178-126123#subopt0,   3.09588,   1.22599,   1.60653,  -1.25675, -0.170994,   1.86333, -0.412231,-0.0285776,   0.85078,  0.418657,   0.99681, -0.282273, -0.328958
RF02440#GG695971.1/126178-126123#subopt1,  3.12831,  1.27311,  1.48899, -1.17232,-0.198292,  1.73964,-0.444303, 0.343473,-0.158521, 0.522095,  1.31923,0.0489787,-0.153819
RF02440#GG695971.1/126178-126123#subopt2,    2.99063,    1.24975,     1.4864,   -1.28533,-0.00172922,    1.54899,  -0.327887,  -0.263985,   0.662732,   0.506896,   0.831068,  -0.268536,  -0.470032
RF02440#GG695971.1/126178-126123#subopt3,  3.05844,  1.16256,  1.54252,-0.888614,-0.285693,  1.28247, -1.07265, 0.466995,  1.33813,-0.303781, 0.195902,-0.324281,0.0678714
RF02440#LFZW01000001.1/2096884-2096831#subopt0,    3.12558,    1.30467,    1.47231,   -1.17707,  -0.177855,    1.84271,  -0.464921,   0.307075,  -0.144823,   0.433201,    1.34662,-0.00733378,  -0.100852
RF02440#LFZW01000001.1/2096884-2096831#subopt1,   3.10973,   1.10918,   1.71035,  -1.43789,-0.0548745,   1.93119,-0.0979122, -0.254938,  0.365857,  0.515718,   0.96827,  0.187752, -0.310326
RF02440#LFZW01000001.1/2096884-2096831#subopt2,   3.02031,   1.32844,   1.35216,  -1.20565,-0.0085918,   1.52836, -0.380576, 0.0716693, -0.332871,  0.521438,   1.18088,0.00640384, -0.241925
RF02440#LFZW01000001.1/2096884-2096831#subopt3,   3.08813,   1.24124,   1.40829, -0.808927, -0.292552,   1.26186,  -1.12534,  0.802645,  0.342526, -0.289237,  0.545715,-0.0493422,  0.295979
RF02440#AJLR01000146.1/149633-149688#subopt0,   3.11481,   1.45479,   1.40611,   -1.1998, -0.138261,   1.45955, -0.566798, -0.189074, -0.520873,  0.690486,   1.17828,-0.0875513,  0.114799
RF02440#AJLR01000146.1/149633-149688#subopt1,   3.09588,   1.22599,   1.60653,  -1.25675, -0.170994,   1.86333, -0.412231,-0.0285778,   0.85078,  0.418657,   0.99681, -0.282274, -0.328957
RF02440#AJLR01000146.1/149633-149688#subopt2,  3.12831,  1.27311,  1.48899, -1.17231,-0.198292,  1.73964,-0.444304, 0.343473,-0.158521, 0.522095,  1.31923, 0.048979,-0.153819
RF02440#AJLR01000146.1/149633-149688#subopt3,   2.94907,   1.47561,   1.22576,   -1.2339,  0.111259,   1.05901, -0.524476, -0.534076, -0.814916,  0.856229,   0.95612,-0.0597008,-0.0579532
RF02440#MRTP01000001.1/119356-119302#subopt0,   3.09162,    1.1217,     1.641,  -1.30024, -0.227743,   1.44468, -0.380062, -0.233423,  0.923855,  0.570845,  0.907461,-0.0728436, -0.578239
RF02440#MRTP01000001.1/119356-119302#subopt1,   3.10796,   1.20391,   1.54207,  -1.19571, -0.203121,   1.33177, -0.467226,  0.168379,-0.0799215,   0.68446,   1.14179,  0.122399, -0.485339
RF02440#MRTP01000001.1/119356-119302#subopt2,   2.92588,   1.14252,   1.46064,  -1.33435, 0.0217746,   1.04414, -0.337741, -0.578423,  0.629812,  0.736583,  0.685306,-0.0449928, -0.750994
RF02440#MRTP01000001.1/119356-119302#subopt3,  3.05417,  1.05827,  1.57699,-0.932103,-0.342439,  0.86383, -1.04048, 0.262149,   1.4112,-0.151592, 0.106554,-0.114852, -0.18141
RF01695#CP001068.1/10238-10328#subopt0,  3.78612, 0.593927,   1.7925, 0.920449,-0.237792, 0.664129, 0.332812,-0.813906,   1.0531, 0.243263,-0.401248, 0.254818,-0.986415
RF01695#CP001068.1/10238-10328#subopt1,   3.7676, 0.545089,  1.67979, 0.858811, 0.116082, 0.381189, 0.829999,-0.766286, 0.687477, -0.88368,0.0579358, 0.524201, -1.00375
RF01695#CP001068.1/10238-10328#subopt2,   3.59589,  0.418282,   1.20273,  -1.76144, 0.0315404,   0.86089,  0.362586, -0.126946,  0.668123,  0.299641,  0.343655,-0.0623235, -0.795692
RF01695#CP001068.1/10238-10328#subopt3,   3.3785, 0.375074, 0.625362,  -1.2314, 0.200141, 0.564134, 0.639643,-0.242415, 0.754625, 0.126895,-0.110631,  0.10808, -1.12455
RF01695#CT573326.1/1493171-1493081#subopt0,  4.11256, 0.708871,0.0369852, -1.13942, 0.176313,-0.232762, -0.97136, -1.03944, 0.139761,-0.405826,-0.526893, 0.854795,-0.618618
RF01695#CT573326.1/1493171-1493081#subopt1,  3.97465, 0.873978,-0.123789, -1.40725,  1.17492,-0.882744, -1.53728,-0.170214,  0.04492, -1.08494,-0.277847, 0.668804, 0.425437
RF01695#CT573326.1/1493171-1493081#subopt2,  4.08112, 0.742906, 0.192961, -1.54983, 0.701221,  -0.6625,-0.725437,-0.846113, 0.130706,-0.808174,-0.281461, 0.636795,0.0721931
RF01695#CT573326.1/1493171-1493081#subopt3,   3.6176, 0.603866,  0.21264,  -1.3225, 0.874783, 0.404014,0.0741521, 0.163891, 0.316417, -1.19228,-0.327258, 0.770653, -0.64047
RF01695#CP001798.1/974535-974621#subopt0,  4.44895,0.0668876,  1.32959,-0.736146,  0.41631, 0.672746,0.0755675,-0.647157, 0.108876, -1.28779, 0.585572, 0.283383,0.0420981
RF01695#CP001798.1/974535-974621#subopt1,   4.16838,  0.223877,  0.883137, -0.421731,  0.979271,  0.128098, -0.279072,-0.0487582,  0.722285, -0.818743,-0.0862854,  0.181148,  0.367187
RF01695#CP001798.1/974535-974621#subopt2,  4.33834,-0.071253,-0.148354, -1.68644, 0.513365, 0.731464, 0.564522,-0.408486, 0.426977, -1.14707,-0.163598, 0.478265,-0.440134
RF01695#CP001798.1/974535-974621#subopt3,    4.24509,   0.183686,   0.819909,  -0.242546,   0.362813,   0.972981,  -0.333801,  -0.485149,    0.41604,  -0.326309,6.96447e-05,   0.150874,  -0.321522
RF01695#CP003880.1/163031-162945#subopt0,  2.85084,  1.10044,  1.66887, -1.40905, 0.259626, 0.790018,-0.194215,-0.133212, 0.577371,-0.186985, 0.431935, 0.283433, 0.132833
RF01695#CP003880.1/163031-162945#subopt1,     4.39572,   0.0408042,   0.0442917,    0.305698,   -0.480963,     1.04925,   -0.442512,    -1.09647,    0.598667,    -0.41469,-0.000627576,    0.534049,   -0.933902
RF01695#CP003880.1/163031-162945#subopt2,     4.3924,  0.0201727,   0.234518,-0.00520836,   0.299791,   0.180468,   0.230706,  -0.943938,   0.784736,   -1.35702,   0.281998,   0.826342,  -0.359158
RF01695#CP003880.1/163031-162945#subopt3,   2.55649,   1.25486,  0.832805, -0.878024,  0.618118, 0.0801151, -0.265318,  -0.78543,  0.190119,-0.0638871, -0.136267,  0.301659,  0.205508
RF03161#URS0001A233B4_12908/1-63#subopt0,  2.97725,  1.19095,  1.20445,-0.909794, 0.133805, 0.455391, -1.52744, 0.496846,-0.148339, 0.186707, 0.241398, 0.160109,-0.379978
RF03161#URS0001A233B4_12908/1-63#subopt1,  2.94802,   1.2558,  1.11878,-0.957098, 0.411985, 0.615513, -1.83254, 0.651652,-0.488539, 0.167805,  0.20139, 0.138904,-0.333932
RF03161#URS0001A233B4_12908/1-63#subopt2,  3.71804, 0.922399,  1.56002, 0.478768, 0.420933, 0.522271, -1.85694, 0.410051,-0.870586, 0.180659,-0.261153,0.0964825,-0.658549
RF03161#URS0001A233B4_12908/1-63#subopt3,   3.03625,   1.24821,   1.21023,  -1.00782,  0.338551,  0.550545,  -1.01533,  0.630447,-0.0785341,  -1.02205,  0.955911,  0.473382, 0.0320994
RF03161#CP018153.1/1620386-1620448#subopt0,  3.66367,  1.71715, -1.02619,-0.420744,-0.237272,-0.695648,-0.824934, 0.422427,0.0444057, 0.573882,-0.694634,  0.70092, -0.41146
RF03161#CP018153.1/1620386-1620448#subopt1,    3.54811,    2.07713,   0.516377,    1.19513,    0.21738,  -0.647924,  -0.686621, -0.0898273,  -0.572676,   0.737984,  -0.706165,   0.778993,-0.00422294
RF03161#CP018153.1/1620386-1620448#subopt2,   2.55884,   2.36438, 0.0461184, -0.379594,  0.143818, -0.323552,  0.327901,  0.098003,  -0.54846,  0.675987,0.00060226,  0.481018, -0.264836
RF03161#CP018153.1/1620386-1620448#subopt3,   3.50349,   1.88787, -0.804981, -0.773612,  0.139857, -0.569957,  0.605216,-0.0587782, -0.553129,  0.813187, -0.312299,  0.265418, -0.535658
RF03161#URS0001A244B4_1121932/1-63#subopt0,  3.66367,  1.71715, -1.02619,-0.420744,-0.237272,-0.695648,-0.824934, 0.422427,0.0444056, 0.573882,-0.694634,  0.70092, -0.41146
RF03161#URS0001A244B4_1121932/1-63#subopt1,    3.54811,    2.07713,   0.516377,    1.19513,    0.21738,  -0.647924,   -0.68662, -0.0898271,  -0.572676,   0.737984,  -0.706165,   0.778993,-0.00422305
RF03161#URS0001A244B4_1121932/1-63#subopt2,    2.55884,    2.36438,  0.0461182,  -0.379594,   0.143818,  -0.323552,   0.327901,  0.0980032,   -0.54846,   0.675987,0.000602413,   0.481019,  -0.264836
RF03161#URS0001A244B4_1121932/1-63#subopt3,   3.50349,   1.88787, -0.804982, -0.773612,  0.139857, -0.569957,  0.605216,-0.0587783,  -0.55313,  0.813187,   -0.3123,  0.265418, -0.535658
RF03161#ARYN01000005.1/114590-114652#subopt0,  4.86223,  1.01749,  -2.1702,-0.782026,-0.229562, -1.69006,  -1.0642, 0.221672,    0.341, 0.547334, -0.33671, 0.135608,-0.499521
RF03161#ARYN01000005.1/114590-114652#subopt1,  3.66367,  1.71715, -1.02619,-0.420744,-0.237272,-0.695648,-0.824933, 0.422427,0.0444055, 0.573882,-0.694634,  0.70092, -0.41146
RF03161#ARYN01000005.1/114590-114652#subopt2,  5.07226,  1.12433, -1.10872, 0.669604, 0.137923, -1.80204, -1.00233,-0.377652, -0.28265, 0.664898,-0.349337,0.0959085,-0.135011
RF03161#ARYN01000005.1/114590-114652#subopt3,   4.23536,   1.39744,  -1.52757, -0.945066,  0.213399,  -1.55582,-0.0719862, -0.114591, -0.181877,  0.561495,  0.254574, -0.178756, -0.222163
RF01739#MRCG01000001.1/170915-170860#subopt0,  4.83331,  1.29254,0.0542315,-0.490137, 0.164616,-0.832427,-0.435194,-0.416605,0.0312216, -1.34642,-0.246376, 0.936853, 0.461816
RF01739#MRCG01000001.1/170915-170860#subopt1,   3.61455,   1.03297,   1.95781,  -1.59595,-0.0486871,   0.91721,-0.0903005,-0.0845862,  0.944078, -0.999142,  0.994729,  0.599942,   0.16151
RF01739#MRCG01000001.1/170915-170860#subopt2,   3.53848,   1.21716,   1.83114,  -1.35534,-0.0754567,   0.43971,  -0.46742,  0.488931,  0.677905, -0.110354,   1.33406, -0.178494, 0.0881954
RF01739#MRCG01000001.1/170915-170860#subopt3,  3.04002,  1.13055,  1.63991, -1.30646,0.0603213, 0.527044,-0.359693, 0.323681, 0.157421,-0.113261,  0.76632,0.0280514, 0.185139
RF01739#CM001633.1/4650219-4650298#subopt0,   4.63747,  0.742381,  -1.92425,  -1.14393, -0.343289,  0.229542,   1.83594,-0.0340661, -0.729432, -0.261116,  0.142113,  0.539884, -0.116902
RF01739#CM001633.1/4650219-4650298#subopt1,  5.04179, 0.025215, 0.181668, -1.98257,-0.446588,   1.8027,-0.456824,-0.312264,-0.482974,-0.572294, -0.06056, 0.659375, -0.72152
RF01739#CM001633.1/4650219-4650298#subopt2,  3.85887, 0.661411, 0.335841,    -1.45,-0.270925,  1.08418,  -1.1638,-0.120208, -1.27455, 0.601876,-0.418482,-0.257243,-0.803263
RF01739#CM001633.1/4650219-4650298#subopt3,   4.50997, 0.0921845, -0.286693,  -1.63829, -0.285098,   1.31724, -0.721568,-0.0874075,  -1.38504,  0.159966,  -0.35708,  0.331261,  -0.71412
RF01739#ALVZ01000231.1/41142-41207#subopt0,    3.9157,  0.652927,0.00397334,  -1.37907, -0.714285,  0.547815,  -1.12716,  -1.27746,  -1.21155, -0.081168,  0.473843,  0.179677,-0.0731887
RF01739#ALVZ01000231.1/41142-41207#subopt1,  4.46731, 0.775668, 0.413032, -1.74188,-0.325443,-0.031248, -1.00377,-0.799428,-0.351445,-0.445442,  1.24404,-0.166433, 0.662278
RF01739#ALVZ01000231.1/41142-41207#subopt2,   3.92196,  0.702393,  0.127617,  -1.66409,-0.0528008, 0.0310071, -0.959925,  -1.10951, -0.988361, -0.476148,  0.590093,  0.092835,  0.702276
RF01739#ALVZ01000231.1/41142-41207#subopt3,  3.89574, 0.501998, 0.274959,  -1.8859,0.0778731, 0.162167,-0.626124, -1.64416,-0.519192,-0.420543, 0.262585, 0.211934, 0.554668
RF01739#JTHE01000274.1/3501797-3501863#subopt0,     5.025,  0.849416,  -1.84993,  -1.16884, -0.908233,    0.8083,   1.09834, -0.645624,-0.0554941,    0.2101,  -1.04163,  0.620327,  -0.28179
RF01739#JTHE01000274.1/3501797-3501863#subopt1,   5.40442,  0.370022,  -2.17368,  -1.08969, -0.841277,  0.739066,   1.04981,  0.537756,  0.170093,-0.0125639, -0.231326,  0.372579, -0.678829
RF01739#JTHE01000274.1/3501797-3501863#subopt2,  5.45111, 0.316501,  -2.3885, -1.04659, -1.00239,  0.61477, 0.635624, 0.170692,0.0765249, 0.106945, 0.175804, 0.441249,-0.701382
RF01739#JTHE01000274.1/3501797-3501863#subopt3,  4.94527,    1.169, -1.85288,-0.746354, -0.51786, 0.288911, 0.528585, 0.991355,-0.219245,-0.013753, -1.09398, 0.554351,   0.3305
RF03158#MKKD01000014.1/69493-69538#subopt0,   3.28963,-0.0329356,-0.0819731,  0.355436,   2.16805, -0.345059, -0.132123,  0.646325,  0.174263, -0.313458, -0.847537, -0.312075, -0.345385
RF03158#MKKD01000014.1/69493-69538#subopt1,  3.75591,-0.235884,0.0422065,  1.43583,  2.31919,-0.910646,-0.878779,-0.181099, 0.499138,-0.325084, 0.265937,-0.729087,-0.076833
RF03158#MKKD01000014.1/69493-69538#subopt2,  3.87992,-0.220554,0.0412974,  1.36659,  2.13299,-0.520514,-0.838531,-0.506657, 0.598526,-0.848351, 0.066696,-0.185946, 0.340424
RF03158#URS0001A237F1_12908/1-46#subopt0,   3.28963,-0.0329357,-0.0819732,  0.355436,   2.16805, -0.345058, -0.132123,  0.646325,  0.174263, -0.313458, -0.847537, -0.312075, -0.345384
RF03158#URS0001A237F1_12908/1-46#subopt1,   3.75591, -0.235884, 0.0422065,   1.43583,   2.31919, -0.910646, -0.878779, -0.181099,  0.499137, -0.325084,  0.265937, -0.729087,-0.0768326
RF03158#URS0001A237F1_12908/1-46#subopt2,  3.87992,-0.220554,0.0412973,  1.36659,  2.13299,-0.520514,-0.838531,-0.506657, 0.598526,-0.848351, 0.066696,-0.185946, 0.340424
RF03158#URS0001A23BF5_1206744/1-46#subopt0,   3.28963,-0.0329356,-0.0819725,  0.355437,   2.16805, -0.345059, -0.132123,  0.646325,  0.174263, -0.313457, -0.847536, -0.312075, -0.345385
RF03158#URS0001A23BF5_1206744/1-46#subopt1,   3.75591, -0.235885, 0.0422066,   1.43583,   2.31919, -0.910646, -0.878779, -0.181099,  0.499138, -0.325084,  0.265937, -0.729087,-0.0768329
RF03158#URS0001A23BF5_1206744/1-46#subopt2,  3.87992,-0.220554,0.0412975,  1.36659,  2.13299,-0.520515,-0.838531,-0.506657, 0.598526,-0.848351,0.0666958,-0.185946, 0.340424
